1,INT GIRLS ROOM  DAY,148
2,INT HALLWAY  DAY CONTINUOUS,29
3,EXT SCHOOL COURTYARD  DAY,26
4,INT,104
5,INT GUIDANCE COUNSELORS OFFICE  DAY,40
6,INT SOPHOMORE ENGLISH CLASS  DAY,45
7,EXT SCHOOL COURTYARD  DAY,130
8,EXT SCHOOL PARKING LOT  DAY,68
9,INT,125
10,INT TUTORING ROOM  DAY,68
11,INT BIOLOGY CLASS,83
12,INT WOODSHOP  DAY,32
13,INT CAFETERIA  DAY,62
14,INT BOYS ROOM  DAY,24
15,INT KENNYS THAI FOOD DINER  DAY,46
16,INT,39
17,INT TUTORING ROOM  DAY,69
18,INT HALLWAY  DAY,32
19,INT GYM CLASS  DAY,74
20,EXT FIELD HOCKEY FIELD  DAY,90
21,INT HALLWAY  DAY,5
22,INT HALLWAY  DAY,27
23,EXT DOWNTOWN STREET  NIGHT,46
24,INT STRATFORD HOUSE  NIGHT,38
25,INT HALLWAY  DAY,42
26,INT TUTORING ROOM  DAY,39
27,INT BOYS ROOM  DAY,69
28,INT CLASSROOM  DAY,24
29,INT,3
30,INT,9
31,INT SHOWERS  DAY,3
32,INT HALLWAY  DAY,32
33,INT TUTORING ROOM,38
34,INT DIVE BAR  NIGHT,106
35,INT KATS ROOM  NIGHT,46
36,EXT CLUB SKUNK  NIGHT,3
37,INT CLUB FOYER  NIGHT,39
38,EXT CLUB SKUNK  NIGHT,2
39,INT CLUB FOYER  NIGHT,42
40,INT CLUB  NIGHT,152
41,EXT CLUB SKUNK  NIGHT,39
42,INT HALLWAY  DAY,55
43,EXT MISS PERKYS OFFICE  DAY,24
44,EXT STRATFORD HOUSE  NIGHT,2
45,INT,8
46,INT LIVING ROOM  NIGHT,130
47,INT BOGEY LOWENSTEINS HOUSE  NIGHT,10
48,INT BOGEYS KITCHEN  NIGHT,63
49,INT BOGEYS LIVING ROOM  NIGHT,107
50,INT BOGEYS LIVING ROOM  NIGHT,25
51,INT BOGEYS BATHROOM  NIGHT,42
52,INT BOGEYS KITCHEN  NIGHT  LATER,64
53,INT BOGEYS DINING ROOM  NIGHT,26
54,EXT BOGEY LOWENSTEINS HOUSE  NIGHT,93
55,INT BOGEYS BATHROOM  NIGHT,63
56,INT KATS CAR  NIGHT,141
57,INT ENGLISH CLASS  DAY,77
58,INT KENNYS THAI FOOD DINER  DAY,29
59,INT BIOLOGY CLASS  DAY C  M  P,27
60,INT HALLWAY  DAY,46
61,EXT FIELD HOCKEY FIELD  DAY,24
62,INT HALLWAY  DAY,16
63,EXT PARKING LOT  DAY,16
64,INT SCHOOL COURTYARD  DAY,28
65,EXT ARCHERY FIELD  DAY,38
66,INT BOOK STORE  DAY,36
67,INT CAFETERIA  DAY,28
68,INT ENGLISH CLASS  DAY,36
69,INT DETENTION HALL  DAY,86
70,EXT SCHOOL CAMPUS LAWN,43
71,EXT OUTDOOR ARCADE  DAY,83
72,EXT STRATFORD HOUSE  NIGHT,99
73,EXT STREET  NIGHT,9
74,INT STRATFORD HOUSEBATHROOM  NIGHT,7
75,INT STUDY HALL  DAY,50
76,INT HALLWAY  DAY,24
77,INT STRATFORD HOUSEDEN  DAY,48
78,INT BIANCAS ROOM  NIGHT,102
79,EXT STRATFORD HOUSE  DAY,2
80,INT KATS ROOM  DAY,126
81,INT,40
82,INT,7
83,INT LADIES ROOM  NIGHT,28
84,INT,131
85,INT STRATFORD HOUSE  DAY,97
86,INT CAFETERIA  DAY K      ,20
87,INT HALLWAY  DAY,34
88,INT MISS PERKYS OFFICE  DAY,99
