1, INT TOWNHOUSESTUDY  DAY ,20
2,INT HOUSELIVING ROOM  EVENING,19
3,INT NORTHUP HOUSEBEDROOM  MORNING,19
4,EXT STREET  DAY,59
5,INT STORE  LATER,93
6,INT NORTHUP HOUSEDINING ROOM  EVENING,76
7, INT NORTHUP HOUSE  NIGHT ,9
8,INT NORTHUP HOUSE  NIGHT,27
9, EXT NORTHUP HOUSE  MORNING ,14
10,EXT PARK  DAY,38
11,EXT PARKPAVILION  LATER,90
12,INT NORTHUP HOUSEBEDROOM  LATER,4
13, INT NORTHUP HOUSESTUDY  LATER ,9
14,EXT SOLOMONS HOUSEINT COVERED CARRIAGE  LATER,12
15,INT PUB  EVENING,8
16, INT PUB  LATER ,103
17, EXT WASHINGTON  DAY ,11
18,INT GADSBY HOTELDINNING ROOM  EVENING,59
19, EXT ALLEY  LATER ,9
20,A INT GADSBY HOTEL  STAIRCASE A,3
21, INT GADSBY HOTELSOLOMONS ROOM  NIGHT ,37
22,INT BURCHS DUNGEON  DAWN,24
23,INT BURCHS DUNGEON  MORNING,136
24,EXT BURCHS DUNGEON  CONTINUOUS,11
25,INT BURCHS DUNGEON  DAY,9
26, EXT BURCHS DUNGEONYARD  DAY ,55
27,A INT BURCHS DUNGEON  EVENING A,35
28,EXT BURCHS DUNGEONYARD  DAY,99
29,INT BURCHS DUNGEON  EVENING,41
30, INT BURCHS DUNGEON  NIGHT ,29
31,EXT BURCHS DUNGEONYARD  NIGHT,25
32,EXT BURCHS DUNGEONINT WAGONFLAT BED  LATER,8
33,EXT WASHINGTON DC DOCK  NIGHT,6
34,INT ORLEANSHOLD  CONTINUOUS,17
35,A INT STEAMBOAT  NIGHT A,5
36,B EXT SEA  DUSKDAWN B,9
37, INT ORLEANSHOLD  LATER  NIGHT ,25
38,A EXT NORFOLKPORT  DAY A,16
39, INT ORLEANSGALLEY ,4
40, INT HOLD  LATER  DAY ,43
41,A EXT SEA  DAY A,5
42,A INT HOLD  NIGHT A,29
43, EXT ORLEANSDECK  DAY ,8
44,A EXT NEW ORLEANS HARBOUR  DAY A,3
45, EXT NEW ORLEANSPORT  DAY ,73
46,EXT NEW ORLEANSPORT  LATER,59
47,EXT FREEMANS SLAVE PEN  LATER,13
48,EXT FREEMANS SLAVE PEN  LATER,7
49,INT FREEMANS SLAVE PEN  LATER,8
50, INT FREEMANSGREAT ROOM  LATER ,58
51,INT FREEMANSGREAT ROOM  DAY,144
52, EXT FORD PLANTATION  LATER ,69
53,EXT FORDS WORK AREA  DAY,75
54, EXT WOODS  DAY ,7
55,EXT WOODS  LATER,4
56, EXT ROAD  LATER ,4
57, EXT FORDS WORK AREA  LATER ,10
58,EXT FORD PLANTATION  DAY,48
59, EXT FORDS WORK AREA  DAY ,60
60, EXT ROAD  DAY ,14
61,EXT FIELD  DUSKEND OF DAY,17
62, EXT RIVER BANK  CONTINUOUS ,10
63,EXT FORDS WORK AREA  DAY,51
64,EXT CREEK  DAY,14
65,EXT FORDS WORK AREA  LATER,9
66,EXT FORD PLANTATIONGREAT HOUSE  DAY,21
67,EXT FORD PLANATIONSLAVE SHACK  EVENING,102
68,EXT FORD PLANTATION  MORNING,40
69, EXT FORD PLANTATION  DAY ,52
70,EXT FORD PLANATION  DAY,50
71,EXT WEAVING HOUSE  MORNING,12
72,EXT WEAVING HOUSE  LATER,234
73,EXT FORD PLANATION  LATER,27
74, EXT FORD PLANATION  LATER ,12
75,EXT FORD PLANATION  EVENING,11
76,INT FORD PLANATIONGREAT HOUSE  NIGHT,53
77,EXT MASTER EPPSS PLANTATIONBACK PORCH  DAY,41
78,EXT MASTER EPPSS PLANTATIONFIELD  DAY,43
79,EXT MASTER EPPSS PLANTATIONGIN HOUSE  EVENING,75
80,EXT MASTER EPPSS PLANTATIONYARD  EVENING,6
81,EXT MASTER EPPSS PLANTATION  EVENING,6
82,INT MASTER EPPSS PLANTATIONSLAVE SHACK  NIGHT,23
83,INT MASTER EPPSS PLANTATIONSLAVE SHACK  NIGHT,11
84,INT MASTER EPPSS PLANTATIONMAIN HOUSE  NIGHT,73
85,EXT MASTER EPPSS PLANTATION  MORNING,6
86,EXT MASTER EPPSS PLANTATIONFIELD  DAY,3
87, EXT MASTER EPPSS PLANTATIONGREAT HOUSE  LATER ,62
88,EXT ROAD  DAY,42
89, INT BARTHOLOMEWS  LATER ,11
90,EXT MASTER EPPSS PLANTATIONGREAT HOUSE  LATER,8
91, EXT SHAWS HOUSE  DAY ,11
92,A EXT ROAD  DAY A,4
93,B EXT SHAWS HOUSE  DAY B,132
94,EXT EPPSS PLANTATION  LATER,121
95,EXT MASTER EPPSS PLANTATIONFIELD  DAY,23
96,INT MASTER EPPSS PLANTATIONSLAVE SHACKS  NIGHT,16
97,EXT MASTER EPPSS PLANTATIONSMOKE HOUSE  NIGHT,21
98,INT BARTHOLOMEWS  DAY,6
99,EXT ROAD  DAY,10
100, INT EPPSS PLANTATIONSLAVE SHACK  DAY ,7
101,INT MASTER EPPSS PLANTATIONMAIN HOUSE  NIGHT,72
102,INT MASTER EPPSS PLANTATIONSLAVE SHACK  NIGHT,73
103,EXT MASTER EPPSS PLANTATIONFIELD  DAY,46
104, EXT JUDGE TURNERS PLANTATION  EVENING ,29
105,INT SLAVE SHACK  NIGHT,17
106,EXT CANE FIELDS  DAY,11
107,EXT CANE FIELDS  DAY,11
108,INT SLAVE SHACK  NIGHT,45
