1,EXT NEIGHBORHOOD STREET  MORNING,13
2,INT WOODS  CONTINUOUS,30
3,INT TREE HOUSE  CONTINUOUS,8
4,EXT TREE HOUSE  SAME TIME,8
5,INT TREE HOUSE  SAME TIME,6
6,EXT TREE HOUSE  SAME TIME,5
7,INT FISHER HOME  KITCHEN  MORNING,13
8,EST EXT CHUNG RESIDENCE  MORNING,6
9,INT CHUNG HOME  UPSTAIRS HALLWAY  CONTINUOUS,13
10,INT CHUNG HOME  BATHROOM  CONTINUOUS,4
11,EXT NEIGHBORHOOD ENTRANCE  LATER,38
12,INT TREE HOUSE  LATER,74
13,INT YACCOS OFFICE  LATER THAT AFTERNOON,30
14,INT YACCOS OFFICE  RECEPTION AREA  CONTINUOUS,24
15,EXT FRONT OF YACCOS OFFICE  CONTINUOUS,7
16,INT TWINS HOUSE  LIVING ROOM  NIGHT,61
17,INT TWINS HOUSE  BOYS BEDROOM  LATER,27
18,EXT NEIGHBORHOOD  NEXT DAY,6
19,EXT STREET  SAME TIME,27
20,EXT STREET  LATER,31
21,EXT ANOTHER PART OF THE STREET  DUSK,43
22,EXT VACANT LOT  LATER THAT NIGHT,41
23,INT TWINS HOME  BOYS BEDROOM  MIDDLE OF THE NIGHT,42
24,INT TREEHOUSE  LATER THAT NIGHT,32
25,EST EXT WOODS  LATER THAT NIGHT,4
26,INT TREEHOUSE  CONTINUOUS,24
27,EXT TREEHOUSE  SAME TIME,13
28,INT TREEHOUSE  SAME TIME,7
29,EXT TREEHOUSE  SAME TIME,10
30,INT TREEHOUSE  SAME TIME,3
31,EXT TREEHOUSE  SAME TIME,9
32,INT TWINS HOUSE  PARENTS BEDROOM  SAME TIME,31
33,EXT GRAVEYARD  WEEKS LATER  AFTERNOON,13
34,INT YACCOS OFFICE  LATER THAT DAY,63
35,EXT JACOBS HOME  LATER THAT AFTERNOON,3
36,INT TWINS HOME  LIVING ROOM  SAME TIME,3
37,INT TWINS HOME  KITCHEN  SAME TIME,45
38,INT LEONARDS HOSPITAL ROOM  LATER THAT DAY,60
39,INT DOCTORS OFFICE  MOMENTS LATER,49
40,INT LEONARDS HOSPITAL ROOM  SAME TIME,29
41,INT JACOBS BEDROOM  SAME TIME,10
42,INT JACOBS HOME  LIVING ROOM  SAME TIME,22
43,EXT WOODS  THREE WEEKS LATER AFTERNOON,87
44,INT LEONARDS HOME  KITCHEN  LATER THAT AFTERNOON,36
45,EXT JEFFERSON JUNIOR HIGH SCHOOL  DAYS LATER  MORNING,3
46,INT CLASSROOM  SAME TIME,53
47,INT SCHOOL GYMNASIUM  LATER THAT DAY,66
48,EXT SCHOOL GROUNDS  TRACK  LATER,63
49,INT SCHOOL AUDITORIUM  LATER THAT DAY,18
50,INT SCHOOL HALLWAY  MOMENTS LATER,10
51,INT JACOBS HOME  DEN  EVENING,59
52,INT LEONARDS BEDROOM  EARLY MORNING,4
53,EXT LEONARDS HOME  MOMENTS LATER,15
54,EXT CONSTRUCTION SITE  DAYS LATER  AFTERNOON,40
55,EXT CONSTRUCTION SITE  ANOTHER AREA  TEN MINUTES LATER,67
56,INT CARGES LIVING ROOM DAY,83
57,INT JACOBS PARENTS BEDROOM  LATER THAT AFTERNOON,8
58,INT CARGES LIVING ROOM  MOMENTS LATER,6
59,EXT BUS STATION  MOMENTS LATER,7
60,INT JUVINILE HALL  CONVERSATION BOOTH  LATER,58
61,INT LEONARDS BEDROOM  NIGHT,4
62,INT LEONARDS HOME  HALLWAYKITCHEN  LATER,29
63,EXT STREET  NEXT DAY  AFTERNOON,3
64,INT STAIRWELLHALLWAY  MOMENTS LATER,3
65,INT UNOCCUPIED OFFICE  CONTINUOUS,7
66,INT YACCOS OFFICE  SAME TIME,39
67,INT UPSTAIRS OFFICE ,9
68,INT YACCOS OFFICE  SAME TIME,17
69,INT UPSTAIRS OFFICE  SAME TIME,3
70,INT JACOBS HOME  UPSTAIRS HALLWAY  DAYS LATER  EVENING,3
71,INT JACOBS HOME  KITCHEN  MOMENTS LATER,74
72,EXT JUNIOR HIGH SCHOOL AUDITORIUM  DAYS LATER  NIGHT,4
73,INT SCHOOL AUDITORIUM  CONTINUOUS,51
