1,EXT FITCH SENIOR HIGH SCHOOL  DUSK,8
2,INT FITCH SENIOR HIGH SCHOOLGYM  CONTINUOUS,61
3,INT FITCH SENIOR HIGH SCHOOLGYM  NIGHT,83
4,INT FITCH SENIOR HIGH SCHOOLTUNNEL  NIGHT,10
5,EXT PALISADES NEIGHBORHOOD PRESENT DAY  MORNING,7
6,INT EDS HOUSEMIKES BEDROOM  MORNING,3
7,INT BATHROOM  MORNING,10
8,INT EDS HOUSELIVING ROOM  MORNING,65
9,EXT SAN FERNANDO VALLEY  MORNING,3
10,INT WYATT PHARMACEUTICALSCONFERENCE ROOM  MORNING,55
11,EXT FITCH SENIOR HIGH SCHOOLPARKING LOT  DUSK,3
12,INT FITCH SENIOR HIGH SCHOOLHALL  DUSK,2
13,INT FITCH SENIOR HIGH SCHOOLGYM  DUSK,19
14,INT FITCH SENIOR HIGH SCHOOLHALL  DUSK,64
15,INT CHEESECAKE FACTORY  NIGHT,58
16,EXT SAN FERNANDO VALLEYMIKES HOUSE  NIGHT,22
17,EXT MIKES HOUSEBACKYARD  DAY,107
18,INT MIKES AUDI  NIGHT,12
19,EXT ROAD  NIGHT,21
20,EXT EDS HOUSE  NEXT MORNING,10
21,INT EDS HOUSE  MORNING,19
22,INT BATHROOM  DAY,37
23,INT EDS HOUSEFOYER  DAY,18
24,EXT EDS HOUSEBACKYARD  LATER,46
25,EXT FITCH SENIOR HIGH SCHOOLPARKING LOT  DAY,5
26,INT FITCH SENIOR HIGH SCHOOLHALL  DAY,32
27,INT FITCH SENIOR HIGH SCHOOLBATHROOM  DAY,51
28,INT AUDI  MOMENTS LATER,5
29,INT EDS HOUSEKITCHEN  NIGHT,71
30,INT FITCH SENIOR HIGH SCHOOLOFFICE  DAY,32
31,INT PRINCIPALS OFFICE  DAY,104
32,INT FITCH SENIOR HIGH SCHOOLCALCULUS CLASS  DAY,101
33,INT FITCH SENIOR HIGH SCHOOLCAFETERIA  DAY,127
34,INT RESTAURANTBAR  NIGHT,94
35,EXT MAGAZINE STAND  NIGHT,3
36,INT TRENDY HAIR SALON  NIGHT,6
37,INT TRENDY CLOTHES STORE  NIGHT,9
38,INT VIRGIN MEGA MUSIC STORE  NIGHT,5
39,INT EDS HOUSEOFFICE  NIGHT,10
40,INT MAC STORE  NIGHT,2
41,INT EDS HOUSEMIKES BEDROOM  NIGHT,36
42,EXT FITCH SENIOR HIGH SCHOOLPARKING LOT  MORNING,17
43,INT FITCH SENIOR HIGH SCHOOLHALL  DAY,13
44,INT FITCH SENIOR HIGH SCHOOLCAFETERIA  DAY,171
45,INT FITCH SENIOR HIGH SCHOOLCOLLEGE CENTER  DAY,21
46,INT ASTON MARTIN  NIGHT,23
47,EXT MIKES HOUSE  NIGHT,18
48,INT MIKES HOUSELIVING ROOM  NIGHT,61
49,EXT MIKES HOUSEBACKYARD  NIGHT,44
50,INT ASTON MARTIN  NIGHT,31
51,EXT ZUMA BEACH  NIGHT,218
52,EXT EDS HOUSEPOOL  MORNING,64
53,INT FITCH SENIOR HIGH SCHOOLHALL  DAY,20
54,INT FITCH SENIOR HIGH SCHOOLCALCULUS CLASS  DAY,57
55,INT FITCH SENIOR HIGH SCHOOLGYM  DAY,98
56,INT FITCH SENIOR HIGH SCHOOLOFFICE  DAY,106
57,INT FITCH SENIOR HIGH SCHOOLPRINCIPALS OFFICE  DAY,58
58,EXT MIKES HOUSEBACKYARD  DAY,50
59,INT FITCH SENIOR HIGH SCHOOLLIBRARY  DAY,82
60,EXT BASKETBALL COURT  DAY,3
61,EXT MIKES HOUSEBACKYARD  DAY,3
62,INT FITCH SENIOR HIGH SCHOOLCALCULUS CLASS  DAY,7
63,EXT BASKETBALL COURT  NIGHT,4
64,INT FITCH SENIOR HIGH SCHOOLPRINCIPALS OFFICE  DAY,2
65,EXT MIKES HOUSEDRIVEWAY  DAY,4
66,INT FITCH SENIOR HIGH SCHOOLCALCULUS CLASS  DAY,9
67,EXT MIKES HOUSEBACKYARD  DAY,4
68,EXT FITCH SENIOR HIGH SCHOOLPARKING LOT  DAY,5
69,EXT BASKETBALL COURT  DAY,3
70,EXT MIKES HOUSEBACKYARD  DAY,4
71,INT FITCH SENIOR HIGH SCHOOLGYM  DAY,5
72,INT FITCH SENIOR HIGH SCHOOLPRINCIPALS OFFICE  DAY,3
73,INT FITCH SENIOR HIGH SCHOOLHALL  DAY,3
74,INT BASKETBALL COURT  DAY,5
75,INT FITCH SENIOR HIGH SCHOOLGYM  DAY,38
76,INT MIKES HOUSE  NIGHT,4
77,INT MIKES HOUSEKITCHEN  NIGHT,34
78,INT MIKES HOUSEBATHROOM  NIGHT,56
79,INT MIKES HOUSEKITCHEN  NIGHT,53
80,EXT MIKES HOUSEBACKYARD  NIGHT,22
81,INT MIKES HOUSEFOYER  NIGHT,42
82,INT MIKES HOUSEKITCHEN  NIGHT,36
83,INT GUCCI STORE  DAY,71
84,INT FITCH SENIOR HIGH SCHOOLHALL  DAY,11
85,EXT EDS HOUSE  NIGHT,3
86,INT EDS HOUSEKITCHEN  NIGHT,17
87,INT EDS HOUSELIVING ROOM  NIGHT,32
88,EXT EDS HOUSEPOOL  NIGHT,39
89,INT UPSCALE RESTAURANTDINING ROOM  NIGHT,92
90,INT EDS HOUSEMIKES BEDROOM  NIGHT,29
91,EXT EDS HOUSEBACKYARD  NIGHT,12
92,INT EDS HOUSE  NIGHT,45
93,EXT EDS HOUSEBACKYARD  NIGHT,9
94,INT EDS HOUSE  NIGHT,14
95,INT EDS HOUSEHALLWAY  NIGHT,2
96,INT EDS HOUSEMASTER BEDROOM  NIGHT,16
97,INT UPSCALE RESTAURNT  NIGHT,35
98,EXT EDS HOUSEPOOL  NIGHT,26
99,INT FERRARI  NIGHT,21
