1,EXT THE SOLAR SYSTEM,21
2,EXT COUNTRY SIDEINDIA  SUNSET,16
3,INT NAGADENG MINEINDIA  SUNSET,38
4,EXT LARGE TERRACEWASHINGTON DC  EVENING,47
5,INT LIVING ROOMSATNAMS HOUSE  NIGHT,8
6,INT HALLWAYWHITE HOUSE  DAY,49
7,EXT SEVILLESPAIN  DAY,6
8,INT BIG HALLALHAMBRA  DAY,50
9,EXT CHO MING VALLEYTIBET  DAWN,12
10,EXT VILLAGETIBET  DAY,10
11,EXT SCHOOLTIBET  DAY,23
12,INT DORCHESTER HOTELLONDON  DAY,5
13,INT PRESIDENTIAL SUITEDORCHESTER HOTEL  DAY,18
14,INT LOUVREPARIS  NIGHT,52
15,INT JACKSONS APARTMENTLOS ANGELES  EARLY MORNING,29
16,EXT JACKSONS GARAGELOS ANGELES  EARLY MORNING,11
17,EXT JACKSONS STREETLOS ANGELES  EARLY MORNING,14
18,INT STREETSLOS ANGELES  EARLY MORNING,12
19,EXT KATES HOUSELOS ANGELES  MORNING,63
20,EXT SHIP DECKSAN FRANCISCO HARBOR  DAY,51
21,INT LAURAS BEDROOMDC  EARLY MORNING,8
22,EXT STREETSPARIS  NIGHT,24
23,EXT ROADYELLOWSTONE NATIONAL PARK  DAY,36
24,INT OVAL OFFICEWHITE HOUSE  MORNING,40
25,EXT FOREST TRAILYELLOWSTONE NATIONAL PARK  DAY,27
26,EXT RIDGEYELLOWSTONE NATIONAL PARK  DAY,9
27,EXT EMPTY LAKE BEDYELLOWSTONE NATIONAL PARK  DAY,19
28,EXT RESEARCH FACILITYYELLOWSTONE NATIONAL PARK  DAY,72
29,EXT FOREST TRAILYELLOWSTONE NATIONAL PARK  LATER,16
30,EXT TENTYELLOWSTONE NATIONAL PARK  DUSK,40
31,EXT RESEARCH FACILITYYELLOWSTONE NATIONAL PARK  DUSK,19
32,INT LIMOYELLOWSTONE NATIONAL PARK  DUSK,40
33,INT CHARLIES RVYELLOWSTONE NATIONAL PARK  DUSK,127
34,EXT PARKING LOT OF SUPERMARKETLOS ANGELES  NIGHT,5
35,INT BETWEEN AISLESSUPERMARKET  NIGHT,71
36,INT CONVENIENCE STOREYELLOWSTONE  MORNING,32
37,INT HALLWAYWHITE HOUSE  MORNING,26
38,INT SITUATION ROOMWHITE HOUSE  MORNING,52
39,INT BOXING ARENA OF MGM GRANDLAS VEGAS  NIGHT,63
40,EXT WESTWOODLOS ANGELES  SUNRISE,7
41,EXT KATES HOUSELOS ANGELES  EARLY MORNING,35
42,INT PRESIDENTIAL SUITELAS VEGAS  EARLY MORNING,16
43,EXT STREETBEL AIR  MORNING,6
44,EXT MANSIONBEL AIR  MORNING,11
45,EXT STREETSLOS ANGELES  MORNING,19
46,EXT SANTA MONICA AIRPORTLOS ANGELES  MORNING,28
47,INT KITCHENLOS ANGELES  MORNING,14
48,EXT STREETSLOS ANGELES  MORNING,27
49,INT KATES HOUSELOS ANGELES  MORNING,19
50,EXT KATES HOUSELOS ANGELES  MORNING,2
51,INT KATES HOUSELOS ANGELES  MORNING,15
52,EXT KATES HOUSELOS ANGELES  MORNING,11
53,EXT STREETSLOS ANGELES  MORNING,8
54,EXT SANTA MONICA AIRPORTLOS ANGELES  MORNING,95
55,EXT FREEDOM OF THE SEASPACIFIC  DAY,3
56,INT BARFREEDOM OF THE SEAS  DAY,28
57,INT HALLWAYWHITE HOUSE  DAY,7
58,INT GALLEYCRUISE SHIP  DAY,8
59,INT HALLWAYWHITE HOUSE  DAY,11
60,INT GALLEYCRUISE SHIP  DAY,10
61,INT HALLWAYWHITE HOUSE  DAY,9
62,INT GALLEYCRUISE SHIP  DAY,4
63,INT BARCRUISE SHIP  DAY,35
64,INT ADRIANS OFFICEWHITE HOUSE  DAY,28
65,EXT RESEARCH FACILITYYELLOWSTONE NATIONAL PARK  DAY,24
66,EXT CHARLIES RVYELLOWSTONE NATIONAL PARK  DAY,25
67,INT RVYELLOWSTONE NATIONAL PARK  DAY,8
68,EXT EMPTY ARMY BASEYELLOWSTONE NATIONAL PARK  DAY,9
69,INT RVYELLOWSTONE NATIONAL PARK  DAY,8
70,EXT RESEARCH FACILITYYELLOWSTONE NATIONAL PARK  DAY,7
71,INT RVYELLOWSTONE NATIONAL PARK  DAY,41
72,EXT MOUNTAIN PEAKYELLOWSTONE NATIONAL PARK  DAY,51
73,EXT BELOW MOUNTAIN PEAKYELLOWSTONE NATIONAL PARK  DAY,16
74,EXT RESEARCH FACILITYYELLOWSTONE NATIONAL PARK  DAY,11
75,EXT MOUNTAIN PEAKYELLOWSTONE NATIONAL PARK  DAY,6
76,EXT DIRT ROADYELLOWSTONE NATIONAL PARK  DAY,16
77,EXT MOUNTAIN PEAKYELLOWSTONE NATIONAL PARK  DAY,7
78,EXT DIRT ROADYELLOWSTONE NATIONAL PARK  DAY,8
79,EXT MOUNTAIN PEAKYELLOWSTONE NATIONAL PARK  DAY,8
80,EXT DIRT ROADYELLOWSTONE NATIONAL PARK  DAY,14
81,EXT EMPTY ARMY BASEYELLOWSTONE NATIONAL PARK  DAY,99
82,INT WEST WINGWHITE HOUSE  LATE AFTERNOON,18
83,INT OVAL OFFICEWHITE HOUSE  LATE AFTERNOON,26
84,INT CHAPELWHITE HOUSE  SUNSET,66
85,EXT LAS VEGAS  SUNSET,9
86,EXT AIRFIELDLAS VEGAS AIRPORT  SUNSET,54
87,INT AIR FORCE ONEARLINGTON AIRPORT  DUSK,8
88,INT COMMAND CENTERAIR FORCE ONE  DUSK,64
89,INT AIRPORT TERMINALLAS VEGAS AIRPORT  DUSK,53
90,EXT AIR FIELDLAS VEGAS AIRPORT  DUSK,14
91,INT COCKPITANTONOV  DUSK,7
92,INT CARGO HOLDANTONOV  DUSK,14
93,INT COCKPITANTONOV  DUSK,13
94,INT TERMINALLAS VEGAS AIRPORT  DUSK,5
95,EXT RUNWAYLAS VEGAS AIRPORT  DUSK,3
96,INT COCKPITANTONOV  DUSK,11
97,INT CARGO HOLDANTONOV  DUSK,3
98,EXT RUNWAYLAS VEGAS AIRPORT  DUSK,5
99,INT COCKPITANTONOV  DUSK,7
100,INT TERMINALLAS VEGAS AIRPORT  DUSK,7
101,INT CARGO HOLDANTONOV  DUSK,4
102,EXT RUNWAYLAS VEGAS AIRPORT  DUSK,6
103,INT COCKPITLAS VEGAS AIRPORT  DUSK,5
104,EXT CANYONLAS VEGAS  DUSK,3
105,INT COCKPITANTONOV  DUSK,5
106,EXT CANYON RIMLAS VEGAS  DUSK,6
107,INT COCKPITANTONOV  DUSK,12
108,EXT YAK LA MONASTERYTIBET  DAY,46
109,EXT HOUSING PROJECTTIBET  DAY,45
110,EXT ANTONOVOVER THE PACIFIC  NIGHT,4
111,INT CARGO HOLDANTONOV  NIGHT,97
112,INT COCKPITANTONOV  NIGHT,21
113,EXT ANTONOVOVER HAWAII  NIGHT,4
114,INT COCKPITANTONOV  NIGHT,5
115,INT CARGO HOLDANTONOV  NIGHT,9
116,INT COCKPITANTONOV  NIGHT,8
117,EXT ANTONOVOVER HAWAII  NIGHT,4
118,INT COCKPITANTONOV  NIGHT,15
119,EXT ANTONOVOVER HAWAII  NIGHT,4
120,INT PRESIDENTIAL CABINAIR FORCE ONE  NIGHT,78
121,EXT WHITE HOUSEWASHINGTON DC  NIGHT,7
122,INT WEST WINGWHITE HOUSE  NIGHT,24
123,EXT FRONT LAWNWHITE HOUSE  NIGHT,31
124,INT COMMAND CENTERAIR FORCE ONE  DAY,32
125,EXT ST PETERS SQUAREROME  DAWN,9
126,INT SISTINE CHAPELCEILING  DAWN,8
127,EXT ST PETERS SQUAREROME  DAWN,6
128,EXT MOUNT CORCOVADORIO DE JANEIRO  DAY,9
129,EXT MOUNTAIN PASSTIBET  NIGHT,16
130,INT THE ANTONOV  NIGHT,46
131,INT COMMAND CENTERAIR FORCE ONE  DAY,36
132,INT SALONCRUISE SHIP  NIGHT,30
133,EXT MIDDLE DECKCRUISE SHIP  NIGHT,8
134,EXT SHIBAMYEMEN  DAY,11
135,EXT WHITE HOUSEWASHINGTON DC  NIGHT,16
136,INT COMMAND CENTERAIR FORCE ONE  DAY,48
137,INT COCKPITANTONOV  DAWN,11
138,INT CARGO HOLDANTONOV  DAWN,41
139,EXT ANTONOV  DAWN,4
140,INT CARGO HOLDANTONOV  DAWN,24
141,INT COCKPITANTONOV  DAWN,39
142,INT CARGO HOLDANTONOV  DAWN,9
143,INT COCKPITANTONOV  DAWN,12
144,INT CARGO HOLDANTONOV  DAWN,15
145,INT COCKPITANTONOV  DAWN,17
146,INT CARGO HOLDANTONOV  DAWN,34
147,EXT GLACIERTIBET  DAWN,72
148,EXT AIRFIELD IN CHO MING VALLEYTIBET  DAWN,21
149,INT HELICOPTERCHO MING VALLEYTIBET  DAWN,17
150,EXT CHO MING VALLEYTIBET  DAWN,10
151,EXT CHOPPERCHO MING VALLEY  DAWN,26
152,EXT THE GLACIERCHO MING  DAWN,34
153,EXT DIRT ROADNEAR CHO MING  DAWN,19
154,INT INSIDE MOUNTAINCHO MING  DAWN,29
155,EXT NAMPAN MOUNTAINSEAST COAST OF INDIA  SUNRISE,14
156,INT LIVING QUARTERSAMERICAN SHIP  SUNRISE,21
157,EXT NAMPAN MOUNTAINSEAST COAST OF INDIA  SUNRISE,12
158,INT LIVING QUARTERSAMERICAN SHIP  SUNRISE,6
159,INT BRIDGEAMERICAN SHIP  SUNRISE,59
160,EXT GATECHO MING SITE  EARLY MORNING,59
161,INT SHIP BAYCHO MING  EARLY MORNING,15
162,INT PLATFORM SHIP BAYCHO MING  EARLY MORNING,24
163,EXT MOUNTAIN RIDGECHO MING  MORNING,12
164,INT SHIP BAYCHO MING  MORNING,4
165,INT LIVING QUARTERSAMERICAN SHIP  MORNING,16
166,EXT LAUNCH SITECHO MING VALLEY  MORNING,3
167,EXT BENEATH A LAUNCHING TOWERCHOMING  MORNING,3
168,INT BRIDGEAMERICAN SHIP  MORNING,5
169,INT COMMAND BRIDGESOTHER SHIPS  MORNING,3
170,EXT TOP OF LAUNCHING TOWERCHO MING  MORNING,28
171,EXT SHIP BAYCHO MING SITE  MORNING,5
172,EXT TOP OF LAUNCHING TOWERCHO MING  MORNING,11
173,EXT ACCESS PLATFORMCHO MING SITE  MORNING,12
174,EXT TOP OF LAUNCHING TOWERCHO MING  MORNING,12
175,EXT ACCESS PLATFORMCHO MING SITE  MORNING,15
176,EXT TOP OF LAUNCHING TOWERCHO MING SITE  MORNING,16
177,INT HYDRAULIC CHAMBERAMERICAN SHIP  MORNING,9
178,INT TECHNICAL COMMAND CENTERAMERICAN SHIP  DAY,13
179,INT BRIDGEAMERICAN SHIP  DAY,22
180,INT BRIDGEEUROPEAN SHIP  DAY,11
181,INT BRIDGEAMERICAN SHIP  DAY,29
182,INT BRIDGEASIAN SHIP  DAY,6
183,INT BRIDGEAMERICAN SHIP  DAY,47
184,INT BRIDGEASIAN SHIP  DAY,5
185,INT BRIDGEEUROPEAN SHIP  DAY,7
186,INT BRIDGEAMERICAN SHIP  DAY,8
187,EXT LAUNCH SITECHO MING VALLEY  DAY,4
188,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,13
189,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,16
190,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,6
191,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,6
192,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,6
193,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,10
194,EXT ACCESS PLATFORMCHO MING  DAY,5
195,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,10
196,EXT LAUNCH SITECHO MING VALLEY  DAY,3
197,INT BRIDGEAMERICAN SHIP  DAY,12
198,EXT YAK LA MONASTERYTIBET  DAY,10
199,INT BRIDGEAMERICAN SHIP  DAY,20
200,EXT ACCESS PLATFORMCHO MING SITE  DAY,25
201,INT INSIDE LOADING GATEAMERICAN SHIP  DAY,16
202,INT BRIDGEAMERICAN SHIP  DAY,52
203,EXT AIRFIELDTIBET  DAY,4
204,EXT LAUNCH SITECHO MING VALLEY  DAY,5
205,INT HALLWAYAMERICAN SHIP  DAY,11
206,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,9
207,EXT LAUNCH SITECHO MING VALLEY  DAY,5
208,INT INSIDE LOADING GATEAMERICAN SHIP  DAY,5
209,INT HALLWAYAMERICAN SHIP  DAY,20
210,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,24
211,INT ANTECHAMBER ZOOLOGICAL BAYAMERICAN SHIP  DAY,22
212,INT CONNECTING CORRIDORZOOLOGICAL BAY  DAY,6
213,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,9
214,EXT LAUNCH PILLARUNDER WATER  DAY,8
215,INT BRIDGEAMERICAN SHIP  DAY,2
216,EXT LAUNCH SITECHO MING VALLEY  DAY,2
217,INT HALLWAYAMERICAN SHIP  DAY,4
218,EXT DARJEELING VALLEYHIMALAYA  DAY,7
219,INT BRIDGEAMERICAN SHIP  DAY,12
220,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,20
221,INT CONNECTING CORRIDORZOOLOGICAL BAY  DAY,6
222,INT ANTECHAMBER ZOOLOGICAL BAYAMERICAN SHIP  DAY,4
223,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,6
224,INT CONNECTING CORRIDORZOOLOGICAL BAY  DAY,5
225,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,14
226,INT BRIDGEAMERICAN SHIP  DAY,14
227,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,3
228,INT ANTECHAMBER ZOOLOGICAL BAYAMERICAN SHIP  DAY,6
229,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,6
230,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,6
231,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,5
232,INT BRIDGEAMERICAN SHIP  DAY,3
233,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,7
234,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,12
235,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,6
236,INT CONNECTING CORRIDORZOOLOGICAL BAY  DAY,9
237,INT BRIDGEAMERICAN SHIP  DAY,6
238,EXT DARJEELING VALLEYHIMALAYAS  DAY,2
239,INT HYDRAULIC CHAMBERAMERICAN SHIP  DAY,9
240,EXT PROPELLERSAMERICAN SHIP  DAY,3
241,INT BRIDGEAMERICAN SHIP  DAY,10
242,EXT DARJEELING VALLEYHIMALAYA  DAY,2
243,INT BRIDGEAMERICAN SHIP  DAY,4
244,INT ZOOLOGICAL BAYAMERICAN SHIP  DAY,31
245,INT SLEEPING QUARTERSAMERICAN SHIP  DAY,46
246,INT HALLWAYAMERICAN SHIP  DAY,7
247,INT FRONT DECKAMERICAN SHIP  DAY,28
248,INT BRIDGEAMERICAN SHIP  DAY,40
249,INT COMMAND BRIDGEFREEDOM OF THE SEAS  DAY,6
250,INT COMMAND BRIDGEAMERICAN SHIP  DAY,8
251,INT COMMAND BRIDGEFREEDOM OF THE SEAS  DAY,9
252,INT COMMAND BRIDGEAMERICAN SHIP  DAY,27
253,INT FRONT DECKAMERICAN SHIP  DAY,52
254,EXT AMERICAN SHIPSOMEWHERE IN THE HIMALAYAS  DAY,4
