1,INT MUSTANG,334
2,EXT CAMPBELLSAWYER HIGH SCHOOL  LATER,7
3,INT CAMPBELLSAWYER HIGH SCHOOL,94
4,INT CAMPBELLSAWYER CLASSROOM,143
5,INT TEACHERS  LOUNG E  LATER,177
6,INT SHREVE ZIMMER INVESTMENT BANK  SAME TIME,21
7,INT TEACHERS LOUNGE  CONTINUOUS,4
8,INT SHREVE ZIMMER  CONTINUOUS,204
9,EXT MONTYS BUILDING  LATE AFTERNOON,34
10,INT MONTYS APARTMENT,87
11,INT MONTYS BATHROOM  SIX MONTHS AGO,34
12,INT MONTYS LIVING ROOM  STILL IN FLASHBACK,121
13,INT MONTYS LIVING ROOM,31
14,EXT MONTYS BUILDING,100
15,INT SUBWAY STATION,160
16,EXT BROGANS BAR  NIGHT,7
17,INT BROGANS BAR,96
18,INT BROGANS BATHROOM  LATER,5
19,INT DEA DIVISION OFFICE INTERROGATION ROOM  MORNING,2
20,INT OBSERVATION ROOM  CONTINUOUS,2
21,INT DEA DIVISION OFFICE INTERROGATION ROOM  CONTINUOUS,89
22,INT BROGANS BATHROOM,8
23,INT BROGANS BAR,109
24,INT ELEUTHERIA GREEK RESTAURANT  NIGHT,156
25,EXT MULBERRY STREET  NIGHT,5
26,EXT CLOTHING BOUTIQUE,4
27,EXT CLOTHING BOUTIQUE  FLASHBACK TWO YEARS EARLIER,27
28,INT CLOTHING BOUTIQUE,18
29,INT BACK ROOM,20
30,EXT CLOTHING BOUTIQUE WINDOW  NIGHT,3
31,INT SLATTERYS APARTMENT  NIGHT,146
32,INT,141
33,INT SLATTERYS APARTMENT,120
34,INT MONTYS KITCHEN  NIGHT,7
35,INT MONTYS KITCHEN ON E YEAR EARLIER,89
36,INT MONTYS KITCHEN  PRESENT,6
37,INT VELVET NIGHTCLUB  MANAGERS OFFICE  NIGHT,84
38,INT BUG BAR  NIGHT,354
39,INT VELVET  MOMENTS LATER,63
40,INT VELVET VIP ROOM  MOMENTS LATER,383
41,INT CATWALK  MOMENTS LATER,142
42,INT VELVET VIP ROOM  LATER,184
43,INT VI P BATHROOM  CONTINUOUS,24
44,INT WHITE ROOM  LATER,96
45,INT WHITE ROOM,18
46,INT CLUB ROOM  LATER,145
47,INT BASEMENT HALLWAY  LATER,31
48,INT VELVET MANAGERS OFFICE  CONTINUOUS,278
49,EXT TH STREET  LATER,11
50,INT UNION SQUARE SUBWAY STATION,41
51,INT  TRAIN  LATER,8
52,EXT MONTYS BUILDING  NIGHT,3
53,INT MONTYS BUILDING,3
54,INT MONTYS APARTMENT,60
55,INT MONTYS LIVING ROOM,6
56,EXT EAST END AVENUE  LATER,17
57,EXT CARL SCHURZ PARK,10
58,EXT EAST RIVER ESPLANADE,228
59,EXT MONTY S BUILDING  DAWN,14
60,INT MONTYS LIVING ROOM,63
61,INT MONTYS BEDROOM  CONTINUOUS,7
62,INT MONTYS LIVING ROOM  CONTINUOUS,75
63,INT HALLWAY,4
64,EXT MONTYS BUILDING,4
65,INT MR BROGANS HONDA,43
66,EXT EAST RIVER ESPLANADE  DAWN,7
67,EXT EAST END AVENUE  DAWN,16
68,INT MR BROGANS HONDA  MORNING,67
69,EXT INTERSTATE HIGHWAY  DAY,6
70,EXT DESERT HIGHWAY  DAY,4
71,EXT MAIN STREET  DAY,13
72,INT TOWN BAR  DAY,27
73,INT TOWN BAR  NIGHT,6
74,INT HEAD SHOP  NIGHT,6
75,EXT TOWN BAR  DAY,7
76,EXT BUS STATION  DAY,12
77,INT APARTMENT  NIGHT,8
78,INT SMALL HOUSE  NIGHT,25
