1,EXT A SENTRY TOWER ,28
2,INT A MARINE BARRACKS,10
3,INT SANTIAGOS ROOM  NIGHT,23
4,EXT THE WASHINGTON NAVY YARD  DAY,17
5,EXT A RED BRICK BUILDING  DAY,24
6,INT WESTS OFFICE  DAY,132
7,EXT SOFTBALL FIELD  DAY,123
8,INT CONFERENCE ROOM  DAY,118
9,INT JOS OFFICE  DAY,219
10,EXT CUBAN FIELD  DAY,12
11,EXT MARINE BARRACKS  DAY,5
12,INT MESS HALL  DAY,4
13,EXT MARINE BARRACKS  DAY,4
14,EXT ROCKY HILL  DAY,34
15,INT,195
16,EXT WASHINGTON NAVY YARD  MAIN GATE  DAY,6
17,EXT THE BRIG  DAY,22
18,EXT,149
19,INT THE BRIG  DAY,213
20,INT,76
21,EXT,74
22,EXT SIDEWALK NEWSSTAND  DUSK,29
23,INT SAMS LIVING ROOM  NIGHT,100
24,EXT THE AIRSTRIP AT GUANTANAMO BAY  DAY,42
25,EXT CUBAN ROAD  THE JEEP  DAY,104
26,EXT,27
27,INT THE BARRACKS CORRIDOR  DAY,6
28,INT SANTIAGOS ROOM  DAY,57
29,INT THE OFFICERS CLUB  DAY,270
30,EXT ANDREWS AIRFORCE BASE  DUSK,4
31,EXT KAFFEES APARTMENT  DAY,69
32,INT A HOLDING ROOM IN THE BRIG  NIGHT,66
33,INT THE GYMNASIUM  NIGHT,126
34,INT A HOLDING ROOM  NIGHT,146
35,INT THE OFFICE CORRIDOR  NIGHT,95
36,INT A GEORGETOWN BAR  NIGHT,15
37,EXT A GEORGETOWN STREET  NIGHT,4
38,EXT THE PARADE GROUNDS  DAY,4
39,INT THE COURTROOM  DAY,83
40,INT KAFFEES APARTMENT  NIGHT,73
41,INT KAFFEES APT  LATER  NIGHT,61
42,INT KAFFEES APARTMENT ,8
43,INT KAFFEES APARTMENT  NIGHT,48
44,INT A LAW LIBRARY  NIGHT,6
45,INT A COFFEE SHOP  DAY,16
46,INT KAFFEES APARTMENT  NIGHT,6
47,INT THE BRIG  DAY,24
48,INT THE APARTMENT  NIGHT,77
49,INT THE COURTHOUSE CORRIDOR  DAY,7
50,INT THE COURTROOM  DAY,356
51,INT THE COURTROOM  DAY,317
52,INT KAFFEES APARTMENT  NIGHT,31
53,INT A SEAFOOD RESTAURANT  NIGHT,226
54,INT THE COURTHOUSE CORRIDOR  DUSK,8
55,EXT SIDEWALK STAND  NIGHT,112
56,INT KAFFEES APARTMENT  NIGHT,76
57,INT A WASHINGTON SALOON  NIGHT,83
58,INT COURTHOUSE CORRIDOR  DAY,8
59,INT THE COURTROOM  DAY,250
60,INT KAFFEES APARTMENT  NIGHT,14
61,EXT A MOTEL  NIGHT,10
62,INT MOTEL ROOM,51
63,INT KAFFEES APARTMENT,22
64,INT THE HOLDING ROOM  DAY,27
65,INT THE COURTHOUSE CORRIDOR  DAY,41
66,INT MARKINSONS ROOM  DAY,36
67,EXT THE COURTROOM  DAY,144
68,INT KAFFEES APARTMENT  NIGHT,259
69,EXT A SUBURBAN STREET  NIGHT,31
70,INT KAFFEES APARTMENT  LATER  AFTERNOON,107
71,INT THE COMPUTER ROOM  DUSK,5
72,INT KAFFEES OFFICE  EARLY EVENING,10
73,INT KAFFEES APARTMENT,7
74,INT COURTHOUSE CORRIDOR  DAY,17
75,INT AN ANTEROOM OFF THE CORRIDOR  DAY,54
76,INT THE COURTROOM  DAY,746
77,INT THE COURTROOM  LATE AFTERNOON,156
