1,EXT ADDAMS MANSION FRONT STEPS  CHRISTMAS EVE,31
2,INT DIM HALLWAY  SEVEN OCLOCK AM,35
3,INT FESTERS ROOM,31
4,INT HALLWAY  SAME TIME,5
5,INT GOMEZ AND MORTICIAS BEDROOM  SAME TIME,34
6,INT PUGSLEYS ROOM  SAME TIME,27
7,INT ATTIC  SAME TIME,25
8,INT GOMEZ AND MORTICIAS BEDROOM  SAME TIME,44
9,EXT ROOFTOP  SAME TIME,10
10,INTEXT MORTICIA AND GOMEZS BEDROOM  SAME TIME,23
11,INT ENTRANCE HALL  LATER,20
12,EXT BALCONY OUTSIDE GOMEZ AND MORTICIAS BEDROOM ,14
13,INT NEIGHBORS HOME  SAME TIME,12
14,EXT GOMEZ AND MORTICIAS BALCONY  SAME TIME,36
15,INT THE CONSERVATORY  LATER THAT MORNING,28
16,EXT JUST OUTSIDE THE ADDAMS GROUNDS  SAME TIME,23
17,INT CONSERVATORY  SAME TIME,39
18,INT BALLROOM  SAME TIME,39
19,EXT ADDAMS YARD  LATER,47
20,INT WEDNESDAYS ROOM  A SHORT WHILE LATER,16
21,INT DEN  A LITTLE LATER,21
22,EXT SWAMP  MIDDLE OF THE NIGHT,6
23,EXT PRIMEVAL FOREST ADJACENT TO CEMETERY  MIDDLE OF,6
24,EXT NEIGHBORHOOD  MIDDLE OF THE NIGHT,5
25,EXT UNDERGROUND GROTTO  MIDDLE OF THE NIGHT,13
26,EXT CEMETERY  DARK,7
27,INT MAUSOLEUM  SAME TIME,12
28,EXT GATE  DARKNESS BEFORE DAWN,83
29,INT COURTROOM  DAY,31
30,EXT ADDAMS MANSION  DAY,18
31,EXT ADDAMS OVERGROWN DRIVEWAY  LATER,12
32,EXT WAMPUM COURT  LATER,10
33,INT BUNGALOW  SAME TIME,68
34,INT ADDAMS MANSION  MIDWAY TO THE VAULT,6
35,EXT ADDAMS YARD  MIDNIGHT,18
36,INT WAMPUM COURT BUNGALOW  MORNING,54
37,EXT SIDEWALK IN FRONT OF THE WAMPUM COURT  DAY,23
38,INT EMPLOYMENT AGENCY,51
39,INT ADDAMS LIVING ROOM  DAY,26
40,EXT WAMPUM COURT  LATER THAT DAY,37
41,EXT SUBURBAN HOUSE  DAY,39
42,INT DAYCARE CENTER  DAY,38
43,EXT WAMPUN BUNGALOW  DAY,8
44,INT WAMPUM BUNGALOW  SAME TIME,18
45,EXT BUNGALOW  SAME TIME,25
46,INT ADDAMS MANSION DINING ROOM  DAY,24
47,INT BUNGALOW  AN HOUR LATER,60
48,INT WAMPUM COURT  LATER,25
49,INT WAMPUM  MIDDLE OF THE NIGHT,14
50,INT FESTERS BEDROOM  NIGHT,45
51,EXT BUNGALOW  LATER,6
52,EXT GATE  A LITTLE LATER,10
53,EXT ADDAMS MANSION  A LITTLE LATER,17
54,EXT INTERSECTION AT THE FOOT OF THE ADDAMS HILL  NIGHT ,10
55,INT STUDY  A LITTLE LATER,71
56,EXT WAMPUM COURT  NIGHT,5
57,EXT BUNGALOW  NIGHT,13
58,INT BUNGALOW  MINUTES LATER,29
59,INT GOMEZS STUDY  A FEW MINUTES LATER,64
60,INT DUESENBERG  NIGHT,10
61,INT STUDY  SAME TIME,239
62,EXT ADDAMS MANSION NEXT OCTOBER  NIGHT,19
63,INT FRONT HALL  SAME TIME,98
64,INT DINING ROOM  A FEW MINUTES LATER,178
65,INT FRONT HALL,26
