1,INT PAULS APARTMENT BEDROOM  DAY,45
2,INT PAULS APARTMENT BATHROOM  MOMENTS LATER,44
3,EXT CEMETERY  MORNING,5
4,EXT FUNERAL HOME  CONTINUOUS,3
5,INT FUNERAL HOME CASKET DISPLAY ROOM  MORNING,46
6,INTEXT ANNAS CAR  MORNING,11
7,EXT ELEMENTARY SCHOOL PARKING LOT  MORNING,3
8,INT ELEMENTARY SCHOOL CORRIDOR  MORNING,10
9,INT ELEMENTARY SCHOOL BIOLOGY CLASSROOM  MOMENTS LATER,52
10,INT ELEMENTARY SCHOOL TEACHERS COMMON ROOM  DAY,5
11,INT LAW OFFICE CONFERENCE ROOM  DAY,33
12,INT LAW OFFICE CORRIDOR  MOMENTS LATER,2
13,INT ELEMENTARY SCHOOL TEACHERS COMMON ROOM  SAME TIME,5
14,INT LAW OFFICE CORRIDOR  SAME TIME,8
15,INT ELEMENTARY SCHOOL CORRIDOR  SAME TIME,9
16,INT LAW OFFICE CORRIDOR  SAME TIME,21
17,INT ELEMENTARY SCHOOL CORRIDOR  SAME TIME,9
18,INT LAW OFFICE CORRIDOR  SAME TIME,11
19,INT ELEMENTARY SCHOOL CORRIDOR  MOMENTS LATER,49
20,EXT ELEMENTARY SCHOOL  MOMENTS LATER,79
21,INT ANNAS CAR  MOMENTS LATER,6
22,EXT ELEMENTARY SCHOOL  MOMENTS LATER,5
23,EXT STRIP MALL PHARMACY  DAY,8
24,INT HAIR SALON  DAY,14
25,INT MOTHERS HOUSE HALLWAY  DAY,11
26,INT MOTHERS HOUSE BEDROOM  MOMENTS LATER,95
27,INT FUNERAL HOME VIEWING ROOM  DAY,7
28,EXT FUNERAL HOME DRIVEWAY  CONTINUOUS,7
29,INT FUNERAL HOME VIEWING ROOM  MOMENTS LATER,47
30,INT FUNERAL HOME ELIOTS ROOM  DAY,10
31,EXT FUNERAL HOME DRIVEWAY  DAY,10
32,INT FUNERAL HOME ELIOTS ROOM  DAY,2
33,INT RESTAURANT  EVENING,148
34,INTEXT ANNAS CAR  NIGHT,8
35,EXT RESTAURANT PARKING LOT  CONTINUOUS,5
36,INTEXT ANNAS CAR  CONTINUOUS,3
37,EXT RESTAURANT PARKING LOT  CONTINUOUS,4
38,INTEXT ANNAS CAR  CONTINUOUS,9
39,EXT RESTAURANT PARKING LOT  CONTINUOUS,3
40,INTEXT ANNAS CAR HIGHWAY  NIGHT,32
41,INT FUNERAL HOME ELIOTS ROOM  EARLY MORNING,6
42,INT FUNERAL HOME PREP ROOM  EARLY MORNING,111
43,INT PAULS APARTMENT BEDROOM  MORNING,10
44,INT PAULS APARTMENT KITCHEN  LATER,12
45,INT HOSPITAL MORGUE  SAME TIME,35
46,INT PAULS APARTMENT KITCHEN  SAME TIME,8
47,EXT MOTHERS HOUSE  DAY,9
48,INTEXT PAULS CAR  MOMENTS LATER,8
49,INT ELEMENTARY SCHOOL CORRIDOR  DAY,3
50,INT ELEMENTARY SCHOOL BIOLOGY CLASSROOM  MOMENTS LATER,36
51,INT FUNERAL HOME PREP ROOM  DAY,56
52,INT FUNERAL HOME HALLWAY  MOMENTS LATER,23
53,INT FUNERAL HOME PREP ROOM  DAY,50
54,EXT FUNERAL HOME DRIVEWAY  DAY,2
55,INTEXT PAULS CAR  DAY,10
56,EXT MOTHERS HOUSE  MOMENTS LATER,16
57,INT MOTHERS HOUSE BEDROOM  MOMENTS LATER,51
58,INT FUNERAL HOME KITCHEN  DAY,3
59,INT FUNERAL HOME PREP ROOM  SAME TIME,4
60,INT FUNERAL HOME KITCHEN  MOMENTS LATER,5
61,INT FUNERAL HOME PREP ROOM  SAME TIME,22
62,INT FUNERAL HOME ELIOTS OFFICE  DAY,9
63,EXT FUNERAL HOME DRIVEWAY  MOMENTS LATER,54
64,INT FUNERAL HOME PREP ROOM  SAME TIME,6
65,EXT FUNERAL HOME DRIVEWAY  SAME TIME,16
66,INT FUNERAL HOME PREP ROOM  LATER,88
67,INT FUNERAL HOME HALLWAY  MOMENTS LATER,4
68,INT FUNERAL HOME PREP ROOM  DAY,18
69,INT JACKS HOUSE KITCHEN  DAY,5
70,INT JACKS HOUSE LIVING ROOM  MOMENTS LATER,12
71,EXT STREETS  DAY,5
72,EXT FUNERAL HOME  DAY,5
73,INT POLICE STATION  DAY,23
74,INT POLICE STATION CORRIDOR  MOMENTS LATER,14
75,INT POLICE STATION GARAGE  MOMENTS LATER,79
76,INT FUNERAL HOME BASEMENT CORRIDOR  DAY,4
77,INT FUNERAL HOME PREP ROOM  MOMENTS LATER,203
78,INT JACKS HOUSE BEDROOM  NIGHT,9
79,INT PAULS APARTMENT LIVING ROOM  NIGHT,14
80,INT FUNERAL HOME PREP ROOM  NIGHT,32
81,INT DARKNESS,20
82,INT FUNERAL HOME PREP ROOM  SAME TIME,6
83,INT FUNERAL HOME VIEWING ROOM  DAY,8
84,INT FUNERAL HOME PREP ROOM  SAME TIME,10
85,INT FUNERAL HOME VIEWING ROOM  DAY,98
86,INT FUNERAL HOME BASEMENT CORRIDOR  MOMENTS LATER,9
87,INT FUNERAL HOME PREP ROOM  MOMENTS LATER,49
88,EXT CEMETERY  DAY,5
89,INT PAULS APARTMENT BEDROOM  DAY,17
90,INT PAULS APARTMENT BATHROOM  CONTINUOUS,37
91,INT JACKS HOUSE KITCHEN  EVENING,11
92,INT FUNERAL HOME PREP ROOM  EVENING,67
93,EXT FUNERAL HOME DRIVEWAY  MOMENTS LATER,4
94,INT FUNERAL HOME PREP ROOM  SAME TIME,4
95,INTEXT ELIOTS VAN STREETS  MOMENTS LATER,5
96,INT FUNERAL HOME PREP ROOM  SAME TIME,14
97,EXT GAS STATION  LATER,15
98,INT FUNERAL HOME PREP ROOM  SAME TIME,5
99,INTEXT ELIOTS VAN STREETS  SAME TIME,4
100,INT FUNERAL HOME PREP ROOM  MOMENTS LATER,5
101,INTEXT ELIOTS VAN STREETS  SAME TIME,2
102,INT FUNERAL HOME ENTRANCE HALL  NIGHT,10
103,EXT FUNERAL HOME DRIVEWAY  NIGHT,4
104,INT FUNERAL HOME ENTRANCE HALL  CONTINUOUS,4
105,INT FUNERAL HOME KITCHEN  MOMENTS LATER,5
106,INT FUNERAL HOME ENTRANCE HALL  CONTINUOUS,5
107,INT FUNERAL HOME KITCHEN  MOMENTS LATER,5
108,INT FUNERAL HOME HALLWAY  CONTINUOUS,11
109,INT FUNERAL HOME VIEWING ROOM  MOMENTS LATER,4
110,INT FUNERAL HOME ENTRANCE HALL  SAME TIME,4
111,INT FUNERAL HOME UPSTAIRS CORRIDOR  MOMENTS LATER,4
112,INT FUNERAL HOME ENTRANCE HALL  SAME TIME,4
113,INT FUNERAL HOME UPSTAIRS ROOM  MOMENTS LATER,2
114,INT PAULS APARTMENT KITCHEN  SAME TIME,3
115,INT FUNERAL HOME UPSTAIRS ROOM  SAME TIME,6
116,INT FUNERAL HOME STAIRS  SAME TIME,2
117,INT PAULS APARTMENT KITCHEN  SAME TIME,4
118,INT FUNERAL HOME UPSTAIRS ROOM  SAME TIME,5
119,INT PAULS APARTMENT KITCHEN  SAME TIME,2
120,INT FUNERAL HOME UPSTAIRS ROOM  SAME TIME,5
121,INT PAULS APARTMENT KITCHEN  SAME TIME,10
122,INT FUNERAL HOME UPSTAIRS ROOM  SAME TIME,59
123,EXT FUNERAL HOME DRIVEWAY,7
124,INT FUNERAL HOME UPSTAIRS ROOM  SAME TIME,3
125,INT PAULS APARTMENT KITCHEN  MOMENTS LATER,4
126,INT PAULS APARTMENT BEDROOM  MOMENTS LATER,5
127,INT FUNERAL HOME PREP ROOM  DAY,11
128,INT PAULS APARTMENT BEDROOM  CONTINUOUS,58
129,INT FUNERAL HOME PREP ROOM  CONTINUOUS,17
130,INT FUNERAL HOME ELIOTS OFFICE  MOMENTS LATER,12
131,INT HOSPITAL MORGUE  DAY,18
132,INT ELEMENTARY SCHOOL TEACHERS COMMON ROOM  DAY,16
133,INT ELEMENTARY SCHOOL CORRIDOR  LATER,73
134,INT ELEMENTARY SCHOOL SECURITY ROOM  DAY,37
135,INT FUNERAL HOME PREP ROOM  DAY,95
136,INT FUNERAL HOME  DAY,5
137,INT FUNERAL HOME ELIOTS ROOM  DAY,42
138,INT FUNERAL HOME HALLWAY  DAY,23
139,INT FUNERAL HOME PREP ROOM  MOMENTS LATER,123
140,INT JACKS HOUSE LIVING ROOM  DAY,7
141,EXT CEMETERY  LATER,3
142,INT FUNERAL HOME VIEWING ROOM  MOMENTS LATER,64
143,INT FUNERAL HOME PREP ROOM  DAY,76
144,INTEXT PAULS CAR STREETS  DAY,4
145,EXT STREETSTORE WINDOW  CONTINUOUS,12
146,EXT FUNERAL HOME DRIVEWAY  DAY,51
147,INT FUNERAL HOME HALLWAY  MOMENTS LATER,12
148,INT FUNERAL HOME BASEMENT CORRIDOR  MOMENTS LATER,12
149,INT FUNERAL HOME PREP ROOM  SAME TIME,10
150,INT FUNERAL HOME BASEMENT CORRIDOR  SAME TIME,6
151,INT FUNERAL HOME PREP ROOM  SAME TIME,5
152,INT FUNERAL HOME BASEMENT CORRIDOR  SAME TIME,4
153,INT FUNERAL HOME PREP ROOM  SAME TIME,3
154,INT FUNERAL HOME BASEMENT CORRIDOR  SAME TIME,11
155,INT FUNERAL HOME PREP ROOM  SAME TIME,7
156,INT FUNERAL HOME BASEMENT CORRIDOR  CONTINUOUS,7
157,INT POLICE STATION  DAY,137
158,EXT CEMETERY  LATE AFTERNOON,41
159,INT FUNERAL HOME PREP ROOM  EVENING,144
160,EXT FUNERAL HOME  NIGHT,4
161,EXT MOTHERS HOUSE  NIGHT,7
162,INT MOTHERS HOUSE HALLWAY  NIGHT,6
163,INT MOTHERS HOUSE BEDROOM  NIGHT,21
164,INT FUNERAL HOME PREP ROOM  NIGHT,10
165,EXT ROAD BY FUNERAL HOME  NIGHT,5
166,EXT FUNERAL HOME  MOMENTS LATER,19
167,EXT JACKS HOUSE GARDEN  NIGHT,12
168,INT FUNERAL HOME ELIOTS ROOM  DAWN,5
169,EXT FUNERAL HOME  DAWN,5
170,INT FUNERAL HOME PREP ROOM  DAWN,26
171,INT BEATRICES HOUSE BEDROOM  DAY,7
172,INT PAULS APARTMENT BATHROOM  DAY,3
173,INT FUNERAL HOME PREP ROOM  DAY,75
174,INT FUNERAL HOME VIEWING ROOM  LATE AFTERNOON,64
175,INT INSIDE THE CASKET  SAME TIME,4
176,INT FUNERAL HOME VIEWING ROOM  SAME TIME,24
177,EXT CEMETERY ANNAS GRAVE  LATE AFTERNOON,3
178,INT INSIDE THE CASKET  SAME TIME,3
179,EXT CEMETERY ANNAS GRAVE  SAME TIME,8
180,INT INSIDE THE CASKET  SAME TIME,5
181,EXT CEMETERY ANNAS GRAVE  LATER,11
182,INT FUNERAL HOME ELIOTS ROOM  SAME TIME,27
183,EXT FUNERAL HOME DRIVEWAY  MOMENTS LATER,29
184,INT MOTHERS HOUSE DINING ROOM  NIGHT,56
185,EXT MOTHERS HOUSE  NIGHT,2
186,INT PAULS CAR  NIGHT,3
187,EXT MOTHERS HOUSE  NIGHT,3
188,INT INSIDE THE CASKET  SAME TIME,4
189,INTEXT PAULS CAR ROAD  NIGHT,29
190,EXT ROAD  NIGHT,2
191,EXT CEMETERY PARKING LOT  NIGHT,4
192,EXT CEMETERY ANNAS GRAVE  MOMENTS LATER,53
193,INTEXT ELIOTS VAN ROAD  NIGHT,4
194,EXT CEMETERY PARKING LOT  NIGHT,16
195,INT PAULS CAR  MOMENTS LATER,57
