1,EXT FOREST  NIGHT,28
2,EXT FOREST  LATER THAT NIGHT,10
3,EXT ORPHANAGE  NIGHT,26
4,EXT FOREST  LATER,8
5,EXT FOREST CLEARING,8
6,EXT SHED  MOMENTS LATER,6
7,INT SHED  MOMENTS LATER,17
8,EXT ORPHANAGE,10
9,INT SHED,18
10,INT AIRPLANE  DAY,36
11,EXT AIRPORT TERMINAL  DAY,23
12,INT PINKERTONS TAXI  CONTINUOUS,8
13,EXT CITY STREET  DAY,5
14,INT CARNBYS TAXI,48
15,CC EXT CITY STREETS,17
16,EXT MARKET STREET,64
17,INT BAKERY,7
18,EXT MARKET STREET,9
19,INT HERBALIST STORE,20
20,EXT ALLEY,41
21,INT ICE FACTORY,52
22,EXT MUSEUM  DAY,7
23,INT MUSEUMMAIN HALL  DAY,73
24,EXT SHIP DECK  DAY,21
25,EXT WATER SURFACE,5
26,EXT SHIP DECK,11
27,EXT WATER SURFACE,6
28,INT CARNBYS LOFT  DUSK,39
29,EXT DOCKS  NIGHT,10
30,EXT SHIP DECK  NIGHT,35
31,INT CARNBYS LOFT,13
32,INT MUSEUMALINES OFFICE,17
33,EXT SHIP DECK,43
34,INT SHIP STORAGE ROOM  CONTINUOUS,7
35,EXT SHIP DECK  CONTINUOUS,10
36,INT CARNBYS LOFT  AT THAT MOMENT,14
37,INT JOHNS HOUSEBEDROOM  AT THAT MOMENT,11
38,EXT JOHNS HOUSE  NIGHT,5
39,INT CARNBYS LOFT  AT THAT MOMENT,6
40,INT MUSEUMMAIN HALL  AT THAT MOMENT,7
41,INT MUSEUMALINES OFFICE  AT THAT MOMENT,19
42,EXT SHIP DECK  AT THAT MOMENT,7
43,INT SHIP STORAGE ROOM,8
44,INT SHIP DECK,28
45,INT SHIP STORAGE ROOM,35
46,INT SHIP DECK  CONTINUOUS,19
47,INT BUREAU HALLWAY  NIGHT,36
48,INT BUREAU  HEADQUARTERSCONTROL ROOM  CONTINUOUS,19
49,INT ORPHANAGEDEN  NIGHT,21
50,INT ORPHANAGECHILDRENS ROOM  NIGHT  TWENTY YEARS AGO,7
51,INT CARNBYS LOFT  DAY,24
52,EXT JOHNS HOUSEFRONT PORCH  DAY,19
53,EXT ORPHANAGE  DAY,47
54,INT CARNBYS LOFT  DAY,28
55,EXT RESTAURANT PATIO  DAY,42
56,EXT MUSEUM  DUSK,6
57,INT MUSEUMALINES OFFICE  NIGHT,36
58,INT MUSEUMMAIN HALL  DUSK,33
59,INT MUSEUMALINES OFFICE,32
60,INT MUSEUMALINES OFFICE  MOMENTS LATER,39
61,INT MUSEUMMAIN HALL,19
62,INT MUSEUMHALLWAY,31
63,INT MUSEUMCERAMICS ROOM,21
64,INT MUSEUMHALLWAY ,12
65,INT MUSEUMCERAMICS ROOM,50
66,INT MUSEUMHALLWAY ,21
67,INT MUSEUMSTORAGE ROOM,43
68,INT MUSEUMHALLWAY   CONTINUOUS,14
69,INT MUSEUMMAIN HALL,30
70,EXT MUSEUM  CONTINUOUS,3
71,INT MUSEUMMAIN HALL  CONTINUOUS,61
72,INT BUREAU  HEADQUARTERSCONTROL ROOM  AT THAT MOMENT,7
73,INT MUSEUMMAIN HALL  AT THAT MOMENT,14
74,EXT MUSEUM  NIGHT,15
75,INT MUSEUMMAIN HALL,74
76,EXT MUSEUM  LATER,16
77,INT MUSEUMMAIN HALL,31
78,INT FISCHERS LAB  NIGHT,84
79,A INT MUSEUMALINES OFFICE  LATER,79
80,INT FISCHERS LAB  LATER,17
81,A INT MUSEUMALINES OFFICE  LATER,22
82,INT FISCHERS LAB  LATER,80
