1,INT HOUSE  CLOSED EYES,8
2,EXT STREET CORNER  A LARGE TIRE,3
3,INT HOUSE  TIGHT ON THE EYES,3
4,EXT VENICE BEACH HOUSE  A WET NIGHT,4
5,EXT WET STREET  A GRAY TRANS AM,9
6,INT BEDROOM  DANNY VINYARDS EYES,9
7,EXT HOUSE  SAME,3
8,INT DANNYS BEDROOM  TIGHT ON DANNY,6
9,INT DEREKS BEDROOM  A NAZI IRON EAGLE BATTLE FLAG,65
10,INT HALLWAY  SAME,5
11,EXT HOUSE  DEREKS EYE POV,3
12,INT HOUSE  DEREK AT THE DOOR,2
13,EXT HOUSE  THE DUEL,7
14,INTEXT BRONCO  THE OTHER MAN,6
15,INT VINYARD HOUSEHOLD  DARKNESS,10
16,EXT BEDROOM  DANNYS POV,12
17,EXT POLICE STATION  EARLY MORNING,10
18,INT BRIEFING ROOM  A MEETING,73
19,EXT VINYARD HOUSEHOLD  A LIVE BROADCAST  VIDEOTAPE,72
20,INT BRIEFING ROOM  SAME,36
21,EXT VENICE BEACH BOARDWALK  MORNING,14
22,EXT VENICE HIGH SCHOOL  THE BIKE CORRAL,3
23,EXT HALLWAY  TIGHT ON A THRASHED LOCKER,9
24,INT SCHOOL BATHROOM  A URINAL,27
25,INT CLASS  SAME,20
26,INT PRINCIPAL LOBBY  DANNY,13
27,INT OFFICE  THE CONVERSATION,36
28,EXT OFFICE  THE DOOR OPENS,11
29,INT OFFICE  DANNY ENTERS,89
30,EXT VENICE SHORELINE  LATE AFTERNOON,14
31,EXT BOARDWALK  NEAR THE BASKETBALL COURT,34
32,EXT BASKETBALL COURT  A GAME  FLASHBACK,83
33,EXT COURT  BLACK VERSUS WHITE,111
34,EXT STREET  BY THE COURT,12
35,EXT VENICE BOARDWALK  PRESENT  DANNYS POV,12
36,EXT SMALL BEACH HOUSE  A PATIO,5
37,EXT SIDE ENTRANCE  TWO YEAROLDS,15
38,INT TINY MESSY BEDROOM  SAME,46
39,EXT BOARDWALK  DANNY JASON AND CMRIS  LATER,15
40,INT DUMPY APARTMENT  TIGHT ON TEARY EYES,8
41,EXT DUMPY APARTMENT BUILDING  NIGHT,23
42,INT BEDROOM  DEREK ON THE PHONE,4
43,INT LIVING ROOM  SAME,35
44,INT BATHROOM  THE CAN,20
45,INT BEDROOM  DEREK,28
46,INTEXT BEDROOM  DEREMS POV,8
47,INT BATHROOM  TIGHT ON SETH,5
48,INT HALLWAY  SETH CONTINUED,3
49,INT LIVING ROOM  CONTINUE TV ACTION,16
50,EXT CHINO PRISON  THE VINYARDS ON NEWS FOOTAGE,13
51,INT VINYARD HOUSE  TIGHT ON THE TV,17
52,INT KITCHEN  SETHS POV,10
53,INT SMALL KITCHEN  SAME,97
54,INT LIVING ROOM  DAVINA,155
55,INT LIVING ROOM  THE PINK BLANKET,91
56,INT APARTMENT  TIGHT ON DORIS,2
57,EXT SIDE STREET  SETHS TRUCK,6
58,INT DANNYS BEDROOM  A DESK,6
59,INT HALLWAYLIVING ROOM  DANNYS POV,15
60,INT BEDROOM  TWO SINGLE BEDS,69
61,EXT ESTABLISHING SHOT  NIGHT  FLASHBACK,119
62,EXT LIGHTED GROCERY STORE  SAME,21
63,INT BACK STOCK AREA  THE YEAROLD KOREAN OWNER,13
64,INT BRONCO  TIGHT ON DANNY,7
65,INT BEDROOM  PRESENT  THE COMPUTER,6
66,EXT VENICE BEACH HOUSE  A RAINY NIGHT  FLASHBACK,7
67,INT BEACH HOUSE  THE DINING ROOM,262
68,INT BEDROOM  DANNY THINKING  PRESENT,5
69,INT DINING ROOM  TIGHT ON DEREK  FLASHBACK CONT,65
70,EXT STREET  NIGHT,37
71,INT HOUSE  SAME,79
72,INT BEDROOM  TIGHT ON DANNYS EYES  PRESENT,6
73,INT LIVING ROOM  DANNY,54
74,INT BEDROOM CLOSET  DANNY,11
75,INT BEDROOM WINDOW  THE EYES  FLASHBACK,8
76,EXT HOUSE  TIGHT ON DEREK,70
77,EXT WET STREET  THE CRIME SCENE  LATER,27
78,INT BEDROOM  DANNYS EYES,12
79,INT FRONT HALL  DANNYS POV,17
80,INT BEDROOM  THE THREESOME,20
81,INT,56
82,EXT CAMMERONS HOUSE PARTY  NIGHT,2
83,INT TRUCK  DEREK AND SETH,57
