1,INT POKROVSKOENIGHT,16
2,INT KITCHEN POKROVSKOE SAME TIMENIGHT,7
3,EXT YARD POKROVSKOE SAME TIMENIGHT,5
4,INT COWSHED POKROVSKOE SAME TIMENIGHT,24
5,INT DINING ROOM POKROVSKOENIGHT,12
6,INT MOSCOW DAY,5
7,INT OBLONSKYS DRESSING ROOM OBLONSKY,21
8,INT DAY NURSERY OBLONSKY HOUSE SAME,14
9,INT OBLONSKYS DRESSING ROOM SAME TIME,10
10,INT SCHOOLROOM OBLONSKY HOUSE SAME,21
11,INT ST PETERSBURGDAY,7
12,INT ANNAS BOUDOIR KARENIN HOUSE SAME,8
13,INT LINEN CLOSETDAY,5
14,INT LINEN CLOSET OBLONSKY HOUSEDAY,6
15,INT BEDROOM LEVEL OBLONSKY HOUSENIGHT,10
16,INT KARENINS STUDY KARENIN HOUSEDAY,58
17,INT OBLONSKYS DRESSING ROOM OBLONSKY,14
18,INT BEDROOM LEVEL OBLONSKY HOUSE SAME,20
19,INT OBLONSKYS OFFICE MOSCOWDAY,27
20,INT OBLONSKYS PRIVATE OFFICE SAME TIMEDAY,51
21,INT GENERAL OFFICE SAME TIMEDAY,10
22,EXT LANGLETERRE RESTAURANT MOSCOWDAY,6
23,INT LANGLETERRE RESTAURANT MOSCOW,68
24,INT ST PETERSBURGNIGHT,7
25,INT DAY NURSERY KARENIN HOUSEDAY,29
26,INT KARENIN HOUSENIGHT,6
27,INT MOVING TRAINNIGHT,38
28,EXT SHCHERBATSKY HOUSE MOSCOWNIGHT,3
29,INT ENTRANCE HALL SHCHERBATSKY HOUSE,23
30,INT RECEPTION ROOM SHCHERBATSKY HOUSE,82
31,EXT SHCHERBATSKY HOUSENIGHT,5
32,EXT KHITROVKA MOSCOWNIGHT,2
33,INT THE UNICORN KHITROVKANIGHT,18
34,INT NIKOLAIS ROOM KHITROVA SAME TIME,83
35,INT STATION MOSCOWDAY,22
36,EXT PLATFORM THE ARRIVING TRAIN SAME,3
37,EXT PLATFORM ENTRANCE GATE SAME TIMEDAY,8
38,EXT PLATFORM SAME TIMEDAY,9
39,EXT TRAIN ENGINE SAME TIME,2
40,EXT EXITENTRANCE GATE SAME TIMEDAY,3
41,EXT PRIVATE COACH SAME TIMEDAY,2
42,INT TRAIN SAME TIME DAY,10
43,INTEXT PORCHDAY,3
44,EXT PLATFORM SAME TIMEDAY,9
45,INT TRAIN SAME TIME DAY,21
46,EXT PLATFORM SAME TIMEDAY,8
47,INT TRAIN SAME TIME DAY,29
48,EXT PLATFORM SAME TIMEDAY,5
49,EXT TRACKS SAME TIME DAY,7
50,EXT PLATFORM AND EXIT GATEDAY,22
51,INT OBLONSKY COACHDAY,20
52,INT RECEPTION ROOM OBLONSKY HOUSE,59
53,INT RECEPTION ROOM OBLONSKY HOUSEDAY,69
54,INT RECEPTION ROOM OBLONSKY HOUSENIGHT,6
55,INT ENTRANCE HALL OBLONSKY HOUSE SAME,13
56,EXT NEAR POKROVSKOEDAY,8
57,INT BATHHOUSE POKROVSKOE DAY,49
58,INT THE BALL MOSCOWNIGHT,163
59,INT TRAIN SAME TIMENIGHT,6
60,EXT RUSSIANIGHT,3
61,INT THE TRAIN,11
62,EXT BOLOGOYENIGHT,27
63,EXT STATION ST PETERSBURGDAY,34
64,EXT VRONSKYS APARTMENT ST PETERSBURG,4
65,INT VRONSKYS FLAT ST PETERSBURG SAME,44
66,INT SEROZHAS BEDROOM KARENIN HOUSE,17
67,INT BEDROOM FLOOR KARENIN HOUSENIGHT,6
68,INT KARENINS DRESSING ROOM SAME TIME,4
