1,EXT AN ANT MOUND  DAY,39
2,INT MOTIVATIONAL COUNSELLORS OFFICE  DAY,112
3,INT EARLY MEGATUNNEL  DAY,90
4,INT TOWN CENTER  DAY,58
5,INT THRONE ROOM  DAY,195
6,INT BALAS QUARTERS  DAY,50
7,INT ANT BAR  NIGHT,127
8,INT ANT BAR ENTRANCE  NIGHT,252
9,INT DORMITORY  THE NEXT DAY,81
10,INT TOWN CENTER  NIGHT,160
11,EXT ANT MOUND  NIGHT,105
12,EXT TERRAIN NEAR TERMITE STUMP  NIGHT,113
13,INT TERMITE TUNNEL  NIGHT,9
14,INT TERMITE QUEENS CHAMBER  NIGHT,104
15,EXT TERMITE STUMP  MORNING,47
16,INT EARLY MEGATUNNEL  DAY,87
17,EXT ANT MOUND  DAY,12
18,INT TOWN CENTER  DAY,76
19,EXT ABOVE TOWN CENTER  DAY,40
20,INT THRONE ROOM  DAY,212
21,INT KITCHEN  DAY,17
22,EXT ANT MOUND  DAY,45
23,EXT WEED CLUMP  DAY,156
24,INT MEGATUNNEL  DAY,69
25,EXT BIKE PATH  DAY,68
26,EXT LAKE  DAY,107
27,INT MEGATUNNEL  DAY,43
28,INT FORMICAS CHAMBERS  NIGHT,102
29,EXT,32
30,EXT FALSE INSECTOPIA  DAY,233
31,EXT LAKE  DAY,82
32,INT TRASH BAG  DAY,119
33,EXT INSECTOPIA  NIGHT,65
34,EXT,20
35,EXT INSECTOPIA  NIGHT,34
36,INT INSECTOPIA  NIGHT,68
37,EXT SKY ABOVE COLONY  MORNING,18
38,INT FORMICAS CHAMBERS  DAY,64
39,EXT ANT MOUND  DAY,34
40,INT MEGATUNNEL  DAY,27
41,INT MID SKYLIGHT TUNNEL,7
42,INT ANT MOUND  DAY,6
43,INT OUTSIDE FORMICAS CHAMBERS  DAY,10
44,INT FORMICAS CHAMBERS,55
45,INT SKYLIGHT APEX  DAY,8
46,INT MEGATUNNEL  DAY,67
47,INT ANT MOUND  DAY,28
48,INT MEGATUNNEL  DAY,70
49,EXT ANT MOUND  DAY,8
50,INT SKYLIGHT APEX  DAY,11
51,INT EARLY MEGATUNNEL  DAY,45
52,INT TOWN CENTER  DAY,93
53,EXT ANT MOUND  DAY,4
54,INT TOWN CENTER  DAY,10
55,EXT ANT MOUND  DAY,207
56,INT TOWN CENTER  DAY,44
