1,INT ROBERTS MANSION  DAY,37
2,INT ROBERTS LIVING ROOM  DAY,29
3,INT FALCON,49
4,EXT WESTCHESTER AIRFIELD  MOMENTS LATER,2
5,EXT HANGAR  CONTINUOUS,7
6,EXT STREETS  CONTINUOUS,3
7,EXT GRACIE SQUARE  ROBERTS MANSION  CONTINUOUS,4
8,INT ROBERTS MANSION  ENTRY HALL  CONTINUOUS,10
9,INT DINING ROOM  CONTINUOUS,101
10,INT STUDY  MOMENTS LATER,76
11,INT ENTRY HALL  LATER,22
12,EXT LOWER BROADWAY  NIGHT,9
13,INT LOFT APARTMENT  NIGHT,12
14,EXT LOFT APARTMENT  SAME,4
15,INT JULIES LOFT  SAME,46
16,INT GREENBERG  COMPANY  OFFICE HALL  THE NEXT DAY,6
17,INT GREENBERGS OFFICE  SAME,96
18,EXT STREET  MADISON AVENUE,2
19,INT ROBERTS LIMO  CONTINUOUS,28
20,INT ROBERTS BEDROOM  LATER,101
21,INT MAYBACH  NIGHT,2
22,INT FOUR SEASONS RESTAURANT  CONTINUOUS,8
23,INT POOL ROOM,41
24,INT POOL ROOM  LATER,37
25,INT FOUR SEASONS RESTAURANT  MOVING,34
26,EXT JULIE CTE GALLERY  A LITTLE LATER,3
27,INT GALLERY  CONTINUOUS,20
28,INT GALLERY  OFFICE IN BACK  CONTINUOUS,9
29,INT GALLERY  CONTINUOUS,64
30,INT ROBERTS BEDROOM  LATER,3
31,INT PRIVATE ELEVATOR,4
32,INT SERVICE KITCHEN,3
33,INT JULIES LOFT  NIGHT,23
34,INT JULIES LOFT  BEDROOM,18
35,INT JULIES LOFT  LIVING ROOM,2
36,INT JULIES LOFT  BEDROOM,90
37,EXT HIGHWAY  DEAD OF NIGHT,11
38,EXT HIGHWAY,5
39,INT CAR,12
40,EXT TWOLANE HIGHWAY  NIGHT,10
41,EXT FIELDS  DEAD OF NIGHT,5
42,INT GAS STATION BATHROOM,5
43,EXT GAS STATION  LATER,21
44,EXT CAR WRECKAGE SITE,39
45,EXT GAS STATION,3
46,INT CAR  CONTINUOUS,118
47,EXT THIRD AVENUE  NIGHT,22
48,INT ROBERTS MANSION  NIGHT,4
49,INT ROBERTS MANSION  SERVICE KITCHEN,15
50,INT ROBERTS BEDROOM  NIGHT,33
51,EXT PARK BENCH  DAY,81
52,EXT FREMAUT ACCOUNTING HEADQUARTERS  LATER,3
53,INT LIMO  CONTINUOUS,102
54,INT MILLER CAPITAL  LATER,4
55,INT ROBERTS OFFICE  CONTINUOUS,20
56,INT ROBERTS OFFICE RECEPTION  CONTINUOUS,13
57,INT ROBERTS OFFICE  CONTINUOUS,40
58,INT ROBERTS OFFICE CORRIDOR  CONTINUOUS,3
59,INT ROBERTS OFFICE  CONTINUOUS,191
60,INT ELLENS OFFICE  OUTER SUITE  DAY,8
61,INT ELLENS OFFICE  CONTINUOUS,35
62,EXT ELLENS OFFICE,30
63,INT TOWNCAR  DAY,3
64,INT JULIES LOFT  DAY,51
65,INT MILLER CAPITAL  OFFICE CORRIDOR  DAY,31
66,EXT CONVENT AVENUE  JIMMYS APARTMENT BUILDING  DAY,3
67,INT UNDERCOVER CAR  SAME,6
68,EXT JIMMYS APARTMENT  CONTINUOUS,18
69,INT INTERROGATION ROOM  LATER,47
70,INT SYDS LIMO  DAY,32
71,INT BOND RELEASE AREA  DAY,7
72,EXT STREET  CONTINUOUS,9
73,INT SYDS LIMO  CONTINUOUS,57
74,EXT STREET,3
75,INT LIMO  CONTINUOUS,93
76,INT MILLER CAPITAL  ACCOUNTANTS OFFICE  DAY,64
77,INT POLICE CONFERENCE ROOM  DAY,48
78,INT FREMAUT  VOGLERS OFFICE HALLWAY  LATER,10
79,INT VOGLERS OFFICE  CONTINUOUS,54
80,EXT FREMAUT  DAY,11
81,INT COURTHOUSE HALL  AFTERNOON,50
82,INT ROBERTS OFFICE CORRIDOR  LATER,9
83,INT ROBERTS OFFICE  CONTINUOUS,9
84,EXT TH AVENUE  AFTERNOON,3
85,EXT CENTRAL PARK  CONTINUOUS,176
86,EXT JIMMYS APARTMENT  DUSK,19
87,INT SEDAN  DRIVING,105
88,INT ROBERTS OFFICE  LATER THAT NIGHT,47
89,INT CRIMINAL COURT  FELONY INDICTMENTS  THE NEXT DAY,106
90,INT GRAND JURY COURT HALL  LATER,65
91,INT FRANK CAMPBELL FUNERAL HOME  DAY,38
92,INT ROBERTS MANSION  GYM  MORNING,104
93,INT SHERRY NETHERLAND HOTEL  RESTAURANT  DAY,153
94,INT MILLER CAPITAL  CONFERENCE ROOM  LATER,42
95,EXT JIMMYS APARTMENT  DUSK,5
96,INT JIMMYS APARTMENT,161
97,INT ROBERTS LIMO  NIGHT,41
98,INT ROBERTS MANSION  NIGHT,2
99,INT ROBERTS BEDROOM  CONTINUOUS,22
100,EXT TRIBOROUGH BRIDGE  NIGHT,3
101,INT LEXUS  SAME,8
102,INT TOLL AUTHORITY  NIGHT,17
103,INT ROBERTS LIMO  CONTINUOUS,46
104,INT JUDGES CHAMBERS  THE NEXT DAY,113
105,INT COURTHOUSE HALL  MOMENTS LATER,15
106,EXT OUTDOOR COFFEE SHOP  AFTERNOON,43
107,INT ROBERTS BEDROOM  NIGHT,217
108,INT MAYFIELDS LIMO  NIGHT,43
109,EXT PLAZA HOTEL,2
110,INT PLAZA HOTEL  GRAND BALLROOM  NIGHT,4
