1,EXT NASA  MISSION CONTROL  DAY,73
2,INT SHUTTLE ATLANTIS,3
3,EXT SHUTTLE ATLANTIS,4
4,EXT SPACE,7
5,INT NASA  MISSION CONTROL MONITORS  ,5
6,INT WKU MOUNTIAN OBSERVATORY  NIGHT,59
7,INT HOUSTON TEXAS  JOHNSON SPACE CENTER  NIGHT,11
8,INT NASA  MISSION CONTROL,27
9,EXT MANHATTAN ISLAND  SUNRISE,2
10,EXT MANHATTEN  MADISON AVENUE  EARLY MORNING,27
11,INT CRAZY EDDIES TV STORE,4
12,EXT MANHATTEN  CRAZY EDDIES,17
13,EXT MANHATTEN  MORNING,20
14,EXT WASHINGTON DC  PENTAGON  DAY,2
15,EXT PENTAGON  GENERAL TEMPLES OFFICE  DAY,9
16,INT MISSION CONTROL  INSIDE THE GLASSENCASED ROOM,19
17,INT PENTAGON  GENERAL TEMPLES OFFICE  DAY,11
18,INT MISSION CONTROL  INSIDE THE GLASSENCASED ROOM,11
19,INT KENTUCKY  DORMITORY ROOM,4
20,EXT KENTUCKY  COLLEGE CAMPUS,21
21,INT MANHATTAN  SUBWAY  DAY,7
22,EXT KENTUCKY  INTERROGATION ROOM  AFTERNOON,41
23,INT PASADENA CALIFORNIA  JPL  NIGHT,9
24,EXT OUTER SPACE  CONTINUOUS,5
25,INT PASADENA CALIFORNIA  JPL  NIGHT,10
26,INT NASA  MISSION CONTROL  ENCLOSED ROOM  NIGHT,9
27,EXT OUTER SPACE  CONTINUOUS  DAY,5
28,  INT NASA,25
29,INT PENTAGON  SITUATION ROOM  NIGHT,80
30,INT NASA BRIEFING ROOM  NIGHT,33
31,EXT ARIZONA DESERT  FLIGHT TESTING FACILITY  DAY,7
32,INT NASA  BRIEFING ROOM  DAY,15
33,EXT NORWAY COAST  NORTH SEA  TROLL OIL RIG  DAY,15
34,EXT TROLL  DRILLING PLATFORM  A DERRICK  DAY,22
35,EXT TROLL RIG  TOP TIER,185
36,INT DOWN THE DRILLING HOLE  DAY,6
37,AJ       EXT,11
38,INT DRILLING HOLE,12
39,EXT DRILLING PLATFORM  A DERRICK  DAY,45
40,INT NASA  MISSION CONTROL  DAY,16
41,EXT RUSSIA SPACE CENTER  SMOLINSKAYA AF BASE  DAY,9
42,INT NASA  MISSION CONTROL  DAY,4
43,EXT RIG  A DERRICK,18
44,EXT OIL RIG  TOP TIER HELIPAD  MINUTES LATER,15
45,INT SOMEPLACE IN KENTUCKY  HOLDING CELL  NIGHT,19
46,INT NASA FLIGHT MISSION ROOM  DAY,37
47,INT NASA  BRIEFING ROOM  DAY,68
48,INT NASA  RESEARCH AND DEVELOPMENT  DAY,91
49,INT NASA  CONFERENCE ROOM  DAY,48
