1,INT BEVERLYS DIMLY LIT STUDY  TWILIGHT,89
2,INT VIOLETS BEDROOM  TWILIGHT,10
3,INT THE STUDY  TWILIGHT,9
4,INT VIOLETS BEDROOMUPSTAIRS HALLWAY  TWILIGHT,262
5,INT BARBARAS BEDROOM  DAY,29
6,INTEXT WESTON HOUSE PAWHUSKA OKLAHOMA  DAY,11
7,INT WESTON KITCHEN  DAY,5
8,INT THE WESTON HOUSE  DAY,210
9,INTEXT CHARLIES CADILLACWESTON HOUSE  DAY,55
10,INT WESTON HOUSE  DAY,102
11,INTEXT RENTAL CAR MOVING  AFTERNOON,70
12,INT VIOLETS BEDROOM  DAY,35
13,INTEXT RENTAL CARWESTON HOUSE  AFTERNOON,78
14,INT WESTON HOUSE  AFTERNOON,204
15,EXT THE YARD  LATE AFTERNOON,61
16,INT THE BACK PORCH  LATE AFTERNOON,321
17,INT BATHROOM  LATE AFTERNOON,82
18,INT UPSTAIRS HALLWAYSTAIRSATTIC ROOM  TWILIGHT,10
19,INT THE ATTIC BEDROOM  TWILIGHT,103
20,INT BEVERLYS STUDY  NIGHT,7
21,EXT WESTON HOUSE FRONT PORCH  NIGHT,128
22,INT WESTON HOUSE UPSTAIRS ROOM  CONTINUOUS,5
23,EXT WESTON HOUSE FRONT PORCH  NIGHT,72
24,INT WESTON HOUSE BEDROOM  NIGHT,8
25,EXT SKIATOOK LAKE  NIGHT,18
26,INT THE ATTIC  NIGHT,4
27,EXT WESTON HOUSE  NIGHT,6
28,INT WESTON HOUSE STAIRWAY  NIGHT,10
29,INT UPSTAIRS HALLWAY  MOMENTS LATER,42
30,INT KITCHEN  NIGHT,5
31,EXT WESTON HOUSE DRIVEWAY  JUST BEFORE DAWN,33
32,INT WESTON GIRLS BEDROOM  PREDAWN,18
33,INT LIVING ROOM  PREDAWN,56
34,EXT SKIATOOK LAKE ROAD  DAWN,11
35,INT RENTAL CAR MOVING  EARLY MORNING,53
36,INT A STERILE ROOM  DAY,6
37,EXT WESTON HOUSE  DAY,5
38,INT THE STERILE ROOM  DAY,11
39,INT BEVERLYS CAR MOVING  DAY,14
40,INT THE STERILE ROOM  DAY,8
41,INTEXT CARFIRST BAPTIST CHURCH OF PAWHUSKA  DAY,40
42,INT BEVERLYS LINCOLN MOVING  AFTERNOON,79
43,INT WESTON HOUSE STAIRWAYUPSTAIRS HALL  AFTERNOON,46
44,INT VIOLETS BEDROOM  DAY,90
45,INT THE KITCHEN  AFTERNOON,58
46,EXT PAWHUSKA LIQUOR STORE PARKING LOT  AFTERNOON,97
47,INT VIOLETS BEDROOM  DAY,113
48,EXT WESTON HOUSE  AFTERNOON,45
49,INT KITCHENWESTON LIVING ROOM  AFTERNOON,76
50,INTEXT GREYHOUND BUSPARKING LOT  AFTERNOON,99
51,EXT WESTON BACKYARD  AFTERNOON,43
52,INT THE WORKSHOP AT THE BACK OF THE BARN  DAY,52
53,EXT THE BACK YARD  DAY,70
54,INT BEVERLYS STUDY  AFTERNOON,37
55,INT DINING ROOM  AFTERNOON,25
56,EXT BACK YARD  AFTERNOON,40
57,INT DINING ROOM  AFTERNOON,850
58,INT LIVING ROOM  AFTERNOON,43
59,INT UPSTAIRS HALLWAY  LATE AFTERNOON,42
60,INT VIOLETS BEDROOM  LATE AFTERNOON,25
61,EXT WESTON HOUSE YARDGAZEBO  NIGHT,281
62,EXT WESTON HOUSE YARD  NIGHT,148
63,INT GUEST ROOM  EARLY MORNING,16
64,INTEXT BACKYARD  EARLY MORNING,63
65,INT DOCTORS OFFICEWAITING ROOM  DAY,101
66,INTEXT TALLGRASS PRAIRIE PRESERVEBEVS LINCOLN  DAY,58
67,INTEXT LINCOLNWESTON HOUSE DRIVEWAY  AFTERNOON,84
68,INT WESTON HOUSE LIVING ROOM  AFTERNOON,277
69,EXT WESTON HOUSE BACKYARD  NIGHT,42
70,INT THE ATTIC ROOM  NIGHT,4
71,INT ATTIC STAIRSUPSTAIRS HALLWAY  NIGHT,5
72,INT MAIN STAIRCASEHALLWAY,209
73,INT THE GUEST BEDROOM  NIGHT,62
74,EXT WESTON HOUSE AND DRIVEWAY  NIGHT,89
75,EXT WESTON HOUSE  DAY,56
76,INT THE WESTON HOUSEKITCHEN  DAY,282
77,INT FRONT HALLWAY  CONTINUOUS,11
78,EXT WESTON HOUSE  CONTINUOUS,23
79,INT WESTON HOUSE  CONTINUOUS,198
80,INTEXT BEVERLYS PICKUP MOVING  DAY,10
81,INT UPSTAIRS HALLWAYATTIC STAIRS  DAY,20
