1,EXT CITY  NIGHT,36
2,INT JAKES APARTMENT  NIGHT,22
3,INT ROWDY BAR  NIGHT,48
4,EXT ALLEY BEHIND BAR  NIGHT,35
5,INT MUNICIPAL CREMATORIUM  NIGHT,43
6,INT CRYO VAULT,28
7,EXT SPACE,15
8,EXT PANDORA ORBIT,9
9,EXT RAINFOREST  TWILIGHT,13
10,EXT HELLS GATE  TWILIGHT,9
11,EXT RAIN FOREST  TWILIGHT,7
12,INTEXT SHUTTLE,90
13,INT COMMISSARY  TWILIGHT,45
14,INT CORRIDOR,32
15,INT BIOLAB  DAY,76
16,INT LINK ROOM  DUSK,83
17,INT OPS CENTER  DUSK,74
18,INT LINK ROOM  DAY,113
19,EXT AVATAR COMPOUND  DAY,41
20,EXT MINE PIT  DAY,10
21,EXT RAINFOREST  DAY,43
22,INT AVATAR LONGHOUSE  DUSK,17
23,INT LINK ROOM  NIGHT,13
24,INT COMMISSARY  EARLY MORNING,16
25,INT ARMOR BAY  MORNING,111
26,INT BIO LAB  DAY,23
27,INT LINK ROOM,44
28,EXT RAIN FOREST  AERIAL  DAY,37
29,EXT CLEARING  DAY,22
30,EXT RAINFOREST  DAY,19
31,EXT FOREST GLEN,4
32,EXT SCHOOL RUINS  DAY,12
33,INT SCHOOL RUINS,42
34,EXT RAINFOREST  DAY,124
35,EXT RIVER BELOW FALLS  DAY,9
36,EXT RAINFOREST  DAY,5
37,EXT RAINFOREST  DAY,38
38,INTEXT SAMSON  SUNSET,20
39,EXT RAINFOREST  NIGHT,217
40,EXT GORGE  NIGHT,65
41,EXT RAINFOREST  NIGHT,59
42,EXT HOMETREE  NIGHT,9
43,INT COMMONSHOMETREE  NIGHT,141
44,INT SECOND LEVELHOMETREE,68
45,INT THIRD LEVEL  NIGHT,11
46,INT LINK ROOM  NIGHT,19
47,INT COMMISSARY  MORNING,21
48,INT OPS CENTER  MORNING,66
49,INT BIO LAB  MORNING,17
50,INT LINK ROOM,36
51,INT HOMETREE THIRD LEVEL  DAY,6
52,INT COMMONS  DAY,15
53,EXT RIVER NEAR HOMETREE  DAY,78
54,INT BIO LAB  DAY,22
55,EXT RAINFOREST  AERIAL  DAY,58
56,EXT SITE   DAY,10
57,INT SHACK  DAY,43
58,INTEXT HOMETREE  BANSHEE EYRIE,55
59,INT SHACK  NIGHTEXT,206
60,INT SHACK  NIGHT,101
61,EXT MOUNTAIN TRAIL  DAY,31
62,EXT BEANSTALK  DAY,16
63,EXT MONS VERITATIS  DAY,7
64,EXT GROTTOBANSHEE ROOKERY  DAY,118
65,INTEXT GROTTOMONS VERITATIS  DAY,31
66,EXT RIDGE,29
67,INT SHACK  NIGHT,54
68,INT HOMETREE  NIGHT,20
69,EXT RIVER BED  DAY,19
70,INT COMMONSHOMETREE  NIGHT,68
71,EXT RAINFOREST  DAY,44
72,EXT COMPOUND  DAY,43
73,INT ARMOR BAY,44
74,EXT HALLELUJAH MOUNTAINS  NIGHT,4
75,INT SHACK KITCHEN  NIGHT,120
76,INT COMMONSHOMETREE  NIGHT,118
77,EXT RAINFOREST  NIGHT,12
78,EXT WILLOW GLADE,111
79,INT SHACK  NIGHT,4
80,EXT WILLOW GLADE  DAWN,14
81,INT SHACK  DAWN,12
82,EXT WILLOW GLADE  DAWN,6
83,INT SHACK  DAWN,7
84,EXT WILLOW GLADE,13
85,INT OPS CENTER  DAY,20
86,EXT WILLOW GLADE,6
87,INT OPS CENTER,7
88,EXT WILLOW GLADE,16
89,INT OPS CENTER,15
90,INT COMMONSHOMETREE  DAY,77
91,INTEXT SAMSON  DAY,12
92,INT SHACK,9
93,INT HOMETREE  DAY,16
94,EXT SITE   DAY,3
95,INT COMMONS,7
96,INT SHACK,8
97,INT COMMONS,9
98,INT SHACK  DAY,9
99,INT COMMONS,16
100,INT OPS CENTER  DUSK,134
101,INT OPS CENTER  MORNING,16
102,INT SELFRIDGES OFFICE  DAY,14
103,INT BIO LAB,31
104,INT OPS CENTER  DAY,21
105,INT LINK ROOM,11
106,INT COMMONS DAY,58
107,EXT RAINFOREST  DAY,7
108,EXT HOMETREE,158
109,INT LINK ROOM,7
110,EXT RAINFOREST,12
111,INT LINK ROOM,4
112,EXT RAINFOREST  DUSK,7
113,INT LOCKUP  NIGHT,53
114,INT UTILIDOR,17
115,EXT AIRFIELD  NIGHT,25
116,INT OPS CENTER  NIGHT,6
117,EXT OPS CENTERAIRFIELD  NIGHT,21
118,EXT SHACK  SITE   NIGHT,10
119,INT SAMSON CABIN  NIGHT,31
120,EXT WELL OF SOULS  AERIAL  DAWN,9
121,EXT WELL OF SOULS  DAWN,19
122,EXT FOREST CLEARING,5
123,INT SHACK  DAY,14
124,EXT RUINS OF HOMETREE  DAY,25
125,EXT MOUNTAINS  DAY,17
126,EXT WELL OF SOULS  LATE AFTERNOON,189
127,EXT CLAN GATHERING  NIGHT,15
128,EXT WELL OF SOULS  DAWN,15
129,INT COMMISSARY  DAY,33
130,INT ARMOR BAY  DAY,42
131,INT SHACK  DAY,62
132,EXT BATTLE CAMP  DUSK,39
133,EXT WELL OF SOULS  NIGHT,64
134,EXT RAINFOREST AERIAL  DAWN,10
135,EXT MOUNTAINS AERIAL  DAWN,4
136,EXT MOUNTAINS  DAWN,100
137,EXT FLOATING MOUNTAINS  AERIAL,140
138,INT SHACK,5
139,EXT RAINFOREST,28
140,EXT WELL OF SOULS,2
141,EXT FOREST,35
142,EXT FOREST,34
143,INT CORRIDOR,11
144,INT LINK ROOM,4
145,INT CORRIDOR,4
146,EXT SHACK,3
147,EXT MOUNTAINS AERIAL,68
148,INT OPS CENTERCORRIDOR,8
149,EXT RAINFOREST,3
150,INT DRAGON COCKPIT,8
151,EXT WELL OF SOULS,4
152,INT DRAGON COCKPIT,11
153,EXT MOUNTAINS AERIAL,72
154,EXT RAINFOREST  DAY,4
155,INT OPS CENTER HELLS GATE,29
156,EXT LAKE,112
157,INT SHACK,16
158,EXT RAINFOREST  DAY,53
159,EXT HELLS GATE DAY,18
160,EXT SPACE,8
161,EXT RAINFOREST  DAY,11
162,INT LINK ROOM,6
