1,EXT MIAMI LANDSCAPE  NIGHT,41
2,INT UNMARKED VAN  IN MOTION  NIGHT,39
3,EXT VAN IN MOTION,5
4,INT VAN  FOUCHET,10
5,EXT NEAR DOWNTOWN  VAN  NIGHT,5
6,EXT COLONY HOTEL SOUTH BEACH  NIGHT,13
7,INT COLONY HOTEL  NIGHT,39
8,INT COLONY HOTEL  STAIRWELL  NIGHT,5
9,INT COLONY HOTEL  SUITE   NIGHT,41
10,EXT COLONY HOTEL  CONTINUOUS ACTION,23
11,EXT MIAMI BEACH SKYLINE  TITLE SEQUENCE  NIGHT,8
12,EXT MIAMIS OLDEST POLICE STATION DOWNTOWN  NIGHT,5
13,EXT POLICE STATION  ROOFTOP  FOUCHET  NIGHT,16
14,INT AIR UNITSHAFTS,10
15,INT POLICE STATION  SERIES OF SHOTS  NIGHT,6
16,INT EVIDENCE ROOM  GUARD STATION,16
17,EXT POLICE STATION  ALLEY  NIGHT,7
18,INT GUARD STATION  NIGHT,6
19,INT TRASH CHUTE ROOM  NIGHT,6
20,INT EVIDENCE ROOM  HEROIN LOCKER  NIGHT,33
21,INT POLICE STATION  QUICK SHOTS  FERGUSON  NIGHT,26
22,EXT POLICE STATION ALLEY  NIGHT,11
23,INT HEROIN LOCKER,5
24,EXTINT VAN  POLICE STATION  ALLEY,13
25,EXT POLICE STATION  ALLEY  NIGHT,5
26,EXT STREET  NIGHT,5
27,EXT LUXURY HIGHRISE COCONUT GROVE  MORNING,5
28,INT CONDO  MORNING,10
29,INT LOWREYS BEDROOM  MORNING,15
30,INT BATHROOM,22
31,INT BURNETT HOUSE  BEDROOM  MORNING,29
32,INT BURNETTS KITCHEN  MORNING,87
33,EXT BURNETTS HOUSE  MORNING,39
34,EXT MIAMI PD  DAY,19
35,INT NARCOTICS SQUAD ROOM  CONTINUOUS ACTION,24
36,INT EVIDENCE ROOM  DAY,33
37,INT HEROIN LOCKER  DAY,136
38,INT HEROIN LOCKER  INSIDE SHAFT  BURNETT,14
39,INT HEROIN LOCKER ROOM  ON HOWARD,8
40,INT SQUAD ROOM  DAY,28
41,INT UNMARKED CAR  DAY,19
42,EXT CONGRESS GYM  ESTABLISHING  DAY,4
43,INT CONGRESS GYM  DAY,35
44,INT EQUIPMENT ROOM  DAY,29
45,INT BOXING GYM  DAY,41
46,EXT BOXING GYM,17
47,INT UNMARKED POLICE CAR  IN MOTION  DAY,77
48,EXT KEY BISCAYNE ESTATE  ESTABLISHING  DAY,19
49,INT ESTATE  REAR DOOR,18
50,INT ORONAS DEN  DAY,65
51,EXT LOIS FIELDS MANOR  SUNSET,4
52,INT LOIS FIELDS MANOR  SUNSET,59
53,EXT BILTMORE HOTEL MIAMI BEACH  MAGIC HOUR,7
54,EXT BILTMORE HOTEL  COURTYARD  DUSK,79
55,INT BILTMORE HOTEL  AL CAPONES SUITE  DUSK,69
56,INT BATHROOM  JULIE,14
57,INT AL CAPONE SUITE,22
58,INT BATHROOM  JULIE,6
59,INT CAPONE SUITE,43
60,INT BATHROOM  JULIE,11
61,INT CAPONE SUITE  JULIE,9
62,INT SECRET PASSAGEWAY  SAME TIME,6
63,EXT BELL TOWER  NIGHT,9
64,EXT BELL TOWER  NIGHT,6
65,EXT BILTMORE  ROOFTOP  JULIE  NIGHT,21
66,EXT BILTMORE POOL  UNDERWATER  NIGHT,5
67,EXT BILTMORE POOL  SURFACE  NIGHT,5
68,INT AL CAPONE SUITE  NIGHT,10
69,EXT BILTMORE HOTEL  HALFHOUR LATER,9
70,INT BILTMORE  AL CAPONE SUITE  NIGHT,68
71,INT BILTMORE HOTEL  LOBBY  NIGHT,23
72,EXT BILTMORE HOTEL  NIGHT,19
73,INT LOIS FIELDS MANOR  MASTER SUITE  NIGHT,18
74,INT LOIS FIELDS MANOR  FRONT DOOR  NIGHT,6
75,EXT LOIS FIELDS MANOR  NIGHT,4
76,INT LOIS FIELDS MANOR  NIGHT,22
77,INT MIAMI PD  SQUAD ROOM  NIGHT,23
78,INT LOIS FIELDS MANOR  UPSTAIRS  NIGHT,50
79,INT MIAMI PD  SQUAD ROOM  NIGHT,28
80,INT JULIES APARTMENT  JULIE,43
81,EXT LOIS FIELDS MANOR  NIGHT,5
82,INT JULIES APARTMENT  JULIE,15
83,INT SQUAD ROOM  HOWARD AND BURNETT,26
84,EXT RESIDENTIAL STREET  NIGHT,7
85,EXT JULIES APARTMENT  NIGHT,17
86,INT JULIES APARTMENT,27
87,INT JULIES APARTMENT  CONTINUOUS ACTION,147
88,EXT JULIES BACK DOOR  CONTINUOUS ACTION,9
89,EXT ALLEY BESIDE JULIES APARTMENT  CONTINUOUS ACTION,5
90,EXT OUTDOOR CAFE  CONTINUOUS ACTION,14
91,INT VOLVO  IN MOTION,65
92,EXT LOWREYS BUILDING  NIGHT,5
93,INT VOLVO  CONTINUOUS ACTION,5
94,INT LOBBY  NIGHT,39
95,INT LOWREYS CONDO  NIGHT,135
96,INT LOBBY  NIGHT,25
97,INT BURNETT HALLWAY,29
98,INT MIAMI PD  HALLWAY  DAY,19
99,INT POLICE BASKETBALL GYM,112
100,INT BURNETT BEDROOM  DAY,38
101,EXT BURNETT HOUSE,50
102,EXT BOATYARD  ESTABLISHING  DAY,6
103,INT FREIGHTER  LAB  DAY,65
104,INT LOWREYS CONDO  DAY,9
105,INT BATHROOM  CONTINUOUS ACTION,60
106,INT BEDROOM CLOSET,22
107,INT BEDROOM  CONTINUOUS ACTION,84
108,INT LOWREYS CONDO  NIGHT,87
109,INT BURNETT HOUSE  DEN  NIGHT,14
110,INT BATHROOM  LOWREY AND MEGAN,32
111,INT LOWREYS CONDO  NIGHT,82
112,INT KIDS BEDROOM  NIGHT,36
113,INT LIVING ROOM  NIGHT,60
114,EXT BURNETT HOUSE  NIGHT,4
115,INT NOAHS CAR  CASPER AND NOAH  NIGHT,4
116,INT LOWREYS CONDO  NIGHT,7
117,EXT POLICE HEADQUARTERS  DAY,19
118,INT POLICE STATION  HALLWAY  DAY,92
119,INT SAVEMORE DRUGS  MORNING F S ,90
120,EXT GRUNGY TRAILER PARK  DAY,11
