1,EXT JOHN ADAMS MIDDLE SCHOOL  DAY,11
2,INT TEACHERS LOUNGE  DAY,66
3,INT ELIZABETHS CLASSROOM  DAY,15
4,INT JOHN ADAMS MIDDLE SCHOOL  HALLWAY  DAY,13
5,EXT JOHN ADAMS MIDDLE SCHOOL  DAY,21
6,EXT JOHN ADAMS MIDDLE SCHOOL  TEACHER PARKING LOT  DAY,24
7,EXT TOWNHOUSE NIGHT,5
8,INT TOWNHOUSE  NIGHT,34
9,INT TOWNHOUSE  BEDROOM  CONTINUOUS,104
10,EXT JOHN ADAMS MIDDLE SCHOOL  TEACHER PARKING LOT  DAY,5
11,INT JOHN ADAMS MIDDLE SCHOOL  HALLWAY  DAY,74
12,INT ELIZABETHS CLASSROOM  DAY,17
13,EXT KFC  DAY,97
14,INT ELIZABETHS APARTMENT  NIGHT,20
15,INT ELIZABETHS APARTMENT  BEDROOM  NIGHT,3
16,INT JOHN ADAMS MIDDLE SCHOOL  HALLWAY  DAY,4
17,INT ELIZABETHS CLASSROOM  MORNING,81
18,INT JOHN ADAMS MIDDLE SCHOOL  CAFETERIA  DAY,95
19,INT AMYS CLASSROOM  LATER,3
20,INT JOHN ADAMS MIDDLE SCHOOL  HALLWAY  DAY,159
21,INT DR VOGELS OFFICE  RECEPTION AREA  DAY,44
22,INT ELIZABETHS APARTMENT  NIGHT,16
23,EXT SUBURBAN HOME  NIGHT,14
24,INT ELIZABETHS APARTMENT  LATER,32
25,INT TEACHERS LOUNGE  DAY,80
26,INT JOHN ADAMS MIDDLE SCHOOL  HALLWAY  DAY,8
27,INT ELIZABETHS CLASSROOM  DAY,42
28,INT JAMS  ADMINISTRATION BULLPEN  DAY,7
29,INT JAMS  PRINCIPAL SNURS OFFICE  DAY,79
30,INT JAMS  PRINCIPAL SNURS OFFICE  DAY,29
31,INT ELIZABETHS APARTMENT  BEDROOM  DAWN,7
32,EXT TEACHERS PARKING LOT  MORNING,44
33,EXT TEACHERS PARKING LOT  LATER,40
34,INT ELIZABETHS APARTMENT  BEDROOM  NIGHT,4
35,INT JOHN ADAMS MIDDLE SCHOOL  HALLWAY  DAY,7
36,INT JAMS  MENS FACULTY BATHROOM  DAY,60
37,INT TEACHERS LOUNGE  DAY,34
38,INT ELIZABETHS CLASSROOM  DAY,52
39,INT JOHN ADAMS MIDDLE SCHOOL  CAFETERIA  DAY,118
40,EXT JOHN ADAMS MIDDLE SCHOOL  NIGHT,2
41,INT ELIZABETHS CLASSROOM  NIGHT,67
42,INT ELIZABETHS CLASSROOM  MOMENTS LATER,32
