1,EXT FOREST  DAY,48
2,EXT CLEARING,32
3,EXT BARN,25
4,INT BARN,168
5,EXT FOREST,30
6,INT DINER  DAY,59
7,EXT BOWLAND HOUSE  DAY,13
8,EXT ERNSWILER HOUSE  DUSK,6
9,EXT ERNSWILER HOUSE  NIGHT,5
10,INT ERNSWILER HOUSE KITCHEN  NIGHT,33
11,INT ERNSWILER GARAGE  NIGHT,106
12,INT KITCHEN  NIGHT,14
13,INT KELLYS ROOM  NIGHT,9
14,INT GROCERY STORE  NIGHT,75
15,INT DAIRY BACKROOM,39
16,INT SHAKER HEIGHTS HIGH  DAY,34
17,INT CLASSROOM  DAY,42
18,INT PRINCIPALS OFFICE  MOMENTS LATER,50
19,EXT SHAKER HEIGHTS HIGH  DAY,44
20,INT ARMY NAVY STORE  DAY,21
21,INT BOWLAND HOUSE DADS LIBRARY  DAY,4
22,INT STOREROOM,58
23,INT BOWLAND KITCHEN,85
24,EXT SHAKER HEIGHTS HIGH  MORNING,43
25,INT ERNSWILER HOUSE  DAY,64
26,INT ART SUPPLY STORE  DAY,83
27,EXT ERNSWILER HOUSE  DAY,3
28,EXT FLEA MARKET  DAY,203
29,INT BOWLAND HOUSE KITCHEN  NIGHT,36
30,INT TABBYS STUDIO  NIGHT,120
31,EXT BOWLAND YARD  NIGHT,19
32,INT ERNSWILER HOUSE LIVING ROOM  NIGHT,21
33,EXT ERNSWILER HOUSE BACK YARD  NIGHT,57
34,EXT LANCES HOUSE  DAY,107
35,INT BOWLAND HOUSE BARTS ROOM  DAY,33
36,INT ERNSWILER HOUSE KITCHEN  NIGHT,30
37,INT BOWLAND HOUSE BARTS ROOM  NIGHT,40
38,INT SHAKER HEIGHTS HIGH  DAY,18
39,INT BOWLAND HOUSE BARTS BEDROOM  NIGHT,33
40,INT LANCES ROOM  NIGHT,6
41,EXT STREET  DAY,31
42,INT SHAKER HEIGHTS HIGH  DAY,14
43,INT HISTORY CLASS,19
44,INT HALL,6
45,INT STORAGE CLOSET,9
46,INT LANGELY PREP BATHROOM  DAY,8
47,INT SHAKER HEIGHTS HIGH CAFETERIAGYM  DAY,6
48,INT SHAKER HEIGHTS HIGH MAIN OFFICE,14
49,INT BACKSTAGE,15
50,INT LIGHTING BOOTH,2
51,INT LANGELY PREP CLASSROOM,2
52,INT LIGHTING BOOTH,2
53,INT CAFETERIA,18
54,INT LIGHTING BOOTH,5
55,INT BOWLAND HOUSE DADS LIBRARY  NIGHT,29
56,INT SUPERMARKET  NIGHT,32
57,INT PARENTS BEDROOM  MORNING,5
58,INT EVES STUDIO,2
59,EXT BOWLAND HOUSE  DAY,13
60,INT TABBYS STUDIO,238
61,INT EVES STUDIO  NIGHT,55
62,INT BOWLAND HOUSE DINING ROOM  NIGHT,94
63,INT BARTS ROOM,77
64,INT SHAKER HEIGHTS HIGH  DAY,37
65,EXT BOWLAND HOUSE  DAY,8
66,INT OLD SOLDIERS HOME  DAY,46
67,EXT GAS STATION  DAY,101
68,INT BOWLAND HOUSE BARTS BEDROOM  NIGHT,87
69,EXT BOWLAND HOUSE  NIGHT,4
70,INT TABBYS STUDIO,74
71,EXT BOWLAND HOUSE  NIGHT,10
72,INT ERNSWILER HOUSE  DAY,11
73,INT KITCHEN,5
74,INT BOWLAND HOUSE BARTS ROOM  NIGHT,11
75,EXT BATTLEFIELD  DAY,148
76,EXT FILM SHOOT,40
77,INT ERNSWILER HOUSE KELLYS ROOM  DAY,45
78,INT GROCERY STORE  NIGHT,44
79,INT TABBYS STUDIO  MORNING,13
80,EXT BOWLAND YARD,25
81,EXT RURAL ROAD  DAY,13
82,EXT SHAKER HEIGHTS HIGH  DAY,2
83,INT HISTORY CLASS,22
84,INT AUDITORIUM,32
85,EXT SHAKER HEIGHTS HIGH  DAY,63
86,EXT ERNSWILER HOUSE  DAY,2
87,EXT HOSPITAL  DAY,3
88,EXT CLEVELAND WATERFRONT  DAY,4
89,EXT BOWLAND HOUSE  DAY,9
90,INT ERNSWILER HOUSE BATHROOM  DAY,75
91,INT KELLYS ROOM  MORNING,16
92,EXT EPISCOPAL CHURCH  DAY,53
93,INT BOWLAND HOUSE KELLYS ROOM  DAY,4
94,INT EVES STUDIO,28
95,INT HOSPITAL ABES ROOM  DAY,75
96,EXT BOWLAND HOUSE  DAY,41
97,INT GROCERY STORE  NIGHT,48
98,INT OLD SOLDIERS HOME  DAY,53
