1,EXT BOYLE HEIGHTS  EVERGREEN AND WABASH  DUSK,47
2,EXT A BUNGALOW COURTYARD  SAME,83
3,INT THE KITCHEN  LATER,58
4,EXT ND AND BEAUDRY  DAY,3
5,EXTINT RADIO PATROL CAR  MOVING,7
6,INT THE CENTRAL MUSTER ROOM  DAY,36
7,INT THE RADIO PATROL CAR  ANOTHER DAY,10
8,INT BUCKYS GARAGE  NIGHT,5
9,INT THE CENTRAL MUSTER ROOM  DAY,3
10,INT CITY HALL  CHIEF OF DETECTIVES OFFICE  LATER,93
11,EXT THE CITY HALL PARKING LOT  MINUTES LATEER,77
12,EXTINT BUCKYS CAR  LINCOLN HEIGHTS  DAY,48
13,INT THE POLICE BOXING GYM,6
14,INT A BANK  DAY,4
15,INT THE GOOD LUCK BAR  NIGHT,37
16,INT THE BOXING GYM  DAY,11
17,EXT DOLPH BLEICHERTS HOUSE  NIGHT,10
18,INT THE BOXING GYM  DAY,13
19,INT THE BOXING GYM  DAY,43
20,INT BUCKYS APARTMENT  NIGHT,4
21,INT HEARST BUILDING  HERALDEXAMINER MORGUE  NIGHT,24
22,INT A SMALL VENICE BEACH APARTMENT  DAY FLASHBACK,67
23,INT BUCKYS BEDROOM  DAY,5
24,INT A REST HOME  ANOTHER DAY,4
25,EXT THE REST HOME  MINUTES LATER,10
26,INT BUCKYS APARTMENT  DAY,6
27,EXT THE COURTYARD  SAME,24
28,INT CENTRAL WARRANTS  MORNING,44
29,INT THE MUSTER ROOM  LATER,35
30,INT LEES CAR  LATER,48
31,EXT THE VERSAILLES APARTMENTS  MINUTES LATER,40
32,INT THE HALL OF JUSTICE JAIL  LATER,8
33,INT CENTRAL WARRANTS  LATER,47
34,EXT A BEAUTIFUL DECO HOME  NIGHT,5
35,INT LEE AND KAYS HOUSE  CONTINUOUS,12
36,INT THE DINING ROOM  LATER,15
37,INT THE DINING ROOM  LATER,18
38,INT ELLIS LOEWS OFFICE  MORNING,40
39,EXT CRENSHAW BOULEVARD  DAY  LATER,23
40,EXTINT THE CAR  A FILLING STATION  CONTINUOUS,19
41,EXTINT THE CAR  HOOVER AVE  MINUTES LATER,40
42,INT THE TH ST DETECTIVES STATION  LATER,16
43,EXT LEE AND KAYS HOUSE  NIGHT,37
44,INT LEE AND KAYS HOUSE  LATER,16
45,INT BUCKYS APARTMENT  MORNING,19
46,EXT THE CORNER OF COLISEUM AND NORTON  SOON AFTER,2
47,INT RAYMOND NASHS ROOM  SOON AFTER,19
48,EXT THE VACANT LOT  TH AND NORTON  SECONDS LATER,65
49,EXT THE CRIME SCENE  LATER,24
50,INT THE OLYMPIC BOXING ARENA  NIGHHT,32
51,INT THE SQUAD ROOM  NEXT DAY,19
52,INT ELLIS LOEWS OFFICE  MORNING,31
53,INT PATHOLOGY ROOM  LATER,90
54,INT CENTRAL DIVISION BULLPEN  LATER,43
55,EXT WILSHIRE DISTRICT  DUSK,77
56,EXT CLEO SHORTS APARTMENT  MINUTES LATER,14
57,INT LEE AND KAYS HOUSE  NIGHT,36
58,INT LEE AND KAYS HOUSE  CONTINUOUS,3
59,INT THE HOMICIDE BULLPEN  MORNING,39
60,EXT AN APARTMENT HOUSE  LATER,13
61,INT THE HALLWAY UPSTAIRS  LATER,70
62,INT THE CAR  MOVING  HOLLYWOOD  CONTINUOUS,5
63,EXTINT DELONGPRE APARTMENT BUILDING  LATER,21
64,INT A COMMUNAL SITTING ROOM  LATER,61
65,INT LINDA MARTINS ROOM  LATER,18
66,EXT THE APARTMENT COMPLEX  LATER,9
67,INT AN ANONYMOUS CASTING OFFICE  DAY,19
68,INT HOLLYWOOD STATION  LATER,10
69,EXT LEE AND KAYS HOUSE  CONTINUOUS,47
70,EXT TH AND NORTON  DUSK  LATER,4
71,INT CENTRAL DIVISION BULLPEN  BUCKYS DESK  NIGHT,14
72,EXT THE SWANK SPOT LOUNGE  THE VALLEY  NIGHT,3
73,INT THE SWANK SPOT LOUNGE  CONTINUOUS,27
74,INT THE BAR  SOON AFTER,5
75,INT A DIFFERENT LESBIAN BAR  LATER,7
76,INT LAVERNES HIDEWAY  LATER,40
77,EXT THE PARKING LOT  CONTINUOUS,7
78,EXT MUIRFIELD ROAD  HANCOCK PARK  NIGHT,7
79,EXT A PAY PHONE  MINUTES LATER,3
80,INT BUCKYS APARTMENT  NIGHT,5
81,INT BUCKYS CAR  MORNING,16
82,INT HOLLENBACK STATION JAIL  LATER,8
83,INT OUTSIDE THE INTERROGATION ROOM  CONT,69
84,INT THE INTERROGATION ROOM  SAME,184
85,INT LAVERNES HIDEAWAY  NIGHT,130
86,INT THE SQUAD ROOM  NEXT DAY,39
87,INT THE SQUAD ROOM  LATER,17
88,INT ANOTHER CASTING OFFICE  DAY,19
89,EXT THE SPRAGUE MANSION  NIGHT,13
90,INT THE SPRAGUE MANSION  CONTINUOUS,13
91,INT A SMALL SITTING ROOM  CONTINUOUS,37
92,INT THE DINING ROOOM  LATER,103
93,EXT THE RED ARROW INN  LATER,3
94,INT THE RED ARROW INN  ROOM   SAME,12
95,INT THE RED ARROW INN  ROOM   SAME,89
96,EXTINT BUCKYS CAR  MOVING,2
97,EXT THE CALEDONIA LOUNGE  CONTINUOUS,23
98,INT JUVENILE DETENTION HALL  INTERROGATION ROOM  LATER,84
99,EXT THE HALLWAY  AFTER,15
100,INT THE MUSTER ROOM  LATER,49
101,INT THE LOCKER ROOM  LATER,34
102,INT THE SQUADRON  DAY,31
103,INT RED ARROW MOTEL  ROOM   LATER,37
104,INT THE POLICE CRUISER  LATER,7
105,EXT A KOREAN GROCERY  MINUTES LATER,6
106,INT A KOREAN GROCERY  CONTINUOUS,5
107,INT THE SQUAD ROOM  SOON AFTER,5
108,INT THE BATHROOM  CONTINUOUS,11
109,INT BUCKYS APARTMENT  NIGHT,10
110,EXT LEE AND KAYS HOUSE  NEXT DAY,39
111,INT POLICE STATION  BUCKYS CUBICLE  LATER,23
112,EXT TIJUANA  VARIOUS SHOTS  DAWN,12
113,INT THE DIVISIDERO  CONTINUOUS,8
114,INT A DIVISIDERO HOTEL ROOM  CONTINUOUS,23
115,EXT THE TIJUANA STREETS  VARIOUS SHOTS,4
116,EXT THE TIJUANA STREETS  VARIOUS SHOTS,11
117,INT A FILTHY MEXICAN JAIL  SOON AFTER,101
118,INT THE MOTEL ROOM  SECONDS LATER,15
119,INT KAY AND LEES HOUSE  DAY,110
120,INT ANOTHER CASTING SESSION  DAY,63
121,EXT FRITZ VOGELS HOUSE  EVENING,5
122,INT FRITZ VOGELS LIVING ROOM  CONTINUOUS,45
123,EXT THE CITY JAIL PARKING LOT  NIGHT,15
124,EXT AN OLD WAREHOUSE BUILDING,14
125,INT THE WAREHOUSE BUILDING  CONTINUOUS,146
126,INT KAY AND LEES HOUSE  NIGHT,5
127,INT THE BEDROOM  LATER,10
128,EXT SKID ROW  EVENING,22
129,INT EL NIDO  ROOM   NIGHT,15
130,INT THE RED ARROW MOTEL  NIGHT,7
131,INT KAYS BEDROOM  NIGHT,4
132,INT THE MEAT WAREHOUSE  NIGHT  A DREAM,14
133,INT THE EL NIDO  SAME,25
134,INT THE POLICE STATION  NIGHT,19
135,EXT FRITZ VOGELS HOUSE  NIGHT,2
136,EXT VOGELS SERVICE PORCH  LATER,4
137,INT FRITZ VOGELS HOUSE  CONTINUOUS,26
138,INT BUCKYS CAR  LATER,2
139,INT THE EL NIDO  NIGHT,48
140,INT KAYS BEDROOM  LATE NIGHT,30
141,INT THE POLICE STATION  SAME,4
142,INT SALLY STINSONS APARTMENT  DAY,97
143,EXTINT RUSS MILLARDS CAR  LATER,28
144,INT THE EL NIDO  DAY,98
145,EXT THE FIRE ESCAPE  LATER,10
146,INT THE HOTEL ROOM  DAY,12
147,INT HOLLYWOOD STATION  BOOKING  NIGHT,20
148,EXT CENTRAL STATION  LATER,2
149,INT THE LOCKER ROOM  LATER,6
150,INT LIEUTENANT JASTROWS OFFICE  SOON AFTER,15
151,INT THE MUSTER ROOM  CONTINUOUS,9
152,INT THE CASTING OFFICE  DAY,18
153,EXT THE SANTA MONICA PIER  NIGHT,20
154,EXT THE SAN DIEGO FREEWAY  LATE MORNING,5
155,EXT TIJUANA STREETS  VARIOUS SHOTS  DAY,26
156,EXT THE COAST ROAD  NEAR ENSENADA,4
157,EXT THE CITY LIMITS OF ENSENADA  NIGHT,14
158,EXT THE ENSENADA POLICE STATION  NIGHT,3
159,INT THE POLICE STATION  NIGHT,6
160,INT THE POLICE CHIEFS OFFICE  MINUTES LATER,30
161,INT A FLEABAG MOTEL ROOM  LATER,4
162,EXT THE HALLWAY  CONTINUOUS,3
163,EXT THE ENSENADA STREETS  NIGHT,5
164,INT THE CLUB BOXEO  CONTINUOUS,44
165,INT CLUB SATAN  LATER,20
