1,EXT RONNIES TRAILER  EARLY DAWN,17
2,INT RONNIES TRAILER  EARLY MORNING,6
3,INT RONNIES TRAILER  LATER THAT MORNING,18
4,INT RONNIES TRAILER  BATHROOM  MORNING,5
5,EXT RONNIES TRAILER  MORNING,96
6,INT MOTEL ROOM  AFTERNOON,12
7,EXT FISHERVILLE SQUARE  AFTERNOON,37
8,INT DUNNS CAFE  AFTERNOON,141
9,INT MOTEL ROOM  AFTERNOON,69
10,EXT FISHERVILLE SQUARE  DAY,33
11,EXT MELVINS FEED STORE  DAY,12
12,EXT MELVINS FEED STORE  LATER,17
13,EXT LAZARUSS BARN  LATE DAY,9
14,INT BOJOS  EARLY EVENING,138
15,EXT FISHERVILLE HIGH SCHOOL  FOOTBALL FIELD  NIGHT,49
16,EXT CONNERS HOUSE  THE KEGGER  NIGHT,10
17,INT CONNERS HOUSE  THE KEGGER  NIGHT,78
18,EXT CONNERS HOUSE  THE KEGGER  HIS PARENTS WATERBED ,35
19,INT LAZARUSS HOME  THE BEDROOM  NIGHT,6
20,INT LAZARUSS HOME  NIGHT,11
21,INT LAZARUSS HOME  THE BEDROOM  NIGHT,3
22,INT LAZARUSS HOME  KITCHEN  NIGHT,21
23,EXT CONNERS HOUSE  THE KEGGER  THE WOODS OUT BACK ,35
24,INT LAZARUSS HOME  KITCHEN  NIGHT,8
25,EXT CONNERS HOUSE  THE KEGGER  FRONT YARD  LATER THAT,22
26,EXT ROAD  NIGHT,2
27,INT GILLS TRUCK  NIGHT,37
28,EXT ROAD  NIGHT,20
29,INT A BUS  NIGHT,8
30,EXT FREEWAY  NIGHT,3
31,INT LAZARUSS HOME  KITCHEN  EARLY MORNING,8
32,INT CHURCH OF GOD  LAZARUSS HOME  EARLY MORNING,24
33,EXT LAZARUSS HOME  LATE MORNING,4
34,EXT LAZARUSS HOME  WHERE THE DRIVE MEETS THE ROAD  LATE,19
35,INT LAZARUS HOME  LATE MORNING,25
36,INT LAZARUSS HOME  KITCHEN  MORNING,27
37,EXT ROAD  AFTERNOON,3
38,EXT FISHERVILLE SQUARE  MACON DRUGS  AFTERNOON,11
39,INT MACON DRUGS  AFTERNOON,55
40,INT LAZARUS HOME  DAY,33
41,INT MACON DRUGS  AFTERNOON,37
42,EXT MACON DRUGS  AFTERNOON,4
43,INT POOL HALL  AFTERNOON,93
44,INT LAZARUS HOME  DAY,13
45,INT LAZARUS HOME  DAY,51
46,INT DUNNS CAFE  MORNING  FLASHBACK,7
47,EXT LAZARUS HOME  DAY,13
48,INT LAZARUSS HOME  THE BATHROOM  DAY,3
49,INT LAZARUS HOME  KITCHEN  DAY,2
50,INT LAZARUS HOME  THE BATHROOM  DAY,2
51,INT LAZARUS HOME  DAY,3
52,INT LAZARUS HOME  THE BATHROOM  DAY,76
53,EXT LAZARUS HOME  SUNSET,4
54,INT LAZARUS HOME  NIGHT,17
55,EXT LAZARUS HOME  NIGHT,50
56,INT LAZARUS HOME  KITCHEN  NIGHT,36
57,INT POOL HALL  EARLIER THAT DAY  FLASHBACK,16
58,INT LAZARUSS BARN  NIGHT,16
59,INT POOL HALL  MORNING  FLASHBACK,21
60,INT LAZARUSS BARN  NIGHT,13
61,EXT LAZARUS HOME  THE VEGETABLE GARDEN  LATE MORNING,8
62,INT LAZARUS HOME  AFTERNOON,175
63,EXT LAZARUS HOME  INT LAZARUS HOME  AFTERNOON,51
64,INT LAZARUSS HOME  LATER THAT AFTERNOON,89
65,EXT LAZARUS HOME  ON THE PORCH  LATER THAT DAY,10
66,EXT LAZARUS HOME  THE VEGETABLE GARDEN  SUNSET,18
67,INT LAZARUS HOME  NIGHT,112
68,INT LAZARUSS HOME  THE BEDROOM  NIGHT,3
69,INT LAZARUS HOME  NIGHT,12
70,EXT FISHERVILLE SQUARE  EARLY DAWN,19
71,INT LAZARUS HOME  MORNING,17
72,INT ELLA MAES WOMENS CLOTHING  EARLY AFTERNOON,23
73,INT LAZARUS HOME  THE BATHROOM  AFTERNOON,7
74,INT ELLA MAES WOMENS CLOTHING  AFTERNOON,31
75,INT LAZARUS HOME  KITCHEN  AFTERNOON,6
76,INT MACON DRUGS  AFTERNOON,58
77,EXT FISHERVILLE SQUARE  MACON DRUGS  AFTERNOON,17
78,INT LAZARUSS HOME  KITCHEN  AFTERNOON,36
79,EXT LAZARUS HOME  AFTERNOON,2
80,INT LAZARUS HOME  AFTERNOON,13
81,EXT LAZARUS HOME  AFTERNOON,104
82,INT LAZARUS HOME  AFTERNOON,8
83,EXT LAZARUS HOME  AFTERNOON,66
84,EXT LAZARUS BARN  AFTERNOON,40
85,INT LAZARUS HOME  AFTERNOON,87
86,EXT GREYHOUND BUS STATION  LATE AFTERNOON,4
87,EXT GREYHOUND BUS STATION  PHONE BOOTH  LATE AFTERNOON,19
88,EXT LAZARUS HOME  SUNSET,18
89,INT LAZARUS HOME  KITCHEN  SUNSET,49
90,INT LAZARUS HOME  KITCHEN  AT THE TABLE  NIGHT,41
91,EXT LAMPLIGHTER BAR  NIGHT,3
92,INT LAMPLIGHTER BAR  NIGHT,116
93,EXT RONNIES TRAILER  NIGHT,4
94,INT RONNIES TRAILER  NIGHT,110
95,EXT RONNIES TRAILER  NIGHT,12
96,EXT LAZARUS HOME  NEAR THE BARN  NIGHT,49
97,EXT LAZARUS HOME  THE FRONT DOOR  NIGHT,11
