1, INT DARK STAGE  NIGHT ,28
2, INT NINAS BEDROOM  MORNING ,12
3, INT LIVING ROOM  MORNING ,24
4, INT KITCHEN  MORNING ,48
5, INT SUBWAY TRAIN  DAY ,22
6, EXT LINCOLN CENTER  DAY ,10
7, INT SOLOIST DRESSING ROOM  DAY ,63
8, INT LARGE REHEARSAL SPACE  DAY ,89
9, INT BACKSTAGE HALLWAY  DAY ,23
10, INT PRINCIPAL DRESSING ROOM  SAME ,13
11, INT PRINCIPAL REHEARSAL SPACE  DAY ,83
12,A INT THEATER BATHROOM STALL  NIGHT A,8
13, EXT STREET  NIGHT ,26
14, INT UPPER WEST SIDE APARTMENT  NIGHT ,25
15, INT LIVING ROOM  NIGHT ,42
16, INT NINAS BEDROOM  NIGHT ,56
17, INT SUBWAY  DAY ,4
18, INT BACKSTAGE HALLWAY  DAY ,12
19, INT LEROYS OFFICE  SAME ,106
20, INT LARGE REHEARSAL SPACE  DAY ,30
21, INT BACKSTAGE HALLWAY  SAME ,31
22, INT THEATER BATHROOM  DAY ,27
23, INT UPPER WEST SIDE APARTMENT  AFTERNOON ,5
24, INT ERICAS BEDROOM  LATER ,11
25, INT APARTMENT BATHROOM  NIGHT ,19
26, INT UPPER WEST SIDE APARTMENT  NIGHT ,40
27, INT PRINCIPAL REHEARSAL SPACE  DAY ,21
28, INT PRINCIPAL REHEARSAL SPACE  LATER ,32
29, INT BACKSTAGE HALLWAY  DAY ,19
30,A INT PRINCIPAL DRESSING ROOM  DAY A,19
31, INT PATRON OF THE ARTS APARTMENT  NIGHT ,77
32, INT LIVING ROOM PATRON OF THE ARTS APARTMENT  LATER ,21
33, INT BATHROOM  LATER ,49
34, EXT UPPER EAST SIDE APARTMENT BUILDING  NIGHT ,114
35, INT LEROYS APARTMENT  NIGHT ,81
36, INT NINAS BEDROOM  NIGHT ,54
37, INT APARTMENT BATHROOM  NIGHT ,20
38, INT NINAS BEDROOM  LATER ,12
39, INT NINAS BEDROOM  MORNING ,10
40, INT LARGE REHEARSAL SPACE  DAY ,19
41, EXT LINCOLN CENTER FOUNTAIN  DAY ,36
42,A INT PRINCIPAL DRESSING ROOM  DAY A,9
43, INT HOSPITAL  DAY ,19
44, INT HOSPITAL ROOM DAY ,24
45,A INT UPPER WEST SIDE APARTMENT BUILDING  NIGHT A,9
46,B INT UPPER WEST SIDE APARTMENT  LATER B,13
47,A INT PRINCIPAL REHEARSAL SPACE  DAY A,11
48,B INT LARGE REHEARSAL SPACE  ANOTHER DAY B,9
49,C INT LARGE REHEARSAL SPACE  ANOTHER DAY C,4
50,A INT PHYSICAL THERAPISTS OFFICE  ANOTHER DAY A,3
51,A INT PRINCIPAL REHEARSAL SPACE  YET ANOTHER DAY A,90
52,A INT PRINCIPAL REHEARSAL SPACE  LATER A,68
53,A INT APARTMENT BATHROOM  NIGHT A,39
54, INT LARGE REHEARSAL SPACE  DAY ,55
55, INT BACKSTAGE HALLWAY  DAY ,22
56, INT BACKSTAGE HALLWAY  DAY ,22
57,A INT SUBWAY  NIGHT A,11
58, INT UPPER WEST SIDE APARTMENT  NIGHT ,82
59, INT BUILDING HALLWAY NIGHT ,65
60, INT CORNER BISTRO  NIGHT ,109
61, INT GRUNGY BATHROOM  NIGHT ,9
62, INT CORNER BISTRO  NIGHT ,61
63, INT CORNER BISTRO  MOMENTS LATER ,121
64, INT DANCE CLUB  NIGHT ,9
65, INT CLUB BATHROOM  LATER ,7
66, INT DANCE CLUB  SAME ,5
67, EXT DANCE CLUB  LATER ,10
68, INT TAXI  NIGHT ,19
69, INT UPPER WEST SIDE APARTMENT HALLWAY  LATER ,4
70, INT UPPER WEST SIDE APARTMENT  SAME ,46
71,A INT NINAS BEDROOM  SAME A,63
72, INT NINAS BEDROOM  MORNING ,7
73, INT UPPER WEST SIDE APARTMENT  MORNING ,9
74, INT BACKSTAGE  DAY ,90
75,A INT STAGE  DAY A,27
76,B INT BACKSTAGE  LATER B,15
77,A INT BATHROOM  NIGHT A,5
78, INT UPPER WEST SIDE APARTMENT  NIGHT ,8
79, INT NINAS BEDROOM  NIGHT ,8
80, INT APARTMENT CORRIDOR  NIGHT ,5
81,A INT STAGE  DAY A,15
82,B INT COSTUME SHOP  DAY B,39
83,C INT BACKSTAGE HALLWAY  DAY C,51
84,A INT PRINCIPAL REHEARSAL SPACE  NIGHT A,27
85,A INT STAGE  NIGHT A,19
86, INT WINGS  SAME ,14
87,A INT PRINCIPAL DRESSING ROOM  NIGHT A,6
88,B EXT THEATER  NIGHT B,6
89, INT HOSPITAL  NIGHT ,52
90, INT HALLWAY  SAME ,5
91, INT HOSPITAL ELEVATOR  SAME ,5
92, INT UPPER WEST SIDE APARTMENT  NIGHT ,3
93,A INT KITCHEN  SAME A,8
94,B INT BATHROOM  SAME B,8
95, INT ERICAS BEDROOM  SAME ,17
96, INT BEDROOM  SAME ,45
97, INT NINAS BEDROOM  EVENING ,99
98, EXT THEATER  EVENING ,5
99, INT BACKSTAGE HALLWAY  EVENING ,23
100, INT PRINCIPAL DRESSING ROOM  SAME ,39
101, INT BACKSTAGE HALLWAY NINAS POV ,5
102, INT PRINCIPLES DRESSING ROOM  LATER ,18
103, INT BACKSTAGE  NIGHT ,19
104, INT BACKSTAGE  LATER ,47
105, INT BACKSTAGE  SAME ,31
106, INT PRINCIPLES DRESSING ROOM  SAME ,62
107, INT PRINCIPAL DRESSING ROOM  MOMENTS LATER ,11
108,A INT STAGE  NIGHT A,41
109, INT BACKSTAGE  SAME ,14
110, INT BACKSTAGE HALLWAY  LATER ,11
111, INT PRINCIPAL DRESSING ROOM  SAME ,7
112, INT PRINCIPAL DRESSING ROOM  MOMENTS LATER ,49
