1,EXT,39
2,INT NIGHT PHARMACY  MOSCOW,14
3,EXT NIGHT PHARMACY  MOSCOW,7
4,INT NIGHT PHARMACY BATHROOM  MOSCOW,15
5,INT NIGHT PHARMACY  MOSCOW,17
6,INT,54
7,EXT DAY LANGLEY VA,4
8,INT CIA  DAY,6
9,INT KRAMERS OFFICE  DAY,119
10,EXT,6
11,INT,31
12,INT DAY MARTINS APARTMENT  PARIS,14
13,INT CONTINUOUS MARTINS APARTMENT,25
14,EXT SUBWAY  DAY,50
15,EXT,15
16,INT DAY,14
17,EXT DAY CIA HEADQUARTERS  LANGLEY,10
18,EXT,8
19,INT,35
20,EXT DAY GARE DU NORD  PARIS,5
21,INT DAY CRI DATA ROOM  E,19
22,INT,31
23,EXT DAY EUROSTAR  ENGLAND,4
24,INT DAY,14
25,INT DAY EUROSTAR,8
26,EXT,7
27,INT DAY  CRI HUB,19
28,INT DAY GUARDIAN EDITOR OFFICE  LONDON,22
29,INT CONTINUOUS GUARDIAN  NEWSROOM,9
30,INT DAY CRI HUB  NEW YORK CITY,13
31,INT DAY,13
32,INT,8
33,INT,21
34,INT DAY BUILDING  ACROSS FROM GUARDIAN,12
35,EXT CONTINUOUS LONDON STREET,6
36,INT DAY NEW YORK HUB,12
37,EXT,7
38,EXT CONTINUOUS STREET,8
39,EXT DAY WATERLOO STATION  LONDON,4
40,INTEXT DAY BLACK CAB  YORK ROAD,6
41,INT DAY CRI HUB,8
42,EXT DAY YORK ROAD  LONDON,6
43,EXT DAY ENTRANCE  WATERLOO STATION,9
44,INT CONTINUOUS CRI HUB  NEW YORK CITY,9
45,INT DAY WATERLOO  ENTRANCE,28
46,INT CONTINUOUS NEW YORK HUB,21
47,EXT DAY BMW  LONDON STREET,6
48,EXT CONTINUOUS FOOTBRIDGE,9
49,INT CONTINUOUS WHITE VAN,8
50,INT CONTINUOUS NEW YORK HUB,4
51,EXT DAY YORK ROAD  TUBE  BUS STOP,18
52,INT DAY CRI HUB  NEW YORK,38
53,EXT ACROSS FROM YORK ROAD  DAY,5
54,EXT DAY FOOTBRIDGE AREA,9
55,EXT,8
56,INT DAY,33
57,EXT,6
58,INT DAY STAIRWELL,10
59,INT DAY NEW YORK HUB,13
60,INTEXT DAY CAR  LONDON STREETS,6
61,EXT DAY WATERLOO,7
62,EXT DAY WEST ENTRANCE WATERLOO  NEWSTAND,43
63,INT DAY CRI HUB,11
64,EXT DAY WATERLOO,5
65,EXT DAY WEST ENTRANCE,6
66,INT CONTINUOUS CONCOURSE  WATERLOO,35
67,INT DAY CRI HUB,5
68,EXT DAY CONCOURSE  WATERLOO,27
69,INT DAY CRI HUB  NEW YORK,13
70,EXT DAY TAXI RANK  WATERLOO,11
71,EXT DAY CONCOURSE,20
72,INT CAR TRAVELLING MEPHAM STREET  DAY,17
73,EXT CONCOURSE CONTINUOUS  DAY,22
74,INT TUNNELS ABOVE THE CONCOURSE  DAY,7
75,EXT CONCOURSE WATERLOO  SIMULTANEOUSLY  DAY,12
76,AB INT MAINTENANCE AREA SIMULTANEOUSLY  DAY,5
77,EXT CONCOURSE  CONTINUOUS  DAY,11
78,INT NEW YORK HUB  SIMULTANEOUS  DAY,10
79,INT STORE COMPLEX  SIMULTANEOUSLY  DAY,16
80,INT DAY  CRI HUB,15
81,INT MAINTENANCE AREA DAY,17
82,INT BEHIND THRESHERS BEHIND THE SILVER METAL DOOR,21
83,INT MAINTENANCE AREA,4
84,INT WATERLOO STATION,15
85,INT HUB,14
86,INT MAINTENANCE AREA,10
87,INT BEHIND THRESHERS ,11
88,INT MAINTENANCE AREA,9
89,INT CONCOURSE  WATERLOO,20
90,INT MAINTENANCE AREA  DAY,4
91,INT WATERLOO  SERIES OF ANGLES,7
92,INT PAZS NEST,8
93,INT HUB,22
94,INT WATERLOO  DAY,14
95,INT WATERLOO  DAY,4
96,INT DAY WATERLOO STATION,8
97,EXT CONCOURSE WATERLOO  SIMULTANEOUSLY  DAY,10
98,EXT PLATFORM AREA  DAY,4
99, INT TUBE STATION  WATERLOO  DAY,30
100,INT DAY DIRECTORS OFFICE  CIA  LANGLEY VA,7
101,EXT NIGHT,5
102,INT NIGHT DANIELS OFFICE,6
103,EXT NIGHT INTERNET CAFE  LONDON,10
104,EXT DAY,5
105,INT DAY,113
106,EXT,8
107,INT DAY  CRI HUB,64
108,EXT DAY,10
109,INT DAY,116
110,EXT,8
111,INT,12
112,INT HUB,13
113,EXT,5
114,INT,7
115,INT,7
116,EXT HOSPITAL ANNEX  OVERCAST DAY  FLASHBACK,5
117,INT SEWELL AND MARBURY  NIGHT,4
118,INT SRD CORRIDOR  DAY  FLASHBACK,7
119,INT SEWELL AND MARBURY  NIGHT,7
120,INT TANK ROOM  FLASHBACK,35
121,INT TANK ROOM  FLASHBACK,11
122,INT SEWELL AND MARBURY  NIGHT,5
123,EXT STREET,4
124,INT SEWELL AND MARBURY,5
125,EXT STREET,5
126,INT DAY  CRI HUB,6
127,EXT NIGHT,5
128,INT,6
129,INT NIGHT,8
130,INT,8
131,INT,8
132,INT DAY  CRI HUB,6
133,INT NIGHT,10
134,INT CRIGRID ROOM,7
135,INT,17
136,INT,10
137,INT,5
138,INT,16
139,INT NIGHT,19
140,INT HUB,79
141,INT SAFEHOUSE  NIGHT,14
142,EXT NIGHT,7
143,INT NIGHT,6
144,INT,23
145,INT HUB,16
146,INT NIGHT,18
147,EXT,10
148,INT HUB,7
149,EXT MADRID  NIGHT,9
150,INT HUB,4
151,EXT MADRID  NIGHT,6
152,INT HUB,12
153,BC INT NIGHT  VOSENS OFFICE  CRI,25
154,INT NIGHT TRUCK STOP  SPAIN,43
155,INT NIGHT TRUCK STOP  SPAIN,34
156,INT VOSENS OFFICE  DAY,9
157,INT DAY,16
158,INT VOSENS OFFICE,63
159,EXT DAY FERRY  ESTABLISHING,6
160,EXT DAY,5
161,EXT DAY TANGIER,7
162,EXT DAY TANGIER,4
163,INT DAY PENSIONE  TANGIER,12
164,INT LANDYS OFFICE  DAY,7
165,INT KRAMERS OFFICE  DAY,13
166,INT LANDYS OFFICE  DAY,7
167,INT DAY  CRI HUB,17
168,INT TAXI,6
169,INT HOTEL,8
170,INT HUB,19
171,INT LOCKUP GARAGE DAY,5
172,INT HOTEL,16
173,INT LOCKUP GARAGE DAY,6
174,INT HOTEL,16
175,INT LOCKUP GARAGE DAY,7
176,EXT LOCKUP GARAGE DAY,4
177,EXT TANGIER ESTABLISHING,3
178,EXT STREET,6
179,INT HUB,7
180,EXT ACROSS FROM CAFE DE PARIS DAY,7
181,INT HUB,5
182,EXT CAFE DE PARIS,13
183,INT HUB  DAY,86
184,EXT DAY TANGIER,6
185,INT,8
186,INT DAY VELASQUEZ HOTEL,8
187,EXT DAY,21
188,EXT,19
189,EXT,7
190,EXT,9
191,INT,24
192,EXT,44
193,EXT,29
194,EXT,8
195,EXT,13
196,EXT,11
197,EXT,7
198,EXT,15
199,INTEXT,60
200,EXT,27
201,EXT,8
202,INT,9
203,EXT,9
204,EXT,18
205,EXT,12
206,INT RIAD,49
207,INTEXT  NARROW STAIRWELL,34
208,EXT,54
209,INT DAY HUB  CRI  NEW YORK,13
210,INT DAY,19
211,EXT DUSK PENSIONE,4
212,INT DUSK PENSIONE  WASHROOM  TANGIER,6
213,INT DUSK LANDYS OFFICE LONELY LANDY,8
214,INT DUSK PENSIONE  WASHROOM,7
215,INT DUSK LANDYS OFFICE LONELY LANDY,5
216,INT DUSK PENSIONE  WASHROOM,7
217,INT DUSK LANDYS OFFICE LONELY LANDY,6
218,INT,30
219,INT BATHROOM,5
220,EXT,9
221,INT LANDYS OFFICE NIGHT,12
222,INT TANGIER MORGUE,10
223,INT VOSENS OFFICE  DAY,10
224,INT AIRPLANE  DAY,8
225,EXT NEW YORK,4
226,INT LANDYS OFFICE DAY,6
227,INT CRONINS OFFICE  DAY,18
228,INT AIRPORT TERMINAL,10
229,INT CRONINS OFFICE,15
230,INT OFFICE BUILDING ACROSS FROM CRI  DAY,6
231,INT DAY LANDYS OFFICE  CRI  NEW YORK,7
232,INT UNDEFINED SPACE,6
233,INT LANDYS OFFICE,8
234,INT VOSENS OFFICE,9
235,INT LANDYS OFFICE  DAY,5
236,INT HUB  BACK ROOM,15
237,INT LANDYS OFFICE,7
238,INT UNDEFINED SPACE,8
239,INT HUB  BACK ROOM,9
240,INT LANDYS OFFICE,8
241,INT UNDEFINED SPACE,5
242,INT HUB  BACK ROOM,9
243,INT LANDYS OFFICE,7
244,INT HUB,9
245,INT LANDYS OFFICE  DAY,5
246,INT HUB,12
247,EXT CRI  DAY,5
248,INT HUB  DAY,14
249,EXT NYC STREETS  DAY,4
250,INT HUB  DAY,12
251,EXT NYC STREETS  DAY,4
252,INT,41
253,EXT MANHATTAN  DAY,8
254,EXT CRI BUILDING  DAY,10
255,EXT STREET,4
256,INT VOSENS SUV,18
257,EXT MANHATTAN,4
258,EXT MANHATTAN,7
259,EXT TUDOR CITY ROOFTOP,5
260,EXT MANHATTAN  DAY,7
261,EXT TUTOR CITY OUTSKIRTS,10
262,INT STAIRWAY,4
263,EXT TUDOR CITY,6
264,INT VOSENS SUV,6
265,EXT TUTOR CITY,6
266,INT STAIRWAY,5
267,INT VOSENS SUV,9
268,INT AMBIGUOUS SPACE,6
269,EXT TUDOR CITY,4
270,INT AMBIGUOUS SPACE,5
271,EXT TUTOR CITY,4
272,INT VOSENS SUV  DAY,27
273,INT VOSENS OFFICE  DAY,13
274,INT,8
275,INT DAY,12
276,INT VOSENS SUV  DAY,12
277,INT SERVICE STAIRS,5
278,INT VOSENS OFFICE,6
279,EXT MANHATTAN,7
280,EXT MANHATTAN  DAY,5
281,EXT MANHATTAN  DAY,9
282,INT CRONINS CAR  DAY,22
283,EXT MIDTOWN WEST  DAY,7
284,INT VOSENS SUV  DAY,10
285,INT CRI CAR  DAY,8
286,EXT  STREET  DAY,11
287,INT VOSENS SUV  DAY,8
288,EXT MIDTOWN WEST  DAY,10
289,INT VOSENS SUV  DAY,15
290,EXT PORT AUTHORITY  DAY,4
291,INT CRI CAR  DAY,7
292,EXT PORT AUTHORITY  DAY,7
293,INT CRI CAR  DAY,18
294,EXT ROOFTOP PARKING LOT  PORT AUTHORITY,16
295,INT VOSENS SUV  DAY,14
296,INT VOSENS SUV  DAY,5
297,EXT ROOFTOP PARKING LOT  PORT AUTHORITY,29
298,INT VOSENS SUV  DAY,8
299,EXT ROOFTOP PARKING LOT  PORT AUTHORITY,40
300,INT,8
301,EXT ROOFTOP PARKING LOT  PORT AUTHORITY,10
302,INT VOSENS SUV  DAY,9
303,EXT ROOFTOP PARKING LOT  PORT AUTHORITY,7
304,INT VOSENS SUV  DAY,17
305,INTEXT CIRCULAR RAMP,5
306,INTEXT PARKING GARAGE  TWO LEVELS BELOW ROOFTOP,67
307,EXT CROSSTOWN STREET  DAY,15
308,EXT CROSSTOWN STREET  DAY,11
309,INT BOURNES CAR  DAY,22
310,EXT MANHATTAN STREET  DAY,21
311,INT BOURNES CAR  DAY,37
312,INT HUB,8
313,EXT UPPER EAST SIDE  LATE AFTERNOON,5
314,INT HUB,31
315,EXT CRASH SITE  DAY,9
316,EXT SEVENTH AVENUE  DAY,4
317,INT HUB,35
318,INT VOSENS SUV  DAY,23
319,INT VOSENS SUV  LATE AFTERNOON,5
320,EXT UPPER EAST SIDE  LATE AFTERNOON,6
321,INT HIRSCHS OFFICE,17
322,INT,9
323,INT HIRSCHS OFFICE NEW BUILDING OF HOSPITAL DAY,22
324,EXT,11
325,EXT,35
326,EXT NYC STREETS  LATE AFTERNOON,5
327,EXT HOSPITAL  LATE AFTERNOON,17
328,INT HOSPITAL  LATE AFERNOON,7
329,EXT FIRST AVENUE  OUTSIDE HOSPITAL ,7
330,INT VOSENS SUV  LATE AFTERNOON,9
331,INT TH FLOOR ELEVATOR LOBBY  LATE AFTERNOON,5
332,INT LOBBY  LATE AFTERNOON,4
333,EXT FIRST AVENUE  LATE AFTERNOON,6
334,INT CORRRIDOR,4
335,INT HOSPITAL LOBBY  LATE AFTERNOON,15
336,INT HOSPITAL CORRIDOR,6
337,INT SECURITY ROOM  LATE AFTERNOON,7
338,INT SRD TRAINING WING OLD BUILDING OF HOSPITAL  LATE ,15
339,INT SRD TRAINING WING OLD BUILDING OF HOSPITAL  LATE ,11
340,INT OFFICE  LATE AFTERNOON,54
341,INT SRD TRAINING WING CORRIDOR  LATE AFERNOON,25
342,INT ROOM WHERE BOURNE FIRST MET HIRSCH,151
343,INT HALLWAY,4
344,INT ROOM WHERE BOURNE FIRST MET HIRSCH,10
345,EXT ROOF  NIGHT,54
