1,INT LEWIS HOUSE  MASTER BEDROOM  NIGHT,35
2,INT LEWIS HOUSE  FOYER  NEXT,32
3,INT LEWIS HOUSE  KITCHEN  MOMENTS LATER,36
4,INT LEWIS HOUSE  KITCHEN  LATER THAT MORNING,22
5,EXT LEWIS HOUSE  FRONT WALK  MOMENTS LATER,91
6,INT LEWIS HOUSE  KITCHEN  MOMENTS LATER,43
7,EXT LEWIS HOUSE  DRIVEWAY  MOMENTS LATER,35
8,EXT DOWNTOWN RICHMOND  MORNING,25
9,EXT COLLEGIATE SCHOOL  MORNING,4
10,INT COLLEGIATE SCHOOL  HALLWAY  MOMENTS LATER,33
11,INT COLLEGIATE SCHOOL  OFFICE  MOMENTS LATER,5
12,INT COLLEGIATE SCHOOL  PRINCIPALS OFFICE  NEXT,36
13,INT COLLEGIATE SCHOOL  HALLWAY  MOMENTS LATER,3
14,INT COLLEGIATE SCHOOL  SCIENCE LAB  MOMENTS LATER,57
15,EXT NASA LANGLEY RESEARCH CENTER  ENTRANCE GATE  MORNING,5
16,EXT NASA LANGLEY FACILITY  MAIN STREET  MOMENTS LATER,6
17,INT NASA LANGLEY FACILITY  CORRIDOR  MOMENTS LATER,7
18,INT NASA LANGLEY FACILITY  MEDIA ROOM  MOMENTS LATER,73
19,INT COLLEGIATE SCHOOL  SCIENCE LAB  MOMENTS LATER,7
20,INT NASA LANGLEY FACILITY  CAHILLS OFFICE  MORNING,16
21,INT NASA LANGLEY FACILITY  LABORATORY  LATER ON,42
22,INT COLLEGIATE SCHOOL  SCIENCE LAB  NEXT,39
23,INT NASA LANGLEY FACILITY  LABORATORY  NEXT,10
24,INT COLLEGIATE SCHOOL  SCIENCE LAB  NEXT,7
25,INT NASA LANGLEY FACILITY  LABORATORY  NEXT,14
26,INT COLLEGIATE SCHOOL  SCIENCE LAB  NEXT,18
27,INT NASA LANGLEY FACILITY  LABORATORY  NEXT,19
28,INT COLLEGIATE SCHOOL  SCIENCE LAB  NEXT,16
29,INT NASA LANGLEY FACILITY  LABORATORY  NEXT,7
30,INT COLLEGIATE SCHOOL  HALLWAY  MIDDAY,12
31,EXT LEWIS HOUSE  AFTERNOON,23
32,INT LEWIS HOUSE  FOYER  NEXT,3
33,INT LEWIS HOUSE  KITCHEN  NEXT,12
34,EXT GYMNASIUM  EARLY EVENING,16
35,INT LEWIS HOUSE  FAMILY ROOM  NEXT,4
36,INT LEWIS HOUSE  FOYER  NEXT,132
37,INT LEWIS HOUSE  FOYER  NEXT,29
38,EXT CARYTOWN SHOPPING CENTER  AFTERNOON,12
39,INT LEWIS HOUSE  KITCHEN  NEXT,9
40,INT BURNS HOUSE  NEXT,17
41,INT LEWIS HOUSE  KITCHEN  NEXT,10
42,INT BURNS HOUSE  FAMILY ROOM  NEXT,12
43,INT LEWIS HOUSE  KITCHEN  NEXT,27
44,INT LEWIS HOUSE  MASTER BATHROOM  LATER ON,6
45,INT LEWIS HOUSE  MASTER BEDROOM  NEXT,34
46,INT LEWIS HOUSE  FAMILY ROOM  MOMENTS LATER,22
47,EXT RIVER ROAD  NIGHT,3
48,INT ARTHURS CAR  NEXT,46
49,EXT COUNTRY CLUB OF VIRGINIA  NIGHT,4
50,EXT CCV  PARKING LOT  NIGHT,3
51,INT ARTHURS CAR  NEXT,55
52,EXT CCV  PARIING LOT  MOMENTS LATER,21
53,INT CCV  GRAND BALLROOM  MOMENTS LATER,18
54,INT LEWIS HOUSE  FAMILY ROOM  NEXT,14
55,INT CCV  GRAND BALLROOM  LATER ON,58
56,INT CCV  GRAND BALLROOM  BAR  MOMENTS LATER,57
57,INT CCV  GRAND BALLROOM  NEXT,47
58,INT LEWIS HOUSE  FAMILY ROOM  NEXT,10
59,INT LEWIS HOUSE  BASEMENT  MOMENTS LATER,87
60,INT CCV  GRAND BALLROOM  NIGHT,56
61,EXT CCV  PARKING LOT LATER THAT NIGHT,6
62,INT LEWIS HOUSE  FAMILY ROOM  LATER ON,49
63,INT LEWIS HOUSE  MASTER BEDROOM  LATER THAT NIGHT,4
64,INT LEWIS HOUSE  WALTERS BEDROOM  NEXT,15
65,EXT CARYTOWN HAIR SALON  LATER ON,5
66,INT LEWIS HOUSE  KITCHEN  NEXT,51
67,EXT WILLOW LAWN MOTEL  NEXT,4
68,INT WILLOW LAWN MOTEL  ROOM   NEXT,8
69,INT LEWIS HOUSE  KITCHEN  NEXT,17
70,INT WILLOW LAWN MOTEL  ROOM   NEXT,30
71,INT LEWIS HOUSE  KITCHEN  NEXT,58
72,INT RICHMOND POLICE STATION   EMERGENCY  NEXT,23
73,EXT  CARY STREET  MOMENTS LATER,13
74,INT  CARY STREET  FOYER  NEXT,4
75,INT  CARY STREET  KITCHEN  NEXT,5
76,INT  CARY STREET  UPSTAIRS HALLWAY  NEXT,17
77,INT  CARY STREET  UPSTAIRS BATHROOM  NEXT,3
78,INT LEWIS HOUSE  KITCHEN  NEXT,7
79,INT LEWIS HOUSE  FOYER  NEXT,42
80,EXT LEWIS HOUSE  FRONT WALK  NEXT,26
81,INT LEWIS HOUSE  KITCHEN  MOMENTS LATER,16
82,INT POLICE STATION  BURNSS OFFICE  NEXT,11
83,INT LEWIS HOUSE  KITCHEN  NEXT,28
84,INT POLICE STATION  LATER,9
85,INT LEWIS HOUSE  KITCHEN  NEXT,12
86,INT LEWIS HOUSE  KITCHEN  NEXT,65
87,EXT STEWARD RESIDENCE  MOMENTS LATER,11
88,INT ARTHURS CAR  NEXT,14
89,INT RICHMOND PUBLIC LIBRARY  NEXT,36
90,INT RICHMOND PUBLIC LIBRARY  CIRCULATION DESK  NEXT,10
91,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  MOMENTS LATER,12
92,INT NASA LANGLEY FACILITY  LABORATORY  FLASHBACK,10
93,EXT NASA LANGLEY FACILITY  LUNAR LANDER MODULE  NEXT,15
94,INT NASA LANGLEY FACILITY  LABORATORY  NEXT,6
95,EXT NASA LANGLEY FACILITY  NEXT,8
96,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  NEXT,8
97,EXT NASA  LUNAR LANDER MODULE  FLASHBACK,18
98,INT RICHMOND PUBLIC LIBPFRY  RECORDS ROOM  NE T,5
99,EXT NASA LANGLEY FACILITY  FLASHBACK,5
100,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  NEXT,6
101,EXT NASA LANGLEY FACILITY  FLASHBACK,19
102,INT RICHMOND POLICE STATION  NEXT,18
103,INT RICHMOND BAR  NEXT,11
104,INT RICHMOND BAR  MOMENTS LATER,10
105,INT NASA LANGLEY FACILITY  LABORATORY  FLASHBACK,10
106,INT NASA LANGLEY FACILITY  MAIN HANGAR  DAY,16
107,EXT NASA LANGLEY FACILITY  MAIN HANGAR  NEXT,7
108,INT RICHMOND DIVE BAR  EVENING,43
109,INT RICHMOND POLICE STATION  BURNSS OFFICE  LATER,26
110,EXT RICHMOND PUBLIC LIBRARY  NEXT,6
111,INT RICHMOND PUBLIC LIBRARY  NEXT,7
112,INT RICHMOND POLICE STATION  BURNSS OFFICE  NEXT,6
113,INT RICHMOND PUBLIC LIBRARY  NEXT,7
114,INT RICHMOND POLICE STATION  BURNSS OFFICE  NEXT,6
115,INT RICHMOND PUBLIC LIBRARY  NEXT,8
116,INT RICHMOND POLICE STATION  BURNSS OFFICE  NEXT,6
117,INT RICHMOND PUBLIC LIBRARY  NEXT,5
118,INT RICHMOND POLICE STATION  BURNSS OFFICE  NEXT,9
119,INT RICHMOND PUBLIC LIBRARY  NEXT,4
120,INT RICHMOND POLICE STATION  BURNSS OFFICE  NEXT,29
121,INT RICHMOND PUBLIC LIBRARY  NEXT,5
122,INT RICHMOND POLICE STATION  RECEPTION AREA  NEXT,5
123,EXT RICHMOND GENERAL ASSEMBLY BUILDING  MOMENTS LATER,11
124,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  NEXT,14
125,INT RICHMOND PUBLIC LIBRARY  CIRCULATION DESK  NEXT,5
126,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  NEXT,25
127,INT RICHMOND PUBLIC LIBRARY  PERIODICALS SECTION  NEXT,14
128,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  NEXT,68
129,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  NEXT,31
130,INT RICHMOND PUBLIC LIBRARY  PERIODICALS SECTION  NEXT,50
131,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  NEXT,12
132,INT RICHMOND PUBLIC LIBRARY  PERIODICALS SECTION  NEXT,5
133,INT RICHMOND PUBLIC LIBRARY  RECORDS ROOM  NEXT,8
134,INT DREAM  CORRIDOR  NEXT,10
135,INT DREAM  DRAWING ROOM  NEXT,19
136,INT DREAM  SECOND DRAWING ROOM  NEXT,7
137,INT DREAM  UPPER LEVEL  NEXT,6
138,EXT MARS SURFACE  NEXT,4
139,INT LEWIS HOUSE  MASTER BEDROOM  LATER ON,29
140,EXT WASHINGTON DC  NIGHT,3
141,INT US ARMY JET  NEXT,7
142,INT LEWIS HOUSE  MASTER BATHROOM  LATER ON,5
143,INT LEWIS HOUSE  WALTERS BEDROOM  NEXT,34
144,EXT WILLOW LAWN MOTEL  ROOF TOP  NEXT,8
145,EXT WILLOW LAWN MOTEL  DRIVEWAY  MOMENTS LATER,3
146,INT SCOPE INSERT  NIGHT,6
147,EXT RICHMOND ROOFTOP  NIGHT,9
148,INT RICHMOND GENERAL ASSEMBLY BUILDING  MOMENTS LATER,5
149,INT RICHMOND GENERAL ASSEMBLY BUILDING  MOMENTS LATER,8
150,INT GRIFFITH POWELLS OFFICE  RECEPTION  NEXT,11
151,INT GRIFFITH POWELLS OFFICE  NEXT,64
152,EXT RICHMOND ROOFTOP  NEXT,5
153,INT POWELLS OFFICE  RECEPTION  NEXT,3
154,INT FOREST LAWN BABTIST CHURCH  NIGHT,38
155,INT FOREST LAWN BABTIST CHURCH  NIGHT,26
156,EXT FOREST LAWN SQUARE  NIGHT,12
157,EXT VIRGINIA HOUSE  LATER ON,7
158,EXT VIRGINIA HOUSE  BACK LAWN  LATER ON,39
159,EXT VIRGINIA HOUSE  UPPER PATIO  MOMENTS LATER,32
160,EXT VIRGINIA HOUSE  BACK LAWN  LATER ON,24
161,EXT VIRGINIA HOUSE  DANCE FLOOR  LATER,96
162,INT VIRGINIA HOUSE  MENS BATHROOM  NEXT,3
163,EXT VIRGINIA HOUSE  DANCE FLOOR  LATER,40
164,INT VIRGINIA HOUSE  MENS BATHROOM  NEXT,19
165,INT VIRGINIA HOUSE  BACK CORRIDOR  NEXT,5
166,INT VIRGINIA HOUSE  KITCHEN  NEXT,4
167,EXT VIRGINIA HOUSE  MOMENTS LATER,10
168,EXT VIRGINIA HOUSE  BACK DRIVEWAY  NEXT,5
169,EXT FOREST LAWN SQUARE  MOMENTS LATER,8
170,EXT VIRGINIA HOUSE  DRIVEWAY  MOMENTS LATER,5
171,EXT VIRGINIA HOUSE  BACK DRIVEWAY  NEXT,10
172,EXT FOREST LAWN SQUARE  MOMENTS LATER,16
173,EXT   NIGHT,3
174,INT WHITE PICKUP TRUCK  NEXT,32
175,EXT   NIGHT,2
176,INT WHITE PICKUP TRUCK  NEXT,19
177,EXT   NEXT,7
178,INT WHITE PICKUP TRUCK  NEXT,26
179,EXT   NIGHT,13
180,EXT VIRGINIA HOUSE  DRIVEWAY  MOMENTS LATER,26
181,EXT   NIGHT  LATER ON,12
182,INT AMBULANCE  NEXT,35
