1,EXT NEW YORK STREETSNIGHT,75
2,INT TENEMENT STAIRWELLNIGHT,6
3,INT BURKE APARTMENTNIGHT,109
4,INT AMBULANCENIGHT,15
5,EXT SECOND AVENUENIGHT,16
6,EXT OUR LADY OF MERCYNIGHT,5
7,INT MERCY ERNIGHT,222
8,EXT MERCY EMERGENCYNIGHT,43
9,EXT EAST SIDE STREETSNIGHT,77
10,EXT CHICKEN TAKEOUTNIGHT,111
11,EXT FIRST  ST MARKSNIGHT,43
12,EXT FIRST AVENIGHT,11
13,INT MERCY ERNIGHT,41
14,EXT MERCY EMERGENCYNIGHT,57
15,EXT LOWER EAST SIDENIGHT,65
16,EXT RIIS PROJECTSNIGHT,57
17,EXT HOUSTON  FIRSTNIGHT,119
18,EXT FIRST  THIRDNIGHT,25
19,INT  ZEBRA EMS VEHICLENIGHT,35
20,EXT MERCY EMERGENCYNIGHT,14
21,INT MERCY ERNIGHT,6
22,EXT MERCY EMERGENCYNIGHT,95
23,EXT TH STREETEARLY MORNING,9
24,INT FRANKS APARTMENTDAY,40
25,EXT EMS GARAGENIGHT,4
26,INT EMS GARAGE OFFICENIGHT,69
27,EXT SECOND AVENUENIGHT,75
28,EXT NINTH  AVENUE CNIGHT,9
29,INT CLUB BACKSTAGENIGHT,102
30,INT MERCY ERNIGHT,46
31,EXT FIRST AVENIGHT,20
32,EXT BURKE APT BUILDINGNIGHT,80
33,INT MERCY CRITICAL CARENIGHT,46
34,INT LOCKER ROOMNIGHT,144
35,EXT CANAL STREETNIGHT,112
36,INT RUNDOWN TENEMENTNIGHT,86
37,INT MERCY ERNIGHT,64
38,EXT CANAL STREETNIGHT,86
39,EXT MERCY EMERGENCYDAYBREAK,25
40,EXT STUYVESANT TOWNMORNING,55
41,INT ELEVATORDAY,25
42,INT SIXTEENTH FLOORMORNING,13
43,INT LOBBYMORNING,5
44,INT THE OASISMORNING,196
45,INT THE OASISDAY,30
46,INT STUYVESANT LOBBYDAY,6
47,EXT STUYVESANT TOWNDAY,32
48,INT MARYS APT BUILDINGDAY,26
49,INT MARYS APTNIGHT,24
50,INT EMS GARAGE OFFICENIGHT,22
51,EXT MERCY EMERGENCYNIGHT,16
52,INT MERCY ERNIGHT,65
53,EXT AVENUE ANIGHT,81
54,EXT AVENUE C AND THNIGHT,78
55,EXT EL TORO DE ORONIGHT,4
56,INT EL TORO DE ORONIGHT,23
57,EXT HOUSTONNIGHT,58
58,EXT STUYVESANT TOWNNIGHT,13
59,INT LOBBYNIGHT,26
60,INT THE OASISNIGHT,15
61,INT THIRTEENTH FLOORNIGHT,119
62,EXT MERCY EMERGENCYNIGHT,3
63,INT MERCY CRITICAL CARENIGHT,52
64,INT MERCY WAITING ROOMNIGHT,20
65,EXT MERCY EMERGENCYNIGHT,68
66,EXT FIRST AVENIGHT,175
67,INT ALLEYNIGHT,66
68,EXT MERCY EMERGENCYNIGHT,3
69,INT MERCY ERNIGHT,31
70,INT ROOM NIGHT,49
71,EXT MERCY EMERGENCYDAYBREAK,8
72,EXT MARYS APT BUILDINGDAY,9
73,INT FIRST FLOORDAY,28
