1, HARRY CAINES HOME INT NIGHT,65
2, FLASHBACK  LANZAROTE HOSPITAL INT DAY,79
3, HARRYS STREET EXT DAY PEDESTRIAN CROSSING,9
4, SIDEWALK ACROSS FROM HARRYS BUILDING EXT DAY,8
5, BAR ACROSS THE WAY INT DAY,46
6, MATEOHARRYS STREET EXT DAY PEDESTRIAN CROSSING,11
7, CONTINUED BUILDINGS ENTRANCE EXT DAY,10
8, LIVING ROOM MATEOS HOME INT DAY,52
9, CONTINUED HARRYS HOME INT DAY,7
10, CONTINUED HARRYS HOME INT DAY,30
11, CONTINUED HARRYS HOME INT DAY,41
12,STREET EXT DAY,18
13, HARRYS HOME INT DAY CONTINUED,116
14, NIGHT BAR WITH MUSIC INT BOOTH,30
15, JUDITS OFFICE INT NIGHT,43
16, THE BUILDINGS ENTRANCE EXT DAY ,5
17,  ERNESTO MARTELS OFFICE MODERN SKYSCRAPER INT DAY,30
18,INT DAY ,31
19, ERNESTO MARTELS OFFICE INT DAY ,35
20, SURROUNDINGS AND ENTRANCE PUERTA DE HIERRO HOSPITAL EXT,98
21, PERIPHERAL NEIGHBORHOOD EXT DAY ,12
22, LENAS PARENTS HOME INT DAY ,34
23, B NEIGHBORHOOD PROSPERIDAD VALLEGAS OR LA LATINA EXT,5
24,LATINA INT NIGHT ,9
25, MADAME MYLENES DEN  INT NIGHT,1
26, A LENAS HOME INT NIGHT,30
27, LENAS HOME INT NIGHT ,11
28, LIVING ROOM ERNESTO MS MANSION INT NIGHT,17
29, LENAS HOME INT NIGHT AND,1
30, MADAME MYLENES DEN INT NIGHT ,37
31, LENAS HOME INT DAY ,50
32, MADRID STREETS EXT DAY ,3
33, SURROUNDINGS AND ENTRANCE TO CLINICA DE LA LUZ EXT DAY,4
34, CLINICA DE LA LUZ HALLWAYS INT DAY ,41
35, HALLWAYS CLINICA DE LA LUZ INT DAY ,27
36, MATEOHARRYS HOME RETURN TO  INT DAY,50
37, HARRYS HOME  INT DAY,37
38, HARRYMATEO HOME DEN INT DAY ,42
39, HARRYS HOME VESTIBULE AND KITCHEN INT DAY ,263
40, ERNESTO MARTELS MANSION  INT NIGHT,30
41, ERNESTO SONS MANSION INT NIGHT ,1
42, A JUDITS PRODUCTION OFFICE INT NIGHT,45
43, JUDITS HOME JUDITS BEDROOM INT NIGHT ,60
44, IN A PUBLIC PARK AND ON THE STREET EXT DAY ,29
45, CONTINUED EXT DAY,38
46, HARRYS HOME INT DAY ,113
47, MODERN AND MODEST BAR WHERE DIEGO WORKS NIGHT INT ,67
48, ENRACE TO THE EMERGENCY ROOM OF A HOSPITAL EXT NIGHT ,74
49, HARRYS HOME HARRYS BEDROOM INT DAWN ,71
50, MATEOS OFFICE INT DAY ,101
51,SOMETHING LIKE IT EXT NIGHT ,21
52,DINE INT NIGHT ,103
53, IN THE MORNING HARRYS HOME SIGNIFICANT ELLIPSIS INT,10
