1,INT SUNNYVALE  DOCTORS OFFICE  NIGHT  ,24
2,INT BUSY HOSPITAL CORRIDOR  DAY  ,6
3,INT BUSY HOSPITAL  RECOVERY ROOM  SUPER  FOOTAGE  ,3
4,INT BUSY HOSPITAL  RECOVERY ROOM  DAY  ,3
5,EXT PLAYGROUND  DAY  ,3
6,EXT LENNYS HOUSE  DAY  ,8
7,EXT ANDREAS HOUSE  EARLY MORNING  ,70
8,EXT SCHOOL PARKING LOT  MORNING  ,19
9,INT ELEMENTARY SCHOOL  CLASSROOM  MOMENTS LATER,51
10,EXT SCHOOL PARKING LOT  LATER,3
11,INT ELEMENTARY SCHOOL  LATER,52
12,EXT SUNNYVALE INSTITUTION  DAY  ,2
13,INT SUNNYVALE  DR REDFIELDS OFFICE  CONTINUOUS,21
14,EXT SUNNYVALE INSTITUTION  NIGHT,12
15,INT SUNNYVALE INSTITUTION  NIGHT,26
16,INT LABORATORY  MOMENTS LATER,25
17,INT ANDREAS HOUSE  KITCHEN  MORNING,22
18,INT HOUSE  DAY,21
19,EXT MILLER HOUSE  MORNING,25
20,INT MILLERS HOUSE  DAY,40
21,INT MILLERS HOUSE  BASEMENT  DAY,29
22,INT SUNNYVALE INSTITUTION  DAY,48
23,INT ANDREAS CAR  COUNTRY ROAD  DAY,6
24,INT SUNNYVALE INSTITUTION  DAY,18
25,INT SUNNYVALE  VISITORS CHAMBER  CONTINUOUS,17
26,INT SUNNYVALE  VISITORS CHAMBER  DAY,31
27,EXT CEMETERY  DAY  ,13
28,EXT CEMETERY  DUSK,6
29,EXT MILLERS HOUSE  DAY  ,5
30,INT MILLERS HOUSE  BASEMENT,38
31,EXT HALPERNS FOREST  DAY,24
32,EXT MRS HALPERNS HOME  CONTINUOUS,27
33,EXT MRS HALPERNS HOME  CONTINUOUS,25
34,EXT HALPERNS FOREST  DAY,22
35,EXT LENNYS HOUSE  DRIVEWAY  DAY,33
36,INT DR REDFIELDS OFFCIE  DAY,93
37,EXT MULTIPLEX THEATER  PARKING LOT  DUSK,30
38,INT MULTIPLEX THEATER LOBBY  DUSK,9
39,INT ANDREAS HOUSE  KITCHEN  NIGHT,21
40,INT MULTIPLEX THEATER  NIGHT,13
41,INT LOBBY  CONTINUOUS,69
42,INT ANDREAS CAR  NIGHT,31
43,EXT ANDREAS HOUSE  MORNING,3
44,INT ANDREAS LIVING ROOM  CONTINUOUS,3
45,EXT LENNYS HOUSE  DAY,38
46,INT LENNYS BEDROOM  CONTINUOUS,4
47,EXT LENNYS WINDOW  CONTINUOUS,15
48,EXT JUNKYARD WOODS  DAY,16
49,EXT JUNKYARD  CONTINUOUS,33
50,EXT JUNKYARD  DAY,19
51,EXT LENNYS HOUSE  DAY,9
52,EXT ANDREAS HOUSE  DAY,19
53,INT COLLEGE CLASSROOM  DAY  ,29
54,EXT COLLEGE  QUAD  DAY,2
55,EXT COLLEGE  FRAT HOUSE  DAY,2
56,EXT COLLEGE  EVANS DORM  DAY,2
57,INT EVANS DORM  MOMENTS LATER,45
58,EXT DIRTY HANKS BAR  DAY,1
59,INT DIRTY HANKS BAR  CONTINUOUS,100
60,INT EVANS DORM  NIGHT,72
61,EXT JUNKYARD  DAY  ,45
62,INT EVANS DORM  NIGHT  ,18
63,INT EVANS CAR  SUNRISE,2
64,EXT LENNYS HOUSE  DAY,3
65,INT LENNYS ROOM  CONTINUOUS,68
66,INT EVANS DORM  NIGHT,21
67,INT EVANS DORM  NIGHT,20
68,EXT MRS HALPERNS HOME  DAY  ,57
69,INT EVANS DORM  NIGHT,14
70,INT DORM LOBBY  DAY,34
71,INT FANCY RESTAURANT  NIGHT,55
72,INT EVANS DORM  NIGHT,33
73,INT EVANS CAR  COUNTRYSIDE  DAY,5
74,EXT RIDGEWOOD DINER  EVENING,3
75,INT RIDGEWOOD DINER  CONTINUOUS,19
76,EXT RIDGEWOOD DINER  NIGHT,136
77,EXT COLLEGE CAMPUS  QUAD  DAY  ,4
78,INT EVANS DORM  NIGHT,41
79,EXT CEMETERY  DAY,10
80,EXT CEMETERY  DAY,8
81,INT EVANS DORM  NIGHT,18
82,INT MILLERS HOUSE  LIVING ROOM  DAY  ,12
83,INT MILLERS BASEMENT  DAY  ,110
84,INT SORORITY BEDROOM  MORNING  ,8
85,EXT ANDREAS HOUSE  DAY  ,2
86,INT FAMILY RESTAURANT  DAY  ,2
87,EXT PLAYGROUND  DAY  ,2
88,INT MULTIPLEX THEATER  NIGHT  ,2
89,EXT JUNKYARD  DAY  ,2
90,EXT ANDREAS HOUSE  STREET  ,2
91,EXT BUS STATION  DAY  ,3
92,EXT ANDREAS NEW HOUSE  DAY  ,5
93,EXT LAKE  DAY  ,2
94,EXT HIGH SCHOOL FOOTBALL FIELD  SUNRISE  ,3
95,INT SORORITY BEDROOM  MORNING  ,35
96,INT SORORITY BATHROOM  MORNING,25
97,EXT COLLEGE  QUAD  DAY  ,28
98,INT DORM LOBBY  DAY,33
99,INT COLLEGE CLASSROOM  DAY,58
100,INT SORORITY BEDROOM  NIGHT,43
101,EXT FRAT HOUSE  FRONT LAWN  DAY,19
102,INT FRAT HOUSE  ATTIC HALL  NIGHT,9
103,EXT FRAT HOUSE  ROOF  CONTINUOUS,37
104,EXT FRAT HOUSE  PARKING LOT  CONTINUOUS,29
105,INT FRAT HOUSE  EVANS BEDROOM  NIGHT,38
106,EXT COLLEGE QUAD  NIGHT,117
107,EXT MAVIS PENITENTIARY  DAY,4
108,INT MAVIS PENITENTIARY  DAY,9
109,INT EVANS CELL  DAY,24
110,INT PRISON CAFETERIA  EVENING,5
111,INT MAVIS VISITING CHAMBER  DAY,43
112,INT MAVIS PENITENTIARY  DAY,33
113,INT EVANS CELL  DAY,6
114,INT PRISON CORRIDOR  DAY,15
115,EXT PRISON YARD  DAY,27
116,INT EVANS CELL  LATER,33
117,INT FIRST GRADE CLASSROOM  DAY  ,31
118,INT EVANS PRISON CELL  DAY  ,22
119,INT KARLS CELL  CONTINUOUS,6
120,INT KARLS CELL  CONTINUOUS,54
121,EXT JUNKYARD WOODS  DAY  ,49
122,EXT JUNKYARD  LATER,32
123,INT COLLEGE  EVANS DORM  NIGHT  ,8
124,INT SORORITY BEDROOM  DAY,3
125,EXT FRAT HOUSE  NIGHT  ,3
126,INT PENITENTIARY  DAY  ,2
127,INT COLLEGE  EVANS DORM  DAY  ,2
128,INT SUNNYVALE  PADDED ROOM  DAY  ,4
129,INT EVANS DORM  DAY  ,7
130,INT SUNNYVALE LABORATORY  DAY,4
131,INT DR REDFIELDS OFFICE  DAY,63
132,INT SUNNYVALE CORRIDOR  CONTINUOUS,9
133,INT SUNNYVALE  LENNYS ROOM  CONTINUOUS,36
134,INT EVANS DORM  DAY,4
135,EXT COLLEGE QUAD  DAY,17
136,INT SUNNYVALE VISITORS CHAMBER  DAY  ,44
137,EXT COLLEGE QUAD  DAY  ,4
138,INT RIDGEWOOD DINER  EARLY EVENING,24
139,EXT MILLER HOUSE  EVENING,26
140,EXT SEEDY HOTEL  NIGHT,2
141,INT SEEDY HOTEL  CONTINUOUS,17
142,INT KAYLEIGHS SEEDY HOTEL ROOM  CONTINUOUS,70
143,INT DINER  NIGHT,86
144,INT EVANS DORM  DAY,29
145,EXT MRS HALPERNS HOUSE  DAY  ,34
146,INT EVANS DORM  DAY  ,24
147,INT MULTIPLEX THEATER LOBBY  DAY  ,3
148,INT ANDREAS HOUSE  KITCHEN  DAY  ,3
149,EXT CHURCH  DAY  ,2
150,INT EVANS DORM  DAY  ,5
151,EXT LAKE  DAY  ,3
152,INT HIGH SCHOOL  DAY  ,3
153,EXT WOODS  NIGHT  ,4
154,INT DORM HALLWAY  DAY  ,32
155,EXT COLLEGE QUAD  DAY,132
156,INT HANDICAPPED BATHROOM  DAY,29
157,INT ST VINCENTS HOSPITAL  EVENING,6
158,INT ANDREAS ROOM  CONTINUOUS,66
159,INT EVANS DORM  NIGHT,40
160,INT ANDREAS HOUSE  KITCHEN  MORNING  ,25
161,INT EVANS DORM  NIGHT  ,9
162,INT MILLERS BASEMENT  DAY  ,66
163,EXT MILLERS HOUSE  DAY  ,4
164,INT SUNNYVALE  EVANS ROOM  DAY  ,5
165,INT FAMILY COURTROOM  DAY  ,2
166,INT SUNNYVALE INSTITUTION  DAY  ,2
167,INT DR REDFIELDS OFFICE  DAY  ,4
168,INT EVANS ROOM  SUNNYVALE  DAY  ,12
169,INT DR REDFIELDS OFFCIE  DAY,35
170,INT SUNNYVALE LABORATORY  DAY,2
171,INT EVANS ROOM  NIGHT,4
172,INT DR REDFIELDS OFFICE  DAY,25
173,INT DR REDFIELDS CORRIDOR  NIGHT,6
174,INT DR REDFIELDS OFFICE  NIGHT,7
175,INT DR REDFIELDS CORRIDOR  CONTINUOUS,3
176,INT DR REDFIELDS OFFICE  CONTINUOUS,14
177,INT DR REDFIELDS CORRIDOR  CONTINUOUS,5
178,INT DR REDFIELDS OFFICE  CONTINUOUS,12
179,EXT LENNYS BACKYARD  DAY  ,36
180,INT EVANS DORM  DAY  ,16
181,INT COLLEGE  INCINERATOR ROOM  LATER,11
