1,INT JESSICAS HOUSE  MORNING,103
2,EXT KIDNAPPERS SAFEHOUSE  DAY,11
3,INT DARKENED ATTIC  KIDNAPPERS SAFEHOUSE,42
4,EXT SANTA MONICA PIER  MORNING  ESTABLISHING,8
5,INT SANTA MONICA PIER  ARCADE  MORNING,196
6,EXT VENICE  DAY,48
7,EXT HIGHWAY OVERPASS  MOMENTS LATER,17
8,INT KIDNAPPERS ATTIC,16
9,INT FORD BRONCO  CONTINUOUS,47
10,EXT SURFACE STREETS  DAY,9
11,INT ATTIC,36
12,INT TELEMARKET BULLPEN  DAY,131
13,INT TH PRECINCT  STATION DESK  DAY,122
14,EXT TH PRECINCT  CONTINUOUS,9
15,INT TH PRECINCT  CONTINUOUS,51
16,INT KIDNAPPERS ATTIC,40
17,INT KIDNAPPERS ATTIC,24
18,INT KIDNAPPERS ATTIC,46
19,INT KIDNAPPERS ATTIC,112
20,EXT TH PRECINCT  MOMENTS LATER,5
21,INT KIDNAPPERS SAFEHOUSE  GROUND FLOOR  LIVING ROOM,34
22,EXT CITY STREETS  DAY,48
23,EXT ROAD CONSTRUCTION  CONTINUOUS,26
24,EXT THE WYMAN SCHOOL  DAY,296
25,INT RENTACOP CAR  RACING DOWN A RESIDENTIAL STREET,25
26,INT THE KIDNAPPERS ESCALADE,31
27,EXT RENTACOP CAR,85
28,INT CAR DEALERSHIP,8
29,INT THE KIDNAPPERS ESCALADE,17
30,EXT CAR DEALERSHIP,37
31,INT TH PRECINCT  LOCKER ROOM  DAY,64
32,INT RENTACOP CAR  CHUGGING THROUGH WEST LA,85
33,EXT VERIZON MALL HILL  CONTINUOUS,143
34,EXT POLICE STATION  PARKING BAY,27
35,INT JESSICAS LIVING ROOM  DAY,19
36,INT RENTACOP CAR  RACING OFF THROUGH THE CITY,126
37,INT ATTIC,6
38,EXT THE YARD BELOW,15
39,INT ATTIC,14
40,INT THE RENTACOP CAR,9
41,INT ATTIC  EXT SAFEHOUSE,20
42,INT RENTACOP CAR,9
43,INT ATTIC  EXT SAFEHOUSE,23
44,INT RENTACOP CAR,6
45,INT ATTIC  CONTINUOUS,10
46,EXT SAFEHOUSE  DAY,9
47,INT ATTIC  CONTINUOUS,67
48,INT ATTIC  CONTINUOUS,11
49,INT RENT A COP CAR  CONTINUOUS,5
50,INT ATTIC  CONTINUOUS,7
51,INT RENT A COP CAR,10
52,INT KIDNAPPERS SAFEHOUSE  HALLWAY OUTSIDE ATTIC,17
53,INT ATTIC,14
54,INT RENTACOP CAR  IDLING AT THE CURB,74
55,EXT BRENTWOOD,47
56,INT A ROOM  DAY,51
57,INT RENTACOP CAR  BURNING DOWN SEPULVEDA BOULEVARD,134
58,INT CADILLAC XLR CONVERTIBLE,9
59,INT EXT RENTACOP CAR  BURNING DOWN SEPULVEDA BLVD,72
60,INT CADILLAC XLR,14
61,EXT AIRPORT TERMINAL  ESTABLISHING,5
62,INT CADILLAC XLR  AIRPORT,29
63,INT LAX AIRPORT  CONTINUOUS,11
64,INT SECURITY CHECKPOINT  LAX,52
65,INT LAX AIRPORT  METAL DETECTORS  CONTINUOUS,8
66,INT CONCOURSE  LAX,102
67,INT LAX AIRPORT  CONCOURSE  DAY,41
68,INT LAX RESTROOM,40
69,INT LAX AIRPORT  CONCOURSE  CONTINUOUS,23
