1,INT BEDROOM  NIGHT,11
2,INT HALLWAY  NIGHT,2
3,INT LIVING ROOM,4
4,INT BATHROOM,14
5,INT LIVING ROOM,2
6,EXT PORCH  NIGHT,4
7,INT LIVING ROOM,141
8,INT KITCHEN  NIGHT,8
9,INT LIVING ROOM  NIGHT,79
10,INT BATHROOM,2
11,INT HALLWAY,4
12,INT EVES ROOM,25
13,INT LIVING ROOM  NIGHT,176
14,INT BATHROOM,4
15,INT LIVING ROOM  DAY,128
16,INT KITCHEN,2
17,INT LIVING ROOM,96
18,INT EVES ROOM,2
19,INT LIVING ROOM,105
20,INT BATHROOM,5
21,INT BEDROOM,2
22,INT BATHROOM,7
23,INT EVES ROOM,4
24,INT BATHROOM,10
25,INT HALLWAY  NIGHT,7
26,INT LIVING ROOM  NIGHT,41
27,INT BEDROOM,4
28,INT LIVING ROOM,148
29,INT KITCHEN,5
30,INT HALLWAY,13
31,INT BATHROOM,22
32,INT HALLWAY,4
33,INT BEDROOM,7
34,INT KITCHEN,6
35,INT BEDROOM,103
36,INT LIVING ROOM,21
37,INT BATHROOM,6
38,INT BASEMENT,16
39,INT HOSPITAL,48
40,INT HALLWAY  DAY,2
41,INT LIVING ROOM,75
42,INT BATHROOM,4
43,INT KITCHEN,2
44,INT LIVING ROOM,54
45,INT BATHROOM,2
46,INT LIVING ROOM,2
47,INT KITCHEN,3
48,INT LIVING ROOM,2
49,INT BATHROOM,24
50,INT HALLWAY,2
51,INT LIVING ROOM,155
52,INT HALLWAY,4
53,INT BEDROOM,12
54,INT EVES ROOM,97
55,INT LIVING ROOM,21
56,INT HALLWAY,12
57,INT KITCHEN,4
58,INT HALLWAY,4
59,INT LIVING ROOM,29
60,INT HALLWAY,20
61,INT BEDROOM,25
62,INT EVES ROOM,83
63,INT LIVING ROOM,39
64,INT BATHROOM,10
65,INT LIVING ROOM,74
66,INT BATHROOM,4
67,INT HALLWAY,12
68,INT HALLWAY,2
69,INT BATHROOM,2
70,INT BASEMENT,11
71,INT LIVING ROOM  NIGHT,149
72,INT BATHROOM,15
73,INT KITCHEN,4
74,INT BATHROOM,5
75,INT HALLWAY,3
76,INT EVES ROOM,24
77,INT HALLWAY,9
78,INT KITCHEN,9
79,INT BATHROOM,23
80,INT HALLWAY,34
81,EXT PORCH  NIGHT,55
82,INT LIVING ROOM,88
83,INT BATHROOM,6
84,INT LIVING ROOM,37
85,INT EVES ROOM,25
86,INT LIVING ROOM,5
87,INT KITCHEN,127
88,INT LIVING ROOM,61
89,EXT PORCH  NIGHT,44
90,INT LIVING ROOM  NIGHT,54
91,INT BEDROOM,9
92,INT BATHROOM,3
93,INT BEDROOM,6
94,INT BATHROOM,5
95,INT BEDROOM,54
96,INT KITCHEN,2
97,INT BATHROOM,11
98,INT LIVING ROOM,4
99,INT BATHROOM,15
100,INT KITCHEN,8
101,INT EVES ROOM,26
102,INT KITCHEN,35
103,INT BATHROOM,33
104,INT HALLWAY,3
105,INT KITCHEN,5
106,INT HALLWAY,3
107,INT BATHROOM,22
108,INT HALLWAY,7
109,INT BATHROOM,6
110,INT HALLWAY  DAY,2
111,INT LIVING ROOM,295
112,INT BATHROOM,5
113,INT LIVING ROOM,61
114,INT HALLWAY,3
115,INT KITCHEN,4
116,INT HALLWAY,9
117,INT BASEMENT,39
118,INT BATHROOM,18
119,INT HALLWAY,22
