1,INT DETMER RESIDENCE  ANDREWS ROOM,48
2,INT DETMER RESIDENCE  SANDRA DETMERS ROOM,23
3,EXT CLARK STREET  MORNING,63
4,EXT BENJAMIN FRANKLIN HIGH  PARKING LOT,13
5,INT BENJAMIN FRANKLIN HIGH  HALLWAY,53
6,EXT BENJAMIN FRANKLIN HIGH  FOOTBALL FIELD,41
7,INT MATTS CAR,47
8,EXT DETMER RESIDENCE,24
9,INT DETMER RESIDENCE  ANDREWS ROOM,19
10,EXT HAVEN HILLS FARM  NIGHT,14
11,EXT HAVEN HILLS FARM  BARN,80
12,EXT HAVEN HILLS FARM  EDGE OF THE WOODS,47
13,EXT HAVEN HILLS FARM  FIELD,155
14,INT THE HOLE,140
15,EXT MATTS BACKYARD  AFTERNOON,70
16,INT MATTS KITCHEN,30
17,INT MATTS ROOM  LATER,52
18,INT STEVES CAR  NIGHT,86
19,INT DETMER RESIDENCE  ANDREWS ROOM,4
20,EXT BENJAMIN FRANKLIN HIGH  FOOTBALL FIELD  BLEACHERS,39
21,INT STEVES CAR,11
22,EXT WALMART,6
23,INT WALMART,44
24,EXT FIELD  SUNSET,39
25,INT MATTS CAR  AFTERNOON  WALMART PARKING LOT,48
26,EXT WALMART  PARKING LOT  SHORTLY THEREAFTER,43
27,INT MATTS CAR  MOMENTS LATER,46
28,EXT THE BRIDGE,36
29,INT MATTS CAR  MOMENTS LATER,7
30,EXT RIVER SIDE ROAD,34
31,EXT STADIUM PARKING LOT  NIGHT,48
32,INT DETMER RESIDENCE  ANDREWS ROOM,22
33,INT MATTS CAR  STEVES STREET,30
34,EXT STEVES HOUSE  MORNING,50
35,EXT SKY,123
36,EXT STEVES HOUSE  POOL  NIGHT,40
37,INT STEVES HOUSE  LIVING ROOM  LATER,51
38,EXT HAVEN HILLS FARM  THE CLEARING  MORNING,21
39,INT DINER  MORNING,85
40,EXT ROAD  LATER,26
41,EXT PORTLAND  THE ROOF OF THE KOIN CENTER  SUNSET,53
42,INT DETMER RESIDENCE  SANDRA DETMERS ROOM,42
43,INT BENJAMIN FRANKLIN HIGH  AUDITORIUM,54
44,INT MATTS CAR  NIGHT,37
45,EXT HOUSE PARTY,92
46,EXT HOUSE PARTY  PORCH,49
47,INT DETMER RESIDENCE  ANDREWS ROOM  MORNING,16
48,INT DETMER RESIDENCE  LIVING ROOM,66
49,EXT THE THUNDERSTORM,83
50,EXT CEMETARY  DAY,98
51,INT DETMER RESIDENCE  ANDREWS ROOM,22
52,EXT BENJAMIN FRANKLIN HIGH  FOOTBALL FIELD,5
53,INT BENJAMIN FRANKLIN HIGH  HALLWAY,13
54,INT BENJAMIN FRANKLIN HIGH  BATHROOM STALL,13
55,INT BENJAMIN FRANKLIN HIGH  GUIDANCE COUNSELORS OFFICE,48
56,INT DETMER RESIDENCE  ANDREWS ROOM,9
57,INT DETMER RESIDENCE  MS DETMERS ROOM,19
58,EXT JUNKYARD  NIGHT,62
59,INT CASEYS HOUSE  BATHROOM,7
60,INT CASEYS HOUSE  KITCHEN  MORNING,73
61,INT CASEYS HOUSE  CASEYS BEDROOM,10
62,EXT CASEYS HOUSE  BACKYARD,28
63,INT CASEYS HOUSE  CASEYS BEDROOM  NIGHT,52
64,EXT CEMETARY  DAY,4
65,INT DETMER RESIDENCE  ANDREWS ROOM  NIGHT,74
66,INT PHARMACY,21
67,INT DETMER RESIDENCE  ANDREWS ROOM  LATER,21
68,EXT RUNDOWN HOUSE  SUNSET,61
69,EXT RADIOTOWER   FEET UP  TWILIGHT,10
70,EXT GAS STATION,10
71,INT GAS STATION,10
72,EXT GAS STATION,27
73,INT HOSPITAL ROOM,90
74,INT CASEYS HOUSE  LIVING ROOM,86
75,EXT CASEYS HOUSE  MOMENTS LATER,28
76,INT CASEYS CAR  MOMENTS LATER,108
77,EXT DOWNTOWN PORTLAND,301
