1,EXT ST CLOUDS  TRAIN STATION  DAWN,21
2,EXT ST CLOUDS  ORPHANAGE  EARLY MORNING,15
3,INT ORPHANAGE  MORNING,12
4,INT LARCHS OFFICE  DAY,24
5,INTEXT ORPHANAGE  DAY,3
6,INTEXT ORPHANAGE  NIGHT,4
7,INT BOYS DIVISION DOORWAY  NIGHT,23
8,EXT ORPHANAGE  DAY,7
9,INT COUPLE S HOME  DAY,7
10,EXT HILL ST CLOUDS  DAY,7
11,INT DELIVERY ROOM  DAY,10
12,EXT COUPLE S HOME  DAY,8
13,INT STEPSISTERS BEDROOM  NIGHT,8
14,EXT COUPLE S HOME  NIGHT,4
15,EXT ORPHANAGE  EARLY MORNING,18
16,INT LARCHS OFFICE  DAY,7
17,INT DELIVERY ROOM  DAY,10
18,INT OPERATING ROOM  DAY,3
19,INT DELIVERY ROOM  DAY,2
20,EXT INCINERATOR  DAY,12
21,INT DISPENSARY  DAY,16
22,INT CORRIDOR  DAY,4
23,INT DISPENSARY  DAY,6
24,INT CORRIDOR  DAY,32
25,INT OPERATING ROOM  DAY,34
26,INT DELIVERY ROOM  DAY,32
27,INT OPERATING ROOM  DAY,66
28,INT DINING HALL  AFTERNOON,11
29,EXT INCINERATOR  AFTERNOON,31
30,INT DISPENSARY  NIGHT,65
31,INT GIRLS DIVISION  NIGHT,6
32,EXT ST CLOUDS  THE HILL  NIGHT,9
33,INT GIRLS DIVISION  NIGHT,8
34,INT BOYS DIVISION  NIGHT,42
35,EXT ST CLOUDS  EARLY MORNING,37
36,INT DINING HALL  MORNING,7
37,INT BABY ROOM  MORNING,52
38,INT GIRLS DIVISION  DAY,39
39,INT LARCHS OFFICE  DAY,11
40,INT WINDOW CORRIDOR  DAY,33
41,INTEXT ORPHANAGE  DAY,3
42,INT GIRLS DIVISION  NIGHT,8
43,INTEXT ORPHANAGE  FRONT DOOR  DAY,3
44,INT DISPENSARY  MORNING,21
45,INT HOSPITAL ROOM  NIGHT,25
46,EXT ST CLOUDS  TRAIN STATION  DAY,72
47,INT DINING HALL  NIGHT,77
48,INT BOYS DIVISION  NIGHT LATER,79
49,EXT ST CLOUDS  NIGHT,2
50,EXT ST CLOUDS  MORNING,12
51,INT OPERATING ROOM  MORNING,92
52,INT CORRIDOR  MORNING,3
53,EXT ST CLOUDS  GRAVEYARD  EARLY MORNING,33
54,EXTINT ST CLOUDS ROAD  TRUCK CAB  DAY,43
55,EXT ORPHANAGE DRIVEWAY  DAY,70
56,INT LARCHS OFFICE  DAY,45
57,INT CORRIDOR  DAY,80
58,INT BOYS DIVISION  DAY,35
59,EXT ORPHANAGE DRIVEWAY  DAY,25
60,INT STAIRWAYCORRIDOR  DAY,5
61,INT LARCHS OFFICE  DAY,50
62,INT KITCHEN  LATE AFTERNOON,39
63,INT BOYS DIVISION  AFTERNOON,17
64,EXT DRIVEWAY  AFTERNOON,38
65,INTEXT WALLYS CAR  ON THE ROAD  AFTERNOON,5
66,INT BOYS DIVISION  NIGHT,4
