1,EXT SCHOOL YARD  DAY,164
2,EXT THE SHAN HOUSE  DAY,6
3,INT DARRENS ROOM  DAY,78
4,INT KITCHEN  SHAN HOUSE  DAY,55
5,INT HALLWAY  SHAN HOUSE  DAY,37
6,INT KITCHEN  SHAN HOUSE  NIGHT,47
7,EXT DARRENS ROOM  NIGHT,6
8,EXT TRELLIS  SHAN HOUSE  NIGHT,6
9,EXT UNION STREET  NIGHT,21
10,INT ZEITERION LOBBY  NIGHT,297
11,INT ZEITERION THEATER  BACKSTAGE  NIGHT,167
12,EXT STREETS  DARRENS NEIGHBORHOOD  NIGHT,15
13,EXT THE SHAN HOUSE  NIGHT,11
14,INT DARRENS BEDROOM  NIGHT,69
15,INT CLOSET  DARRENS BEDROOM  NIGHT,3
16,INT KITCHEN  SHAN HOUSE  MORNING,38
17,INT KITCHEN  SHAN HOUSE  DAY,22
18,INT DARRENS ROOM  DAY,133
19,INT EMERGENCY ROOM  DAY,61
20,INT DARRENS ROOM  NIGHT,4
21,EXT SHAN HOUSE  NIGHT,3
22,EXT ZEITERION THEATER  NIGHT,5
23,INT UNDERSTAGE STORAGE AREA  ZEITERION  NIGHT,5
24,INT BACKSTAGE AREA  NIGHT,173
25,EXT ZEITERION THEATER  NIGHT,22
26,INT HOSPITAL  STEVES ROOM  NIGHT,53
27,EXT HOSPITAL DOORS  NIGHT,3
28,INT DARRENS ROOM  MORNING,22
29,EXT THE SHAN HOUSE  DAY,16
30,INT HALLWAY  SCHOOL  DAY,79
31,EXT STREETS  DARRENS NEIGHBORHOOD  DAY,38
32,INT KITCHEN  SHAN HOUSE  NIGHT,32
33,INT BATHROOM  SHAN HOUSE  NIGHT,13
34,INT ZEITERION THEATER  STAGE  NIGHT,44
35,EXT LIVING ROOM  SHAN HOUSE  NIGHT,22
36,INT ANNIES ROOM  NIGHT,8
37,INT DARRENS ROOM  NIGHT,64
38,EXT SHAN HOUSE  NIGHT,30
39,INT MORGUE  NIGHT,19
40,INT FUNERAL HOME  EARLY EVENING,21
41,EXT FUNERAL HOME  NIGHT,21
42,EXT CEMETERY  DAY,13
43,EXT CEMETERY  NIGHT,111
44,EXT RURAL OHIO MOTEL  SUNRISE,3
45,INT MOTEL ROOM  SUNRISE,39
46,EXT MOTEL COURTYARD  AFTERNOON,8
47,INT COUCH  MOTEL ROOM  SUNSET,7
48,EXT SHOPPING MALL PARKING LOT  NIGHT,79
49,EXT PARKING LOT  NIGHT,94
50,INT HAMBURGER JOINT  NIGHT,83
51,INT HAMBURGER JOINT  NIGHT IN THE FLITTING WORLD,16
52,INT HAMBURGER JOINT  NIGHT REAL WORLD,4
53,INT HAMBURGER JOINT  NIGHT IN THE FLITTING WORLD,15
54,INT HAMBURGER JOINT  NIGHT REAL WORLD,7
55,EXT HAMBURGER JOINT  PARKING LOT  NIGHT FLITTING WORLD,30
56,EXT STREET  NIGHT IN THE FLITTING WORLD,22
57,EXT INTERSECTION  NIGHT REAL WORLD,21
58,EXT STATE HIGHWAY  DAWN,4
59,EXT HUNTING CABIN  WOODS  DAWN,6
60,INT ROOT CELLAR  DAWN,6
61,INT HUNTING CABIN  DAWN,86
62,EXT MR TALLS AIRSTREAM TRAILER  NIGHT,64
63,EXT CIRQUE CAMP  NIGHT,50
64,INT FACTORY SPACE  NIGHT,60
65,INT THE STAGE  NIGHT,38
66,INT THE STAGE  NIGHT,22
67,EXT THE MOON  NIGHT,20
68,EXT AN OLD VAN  NIGHT,28
69,EXT FACTORY  NIGHT,185
70,EXT FIELD  NOT FAR OFF  NIGHT,101
71,EXT THE SUN  DAY,25
72,INT FACTORY FLOOR  DAY,6
73,INT UPPER FLOOR  FACTORY  DAY,95
74,EXT FACTORY ROOF  DAY,124
75,EXT FACTORY  SUNSET,3
76,INT FACTORY PASSAGE  NIGHT,10
77,INT BOILER ROOM  FACTORY  NIGHT,9
78,EXT CIRQUE CAMP  NIGHT,74
79,INT FACTORY SPACE  NIGHT,217
80,INT FACTORY  NIGHT FLIT WORLD,8
81,INT BOILER ROOM  NIGHT,66
82,INT APPROACH PASSAGE  FACTORY  NIGHT,27
83,INT BOILER ROOM  FACTORY  NIGHT,68
84,EXT ASPHALT  NIGHT,4
85,INT FACTORY  NIGHT,60
86,INT UPPER FLOOR  FACTORY  NIGHT,228
87,EXT FACTORY  NIGHT,5
