1,EXT BIHAR  DAY DAWN SUMMER MID,20
2,EXT ROADSIDE  BUS STOP  DAY DAWN,48
3,EXT ROADSIDEINT BUS  DAY,30
4,INT ASHRAM  ANOTHER FLOWER  DAY,26
5,INT SPARTAN ROOM  TRUMPET  DAY,67
6,EXT COUNTRY AIRPORT ASSAM  WINDING ROAD  DAY,5
7,INT AIRPORT  WAITING ROOM,29
8,EXT AIRPORT  LOW ANGLE  DAY,20
9,INT  FOURSEATER  DAY,37
10,EXT HOWRAH STATION CALCUTTA  DAY EARLY MORNING,75
11,EXT CHOWRINGHEE LANE  DAY MIDDAY SUN,61
12,EXT SMALL BUILDING IN BACK STREET  DAY,10
13,INT SMALL ROOM  DAY,65
14,INT CHATTERGEE STAIRCASE  DAY,3
15,INT GUEST ROOM  DAY,23
16,INT MAIN ROOM  DAY,17
17,INT BATHING AREA,54
18,EXT SMALL STREET  DAY,7
19,EXT VICTORIA MONUMENT  STREET  NIGHT DUSK,8
20,INT CHATTERGEES LIBRARY  TORSO  NIGHT,22
21,EXT KITCHEN  WINDOW  NIGHT,4
22,EXT RIVER BANK  HOWRAH BRIDGE  DAY,19
23,EXT DOCKS  DAY,19
24,EXT BARA BAZAR  DAY,4
25,INT MENS SHOP  MOVING MIRROR,20
26,EXT MENS SHOP  DAY,32
27,EXT JUTE MILL DAY  LATE AFTERNOON SUN,4
28,INT JUTE MILL  DAY,30
29,INT CHATTERGEE RECEPTION ROOM  DAY LATE AFTERNOON,45
30,EXT CHATTERGEE HOME  DAY,10
31,EXT GREEN ACRES COURTYARD  COW  DAY LATE AFTERNOON,9
32,INT HOTEL ROOM  DAY,49
33,EXT RIVERBANK  HOWRAH BRIDGE  DAY EARLY EVENING,68
34,EXT BRIDGE  NIGHT,29
35,EXT GREEN ACRES  NIGHT,3
36,INT MAXS ROOM,3
37,EXT SETTLEMENT  CLOSE ON BULLDOZER  DAWN,64
38,EXT CHURCH  CLOSE ON BILLBOARD  DAY,17
39,EXT SIDE OF RESTAURANT,17
40,INT BLOOD DISPENSARY  CLOSE ON HASARIS ARM  DAY,22
41,EXT DISPENSARY  DAY,25
42,INT MAXS ROOM  NIGHT,61
43,INT MAXS ROOM  NIGHT HALF HOUR LATER,60
