1,EXT COLD MOUNTAIN TOWN NORTH CAROLINA DAY,47
2,EXT COLD MOUNTAIN TOWN NIGHT,36
3,EXT CONFEDERATE LINES PREDAWN,18
4,INT TUNNEL PREDAWN,3
5,EXT CONFEDERATE LINES PREDAWN,11
6,INT TUNNEL PREDAWN,5
7,EXT CONFEDERATE LINES PREDAWN,9
8,INT TUNNEL PREDAWN,4
9,EXT CONFEDERATE LINES DAWN,6
10,INT TUNNEL DAWN,2
11,EXT CONFEDERATE LINES DAWN,68
12,EXT CONFEDERATE LINES DUSK,39
13,INT FIELD HOSPITAL NIGHT,7
14,EXT CONFEDERATE LINES NIGHT,5
15,INT FIELD HOSPITAL NIGHT,32
16,INT CONFEDERATE TENT NIGHT,32
17,EXT CONFEDERATE LINES NIGHT,34
18,EXT CHAPEL COLD MOUNTAIN TOWN  YEARS EARLIER DAY,134
19,EXT CONFEDERATE LINES NIGHT,6
20,EXT SWANGER FARM COLD MOUNTAIN DAY,35
21,EXT BOTTOM FIELD SWANGER FARM DAY,8
22,EXT BLACK COVE FARM NIGHT,9
23,INT PARLOUR BLACK COVE FARM NIGHT,27
24,EXT BLACK COVE FARM NIGHT,44
25,EXT BLACK COVE FARM DAY,25
26,EXT BLACK COVE FARM DAY,28
27,INT PARLOUR BLACK COVE FARM DAY,10
28,INT CHAPEL COLD MOUNTAIN TOWN MAY TH  DAY,13
29,EXT CHAPEL COLD MOUNTAIN TOWN DAY,41
30,INT CHAPEL COLD MOUNTAIN TOWN DAY,12
31,EXT COLD MOUNTAIN TOWN DAY,14
32,INT BEDROOM ROOMING HOUSE COLD MOUNTAIN TOWN DAY,6
33,INT HALLWAY ROOMING HOUSE COLD MOUNTAIN TOWN DAY,30
34,EXT COLD MOUNTAIN TOWN DAY,10
35,EXT BEHIND CONFEDERATE LINES VIRGINIA DAY,7
36,INT BOX CAR DAY,29
37,EXT CHAPEL COLD MOUNTAIN TOWN DAY,28
38,EXT APPROACH TO BLACK COVE FARM DAY,74
39,INT HOSPITAL CHARLESTON DAY,46
40,EXT BLACK COVE FARM LATE AFTERNOON,34
41,INT PARLOUR BLACK COVE FARM DUSK,27
42,INT HOSPITAL CHARLESTON NIGHT,12
43,INT BLACK COVE FARM NIGHT,6
44,INT HOSPITAL CHARLESTON NIGHT,19
45,EXT COLD MOUNTAIN TOWN DAY,17
46,INT GENERAL STORE COLD MOUNTAIN TOWN DAY,32
47,EXT GENERAL STORE COLD MOUNTAIN TOWN DAY,3
48,EXT APPROACH TO BLACK COVE FARM  DAY,90
49,INT BLACK COVE FARM NIGHT,6
50,EXT BLACK COVE FARM NIGHT,5
51,INT BLACK COVE FARM NIGHT,3
52,INT BLACK COVE FARM NIGHT,7
53,EXT THE OCEAN BY THE HOSPITAL CHARLESTON DAY,28
54,EXT HOSPITAL CHARLESTON DUSK,3
55,EXT CHAPEL COLD MOUNTAIN TOWN DAY,10
56,EXT BLACK COVE FARM SPRING DAY,30
57,INT ADAS BEDROOM BLACK COVE FARM DAY,6
58,INT MONROES BEDROOM BLACK COVE FARM DAY,8
59,EXT GATES OF HOSPITAL CHARLESTON DAY,49
60,EXT TREE PROMENADE CHARLESTON DAY,4
61,INT COURTHOUSE CHARLESTON DAY,9
