1,EXT AIRFIELD  DAY,11
2,INT HANGAR  DAY,24
3,EXT FILM STUDIO  DAY,4
4,INT FILM STUDIO  DAY,16
5,INT FILM STUDIO CAMERA ROOM  DAY,23
6,EXT BALLARD APT BALCONY  NIGHT,34
7,INT DEPARTMENT STORE LINGERIE DEPARTMENT  DAY,18
8,INT UNDERGROUND PARKINGLOT  DAY,7
9,INT FILM STUDIO JAMESS OFFICE  NIGHT,17
10,EXT FILM STUDIO PARKINGLOT  NIGHT,6
11,EXT RAINSWEPT ROAD  NIGHT,5
12,INT JAMESS CAR  NIGHT,2
13,EXT RAINSWEPT ROAD  NIGHT,5
14,INT JAMESS CAR  NIGHT,32
15,EXT RAINSWEPT ROAD  NIGHT,8
16,INT JAMESS CAR  NIGHT,8
17,INT HOSPITAL  DAY,132
18,INT HOSPITAL HALLWAYS  NIGHT,62
19,INT HOSPITAL  DAY,35
20,EXT ROAD HOME FROM HOSPITAL  DAY,7
21,EXT BALLARD APT BALCONY  DAY,45
22,INT BALLARD APT GARAGE  DAY,10
23,INT RENTED CAR  DAY,6
24,EXT FIRST CRASH SITE  DAY,3
25,INT RENTED CAR  DAY,27
26,EXT FIRST CRASH SITE  DAY,16
27,INT RENTED CAR  DAY,15
28,EXT AIRFIELD HANGAR  DAY,22
29,EXT POLICE POUND  DAY,4
30,INT POLICE POUND  DAY,88
31,INT JAMESS CAR  DAY,61
32,EXT FIRST CRASH SITE  DAY,6
33,INT JAMESS CAR  DAY,12
34,INT AIRPORT CARPARK  DAY,49
35,INT BALLARD APT  NIGHT,6
36,INT FILM STUDIO JAMESS OFFICE  DAY,46
37,EXT COUNTRY ROAD  NIGHT,26
38,EXT COUNTRY ROAD GRANDSTAND  NIGHT,41
39,EXT COUNTRY ROAD  NIGHT,96
40,EXT COUNTRY ROAD GRANDSTAND  NIGHT,24
41,EXT COUNTRY ROAD  NIGHT,11
42,EXT COUNTRY ROAD GRANDSTAND  NIGHT,7
43,EXT COUNTRY ROAD  NIGHT,28
44,EXT WOODS  NIGHT,13
45,INT VAUGHANS LINCOLN  NIGHT,14
46,EXT SEAGRAVES GARAGE  NIGHT,9
47,INT SEAGRAVE APT  NIGHT,66
48,INT VAUGHANS WORKSHOP  NIGHT,67
49,INT FILM STUDIO JAMESS OFFICE  DAY,7
50,EXT VARIOUS LARGE CITY ROADS  DAY,42
51,INT BALLARD APT  NIGHT,43
52,INT HELENS CAR  DAY,10
53,EXT AIRPORT CARPARK  DAY,4
54,INT HELENS CAR  DAY,26
55,INT ROAD RESEARCH LAB  DAY,59
56,INT VAUGHANS CAR  NIGHT,84
57,INT AIRPORT CARPARK  DAY,22
58,EXT AIRPORT ROADS  NIGHT,4
59,INT LINCOLN  NIGHT,11
60,INT FILM STUDIO JAMESS OFFICE  DAY,20
61,EXT FILM STUDIO PARKINGLOT  DUSK,37
62,EXT JAMMED MOTORWAY  NIGHT,23
63,INT VAUGHANS CAR  NIGHT,37
64,EXT MOTORWAY VERGE  NIGHT,11
65,EXT JAMMED MOTORWAY  NIGHT,60
66,EXT MOTORWAY VERGE  NIGHT,20
67,INT VAUGHANS CAR  NIGHT,10
68,EXT CARWASH  NIGHT,9
69,INT VAUGHANS CAR  NIGHT,15
70,EXT CARWASH  NIGHT,7
71,INT VAUGHANS CAR  NIGHT,30
72,EXT DESERTED MOTORWAY  NIGHT,2
73,INT VAUGHANS CAR  NIGHT,8
74,EXT BALLARD APT BUILDING  NIGHT,10
75,INT BALLARD APT BUILDING ELEVATOR  NIGHT,2
76,INT BALLARD APT BEDROOM  NIGHT,9
77,INT AIRPORT CONVENTION CENTER AUTO SHOW  DAY,28
78,EXT AIRPORT CONVENTION CENTER PARKINGLOT  LATE DAY,48
79,INT FILM STUDIO  NIGHT,15
80,INT TATTOO PARLOR  NIGHT,8
81,EXT MALL TATTOO PARLOR  NIGHT,5
82,INT TATTOO PARLOR  NIGHT,40
83,INT VAUGHANS CAR  NIGHT,9
84,EXT UNDERPASS NEAR AUTOWRECKERS YARD  NIGHT,6
85,INT VAUGHANS CAR  NIGHT,7
86,EXT UNDERPASS NEAR AUTOWRECKERS YARD  NIGHT,7
87,EXT AUTOWRECKERS YARD  NIGHT,36
88,EXT BALLARD APT BALCONY  DAY,23
89,EXT BALLARD APT DRIVEWAY  DAY,24
90,EXT DESERTED MOTORWAY  LATE DAY,2
91,INT CATHERINES CAR  LATE DAY,10
92,EXT FAMILIAR STRETCHES OF ROAD  LATE DAY INTO NIGHT,4
93,EXT AIRPORT FILLING STATION  NIGHT,39
94,EXT AIRPORT ROADWAYS  NIGHT,43
95,EXT POLICE POUND  NIGHT,11
96,INT VAUGHANS CAR  NIGHT,4
97,EXT POLICE POUND  NIGHT,21
98,EXT POLICE POUND GATEHOUSE  NIGHT,20
99,EXT CROWDED RAINSTREAKED ROADWAY  SUNSET,9
100,INT VAUGHANS LINCOLN  SUNSET,12
101,EXT CROWDED RAINSTREAKED ROADWAY  SUNSET,9
102,INT CATHERINES SPORTS CAR  SUNSET,9
103,EXT UTILITY ROAD  SUNSET,18
104,INT VAUGHANS LINCOLN  SUNSET,6
