1,EXT CEMETERY  LATE AFTERNOON,95
2,EXT MAXIDOGS  TWILIGHT  RAIN CONTINUES,66
3,EXT CEMETERY  NIGHT RAIN,99
4,EXT ARCADE GAMES SUPPLY OFFICE  NIGHT  TO ESTABLISH,2
5,INT ARCADE GAMES SUPPLY OFFICE  NIGHT,55
6,EXT STREET  MOVING  NIGHT,2
7,INT TBIRD  TRAVELLING  NIGHT,14
8,EXT STREET CORNER NEAR MAXIDOGS  NIGHT,22
9,EXT MOUTH OF ALLEY ACROSS FROM CEMETERY  NIGHT,33
10,INT TBIRD  WOMANS STRUGGLE,46
11,EXT ALLEY BEHIND ARCADES GAMES SUPPLY HOUSE  ON ERIC  NIGHT,62
12,INT CLUB TRASH  NIGHT,40
13,INT LAOS NIGHTCLUB OFFICE  NIGHT,68
14,INT CORRIDOR  NIGHT CONTINUOUS,14
15,EXT FIRE ESCAPE  ANOTHER ALLEY  NIGHT,44
16,INT GIDEONS PAWN SHOP  NIGHT,66
17,EXT ROOFTOP  ON ERIC  NIGHT,72
18,EXT ROOFTOP  NIGHT,6
19,INT ABANDONED STAIRWELL  NIGHT,48
20,EXT THE PIT  NIGHT,22
21,INT THE PIT  NIGHT,30
22,INT LOFT  NIGHT,67
23,INT THE PIT  ON FUNBOYS TABLE  NIGHT,32
24,INT LOFT  DOWN ANGLE CROW POV  ERIC ON FLOOR,46
25,INT PIT  RESUMING FUNBOYS TABLE  NIGHT,12
26,INT LOFT  FLOOR LEVEL  NIGHT,88
27,EXT LOFT BUILDING  UP ANGLE FROM STREET  NIGHT,11
28,INT LOFT  AT WINDOW PICKING UP ERIC  NIGHT,26
29,EXT STREET  NIGHT ESTABLISHING,6
30,EXT ALLEY  NIGHT CROWVISION,7
31,EXT STREET  RESUMING ERIC  NIGHT,5
32,EXT ALLEY  TIGHT ON TINTIN  NIGHT,126
33,INT LOFT  NIGHT,11
34,INT LOFT BEDROOM  NIGHT LATER,98
35,EXT LOFT BUILDING  LATER  NIGHT,2
36,EXT LOFT  LATER  NIGHT,40
37,EXT ALLEY  WHERE TINTIN GOT IT  NIGHT,59
38,INT GIDEONS PAWN SHOP  NIGHT,191
39,EXT GIDEONS PAWN SHOP  NIGHT,127
40,EXT SHOWTIME  NIGHT  TO ESTABLISH,6
41,INT SHOWTIME LOBBY  NIGHT,14
42,INT,22
43,INT TOP DOLLARS LAIR  NIGHT,38
44,EXT STREET  NIGHT  CROWVISION HIGH ANGLE,38
45,INT CLUB TRASH  NIGHT,15
46,INT LAOS NIGHTCLUB OFFICE  NIGHT,47
47,INT PRECINCT HOUSE  NIGHT,35
48,EXT STREET NEAR THE PIT  ERIC AND ELLY  NIGHT,65
49,INT PIT  NIGHT  WITH GRANGE,15
50,INT PRECINCT HOUSE  OFFICE  NIGHT,62
51,INT THE PIT REAR  ERIC ON FIRE ESCAPE  NIGHT,14
52,INT THE PIT  NIGHT,7
53,INT FUNBOYS ROOM  NIGHT,2
54,EXT THE PIT REAR  FIRE ESCAPE  RESUMING ERIC  NIGHT,2
55,INT FUNBOYS ROOM  NIGHT,235
56,INT THE PIT  NIGHT,12
57,INT FUNBOYS ROOM  NIGHT,25
58,INT PRECINCT FOYER  NIGHT,4
59,EXT PRECINCT HOUSE  NIGHT,134
60,INT LAO NIGHTCLUB OFFICE  NIGHT,31
61,EXT LIQUOR STORE  NIGHT  CROWVISION,30
62,INT LIQUOR STORE  NIGHT,7
63,EXT STREET  INT CAR  LOWER ANGLE  NIGHT,21
64,INT LIQUOR STORE  ON SKANK AT COUNTER  NIGHT,19
65,INT TBIRD  TRAVELING FAST  NIGHT,24
66,EXT STREET  HIGH ANGLE ON TBIRD  NIGHT,4
67,INT POLICE CRUISER  NIGHT,24
68,EXT STREET  ON ALLEY  NIGHT,2
69,INT TBIRD  TRAVELLING FAST  NIGHT,38
70,EXT CITY STREETS  VARIOUS ANGLES  THE CHASE  NIGHT,3
71,EXT DOCKSIDE STREET  NIGHT,6
72,INT POLICE CRUISER  ON SPEEG AND MJ  TRAVELING  NIGHT,4
73,EXT DOCKSIDE STREET  NIGHT,2
74,EXT DETROIT RIVER SHIPYARD  NIGHT,3
75,INT TBIRD  ON ERIC AND TBIRD  NIGHT,10
76,EXT DETROIT RIVER SHIPYARD  NIGHT,4
77,INT TBIRD  FAVOR TBIRD  NIGHT,45
78,INT TBIRD  TRAVELING FAST  NIGHT,4
79,EXT DETROIT RIVER SHIPYARD  RESUMING ERIC  NIGHT,22
80,INT DARLAS APARTMENT  DAWN,22
81,EXT ROOF OF LOFT BUILDING DAWN,23
82,EXT MAXIDOGS  DAY,60
83,INT LOFT  ON ERIC  DAY,55
84,INT TOP DOLLARS LAIR  NIGHT,42
85,EXT STREET OUTSIDE SHOWTIME  NIGHT TOPS POV,3
86,INT TOP DOLLARS LAIR  NIGHT,11
87,EXT WINDOW  NIGHT,7
88,INT TOP DOLLARS LAIR  NIGHT,129
89,EXT STREET  ON POLICE CAR  NIGHT,13
90,INT TOP DOLLARS LAIR  RESUMING  NIGHT,120
91,EXT SHOWTIME  FRONT FIRE ESCAPE  NIGHT,86
92,INT ALBRECHTS CAR  TRAVELLING  NIGHT,54
93,EXT STREET  NIGHT  ON ALBRECHTS CAR,9
94,EXT STREET  ANOTHER PART OF THE CITY  NIGHT,18
95,EXT CITYSCAPE  DAY,3
96,INT LAOS CLUB OFFICE  DAY,99
97,INT LOFT  DAY,9
98,INT LOFT  STAIRWELL  DAY,125
99,EXT STREET  DAY,17
100,INT DARLAS APARTMENT  DAY,66
101,EXT LOFT BUILDING ROOFTOP  SUNSET,16
102,INT LOFT BUILDING STAIRWELL  DUSK,3
103,INT LOFT  DUSK,17
104,EXT STREET NEAR CEMETERY  NIGHT,25
105,EXT CEMETERY  NIGHT,3
106,EXT CHURCH  NIGHT,50
107,INT BELL TOWER  NIGHT,19
108,EXT CHURCH  RESUMING ERIC ON STEPS  NIGHT,45
109,INT CHURCH  AS ERIC COMES THROUGH THE DOORS  NIGHT,139
110,EXT CHURCH  OBVERSE OF WINDOW  NIGHT,15
111,INT,8
112,EXT CHURCH  NIGHT,5
113,INT CHURCH ALTER NIGHT,73
114,INT SPIRAL STAIRCASE  TO BELL TOWER  NIGHT,39
115,INT BELLTOWER SPIRAL STAIRS  RESUMING ALBRECHT,5
116,EXT CHURCH ROOF  RESUMING LAO  NIGHT,161
117,EXT CEMETERY  NIGHT LATER RAIN,73
118,INT DARLAS APARTMENT  DAY OVERCAST,48
