1,EXT MANHATTAN SKYLINE  DAY,15
2,INT THERAPISTS OFFICE  DAY,124
3,INT RACHELS BEDROOM  DAY,46
4,INT THERAPISTS OFFICE BUILDING  HALLWAY  DAY,18
5,EXT VALMONT TOWNHOUSE  DAY,12
6,INT VALMONT TOWNHOUSE  KITCHEN  DAY,10
7,INT VALMONT TOWNHOUSE  HALLWAY  DAY,6
8,INT VALMONT TOWNHOUSE  LIVING ROOM  DAY,164
9,EXT PARK  DAY,14
10,INT VALMONT TOWNHOUSE  LIVING ROOM  DAY,11
11,EXT PUBLIC PARKING GARAGEINT COURT S CAR  NIGHT,18
12,INT VALMONT TOWNHOUSE  LIVING ROOM  DAY,9
13,EXT PARK  DAY,9
14,INT VALMONT TOWNHOUSE  LIVING ROOM  DAY,167
15,EXT ROSEMOND ESTATE  AERIAL SHOT  DAY,6
16,EXT ESTATE  MEADOW  DAY,47
17,EXT ESTATE  GARDEN  DAY,57
18,INT ESTATE  STABLE  DAY,105
19,INT CALDWELL APARTMENT  STUDY  DAY,73
20,EXT BLAINES HOUSE  DAY,5
21,INT BLAINES HOUSE  BEDROOM  DAY,81
22,EXT CENTRAL PARK  DAY,149
23,INT ESTATE  ANNETTES GUEST ROOM  NIGHT,7
24,EXT ESTATE  ANNETTES BALCONY  NIGHT,56
25,INT VALMONT TOWNHOUSE  KATHRYNS BEDROOM  NIGHT,26
26,EXT ESTATE  SWIMMING POOL  NIGHT,134
27,EXT BLAINES HOUSE  NIGHT,4
28,INT BLAINES HOUSE  HALLWAY  NIGHT,11
29,INT BLAINES HOUSE  BEDROOM  NIGHT,109
30,EXT ESTATE  ROAD  DAY,108
31,EXT BEACH  DAY,63
32,INT PORSCHE  DAY,8
33,EXT BEACH  DAY,31
34,INT VALMONT TOWNHOUSE  LIVING ROOM  DAY,121
35,EXT TOWNHOUSE  NIGHT,5
36,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  NIGHT,12
37,INT ESTATE  ANNETTES GUEST ROOM  NIGHT,60
38,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  NIGHT,18
39,EXT BOUTIQUE  DAY,4
40,INT BOUTIQUE  DAY,88
41,INT CALDWELL APARTMENT  STUDY  DAY,66
42,INT CALDWELL APARTMENT  ELEVATOR  DAY,10
43,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  DAY,122
44,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  NIGHT,86
45,INT CALDWELL APARTMENT  CECILES BEDROOM  DAY,20
46,INT CALDWELL APARTMENT  CECILES BATHROOM  DAY,7
47,EXT ESTATE  TERRACE  DAY,61
48,INT ESTATE  CECILES GUEST ROOM  DAY,8
49,INT VALMONT TOWNHOUSE  LIVING ROOM  DAY,7
50,EXT RETIREMENT HOME  DAY,4
51,INT RETIREMENT HOME  HALLWAY  DAY,20
52,INT RETIREMENT HOME  MR GOTTLIEBS ROOM  DAY,5
53,INT RETIREMENT HOME  MRS SUGARMANS ROOM  DAY,41
54,INT PORSCHE  DAY,75
55,INT ESTATE  CECILES GUEST ROOM  DAY,107
56,EXT ESTATE  GARDEN  DAY,6
57,INT ESTATE  SEBASTIANS ROOM  DAY,56
58,EXT ESTATE  GARDEN  DAY,100
59,INT ESTATE  SEBASTIANS ROOM  DAY,8
60,INT ESTATE  SEBASTIANS BATHROOM  DAY,15
61,INT ESTATE  SEBASTIANS ROOM  NIGHT,55
62,INT ESTATE  ANNETTES GUEST ROOM  NIGHT,64
63,INT ESTATE  SEBASTIANS ROOM  NIGHT,12
64,EXT ESTATE  FRONT OF HOUSE  DAY,8
65,INT ESTATE  SEBASTIANS ROOM  DAY,65
66,INT GREGS DORM ROOM  DAY,10
67,EXT HIGHWAYINT PORSCHE  DAY,38
68,EXT HIGHWAY  DAY,5
69,INT TRAIN CONCOURSE  DAY,10
70,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  DAY,19
71,EXT VALMONT TOWNHOUSE  NIGHT,4
72,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  NIGHT,21
73,INT VALMONT TOWNHOUSE  HALLWAY  NIGHT,6
74,EXT VALMONT TOWNHOUSE  DAY,4
75,INT VALMONT TOWNHOUSE  HALLWAY  DAY,26
76,INT VALMONT TOWNHOUSE  KATHRYNS BEDROOM  DAY,87
77,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  DAY,69
78,EXT MANHATTAN STREET  DAY,4
79,INT TAXI  DAY,32
80,EXT OSHEA APARTMENT BUILDING  DAY,8
81,INT OSHEA APARTMENT BUILDING  HALLWAY  DAY,16
82,INT OSHEA APARTMENT  FOYER  DAY,19
83,INT OSHEA APARTMENT  ANNETTES GUEST ROOM  DAY,70
84,EXT VALMONT TOWNHOUSE  DAY,4
85,INT VALMONT TOWNHOUSE  HALLWAY  DAY,4
86,INT VALMONT TOWNHOUSE  KATHRYNS BEDROOM  DAY,151
87,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  DAY,20
88,EXT OSHEA APARTMENT BUILDING  NIGHT,5
89,INT OSHEA APARTMENT BUILDING  HALLWAY  NIGHT,36
90,INT OSHEA APARTMENT  FOYER  NIGHT,5
91,INT VALMONT TOWNHOUSE  KATHRYNS BEDROOM  NIGHT,7
92,INT RONALDS BEDROOM  NIGHT,34
93,INT VALMONT TOWNHOUSE  KATHRYNS BEDROOM  DAY,5
94,INT OSHEA APARTMENT  ANNETTES GUEST ROOM  NIGHT,12
95,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  NIGHT,10
96,INT MANHATTAN STREET  NIGHT MONTAGE,10
97,INT OSHEA APARTMENT  ANNETTES GUEST ROOM  NIGHT,11
98,EXT OSHEA APARTMENT BUILDING  NIGHT,15
99,INT VALMONT TOWNHOUSE  LIVING ROOM  NIGHT,38
100,EXT OSHEA APARTMENT BUILDING  DAY,4
101,INT OSHEA APARTMENT BUILDING  LOBBY  DAY,25
102,EXT VALMONT TOWNHOUSE  DAY,114
103,INT VALMONT TOWNHOUSE  LIVING ROOM  DAY,16
104,INT VALMONT TOWNHOUSE  SEBASTIANS BEDROOM  DAY,134
105,INT PORSCHE  DAY,10
