1,INT PIER BUILDING  DAY,420
2, INT HUNT CLUB LOBBY DAY,190
3, EXT HUNT CLUB LOBBY  DAY,103
4, INT LIMOUSINE  DAY ,32
5, EXT LIMOUSINE,8
6, INT LIMOUSINE,9
7, EXT LIMOUSINE,28
8, INT LIMOUSINE ,31
9, EXT STREET WESTLAKE LAB  NIGHT,4
10, INT WESTLAKE LAB BUILDING  NIGHT,185
11, INT WESTLAKE LAB  NIGHT,61
12, EXT CITY STREET  MORNING ,265
13, INT HALLWAY OF STRACKS OFFICE  DAY,3
14, INT ELEVATOR STRACKS BUILDING  DAY,58
15, INT WESTLAKE LAB  DAY  PEYTON ,248
16, SILENCE  EXT PEYTONS BUILDING  MINIATURE  NIGHT,13
17, EXT STREET  NIGHT JULIE ,6
18, EXT RIVER  PEYTON STUNT DOUBLE  NIGHT ,30
19, EXT GRAVEYARD  CLOSE SHOT  JULIE  DAY ,30
20, EXT GRAVEYARD  LONGSHOT  DAY ,99
21, INT HOSPITAL CORRIDOR,58
22, EXT ALLEY ENTRANCEEMPTY STREET  DUSK ,65
23, EXT CITY STREET  NIGHT,17
24, EXT ALLEY  WIND FANS  NIGHT,189
25, INT WOMANS POWDER ROOM,200
26, INT RICKS APARTMENT  BEDROOM  LATER ,54
27, INT RICKS APARTMENT  LATER ,32
28, EXT NIGHT  ROW OF STONE GARGOYLES,10
29, INT JULIES APARTMENT  BEDROOM  NIGHT,55
30, EXT CITY STREET  MORNING,172
31, EXT ONASSIS CONEY ISLAND RESTAURANT DAY,138
32, INT PAULYS BEDROOM  DAWN,15
33, INT PAULYS BATHROOM  DAY,24
34, INT ONASSIS CONEY ISLAND RESTAURANT,45
35, INT PAULYS BEDROOM  DAY PAULY DARXMANPAULY,66
36, EXT HIGH RISE  DAY,5
37, EXT HIGH RISE  DAY,12
38, EXT STREET  DAY ,32
39, INT JULIES APT,131
40,S INT DARKMANS WAREHOUSE,157
41, EXT CEMETERY  DAY  WIDE SHOT OF JULIE ,96
42, INT A BEDROOM,32
43, INT DURANTS HOUSE,37
44, EXT DURANTS HOME  NIGHT,58
45, EXT OUTDOOR CAFE  DAY  PEYTON AND JULIE,49
46, INT WAREHOUSE  NIGHT ,94
47, INT MIDNIGHT BLUE CONTINENTAL  DAY,24
48, EXT POLICE STATION,18
49, INT MANDARIN RESTAURANT  DAY,114
50, EXT STET,6
51, INT MANTARIN CUISINE,201
52, INT SUBWAY  STAIRS TO THE TRAIN PLATFORM,9
53, INT SUBWAY  STAIRS TO THE TRAIN PLATFORM,36
54, INT SUBWAY TUNNEL,260
55, INT WAREHOUSE,236
56, EXT STREET,5
57, EXT WAREHOUSE  ALLEY ,5
58, INT WAREHOUSE ,6
59, INT WAREHOUSE ,132
60, INT EACKS APARTMENT  DAY,43
61, INT STRACKS LUXURIOUS STUDY DAY,180
62, EXT WAREHOUSE DAY ,23
63, INT WAREHOUSE,12
64, EXT WAREHOUSE ROOF,16
65, INT HELICOPTER,6
66, EXT ROOF,4
67, INT WAREHOUSE,94
68, INT HELICOPTER,33
69, INT WAREHOUSE,15
70, INT HELICOPTER,30
71, INT WAREHOUSE,41
72,EXT SKY  PANNING DOWN,6
73, INT HELICOPTER ,22
74, INT OFFICE,99
75, INT STRACKS OFFICE  NIGHT,49
76,B INT A CONSTRUCTION ELEVATOR  NIGHT,276
