1,INT MRS BRUCES LIVING ROOM  NIGHT,44
2,EXT LEXS HOUSE  NIGHT,11
3,INT LEXS BASEMENTBEDROOM  NIGHT,91
4,EXT LEXS HOUSEFRONT PORCH  NIGHT,49
5,INT JAMS BEDROOM  DAY,21
6,INT LEXS BASEMENTBEDROOM  DAY,11
7,INT JAMS BEDROOM  DAY,33
8,INT LEXS BASEMENTBEDROOM  DAY,21
9,INT JAMS ROOM  DAY,8
10,INT LEXS BASEMENTBEDROOM  DAY,45
11,INT JAMS BEDROOM  DAY,66
12,EXT ROBERT F KENNEDY HIGH  DAY,45
13,INT SCHOOL LOCKER AREA  DAY,52
14,INT STUDY HALL  DAY,89
15,INT HAWKS SCIENCE CLASS  DAY,8
16,INT LEXS GYM CLASS  DAY,5
17,INT TRIPS HEALTH CLASS  DAY,14
18,INT JAMS STUDY HALL  DAY,3
19,INT WAITING AREA  DAY,89
20,INTEXT JAMS STUDY HALL  DAY,4
21,INT STAIRWAY  DAY,15
22,INT GIRLS BATHROOM  DAY,73
23,INT MRS BRUCES CAR  DAY,24
24,EXT ST BERNARDS  DAY,4
25,INT MRS BRUCES CAR  DAY,6
26,EXT ST BERNARDS  DAY,5
27,INT VOCTECH DEPT  DAY,88
28,INT FRONT OFFICE  DAY,6
29,INT MAIN CORRIDOR  DAY,7
30,INT SCHOOL SECURITY OFFICE  DAY,11
31,INT FRONT OFFICE  DAY,8
32,INT SECURITY OFFICE  DAY,6
33,INT HALLWAY OUTSIDE VOCTECH ROOM  DAY,15
34,INT CAFETERIA  DAY,164
35,INT HALLWAY  DAY,4
36,INT OTHER HALLWAY  DAY,21
37,INT ENGLISH CLASS  DAY,8
38,INT HALLWAY  DAY,52
39,EXT STREET IN THE NEXT COUNTY  DAY,6
40,EXT ST BERNARDS  DAY,2
41,INT VOLVO  DAY,8
42,INT ST BERNARDS BOARDING SCHOOL  DAY,18
43,INT FATHER MCNULTYS OFFICE  DAY,29
44,EXT ST BERNARDS  DAY,27
45,INT FATHER MCNULTYS OFFICE  DAY,79
46,INT VOLVO  DAY,13
47,INT FATHER MCNULTYS OFFICE  DAY,64
48,INT VOLVO  DAY,39
49,EXT LOCAL TRAIN STOP  DAY,5
50,INT VOLVO  DAY,31
51,INT VOLVO  DAY,14
52,INT TRANS AM  DAY,7
53,INT VOLVO  DAY,9
54,EXT TRANS AM  DAY,15
55,INT VOLVO  DAY,26
56,EXT FREEWAY  DAY,304
57,INT VOLVO  DAY,42
58,INT VOLVO  DAY,162
59,EXT COBO HALL  SUNSET,7
60,INT VOLVO  SUNSET,34
61,INT WARP TOWER ELEVATOR  NIGHT,11
62,INT SIMPLE SIMONS OFFICE  NIGHT,23
63,INT PRODUCERS BOOTH  NIGHT,65
64,INT WARP TOWER ELEVATOR  NIGHT,55
65,EXT WARP TOWER  NIGHT,199
66,EXT ST SEBASTIANS CATHEDRAL  NIGHT,30
67,EXT WHITE CASTLE HAMBURGER JOINT  NIGHT,35
68,EXT ST SEBASTIANS CATHEDRAL  NIGHT,2
69,EXT ITS RAINING MEN STRIP JOINT  NIGHT,84
70,INT ITS RAINING MEN STRIP JOINT  NIGHT,80
71,EXT SMILEY MART  NIGHT,23
72,INT SMILEY MART  NIGHT,126
73,EXT PARKING LOT  NIGHT,39
74,EXT LOADING DOCK  NIGHT,39
75,INT ST SEBASTIANS CATHEDRAL  NIGHT,44
76,INT CONFESSIONAL BOOTH  NIGHT,20
77,INT ITS RAINING MEN STRIP JOINT  NIGHT,131
78,INT SMILEY MART  NIGHT,38
79,INT BASS DRUM  NIGHT,8
80,INT COBO HALLRECEIVING AREA  NIGHT,14
81,INT BASS DRUM  NIGHT,4
82,INT COBO HALLRECEIVING AREA  NIGHT,11
83,INT COBO HALL STAIRWELL  NIGHT,16
84,INT CONFESSIONAL  NIGHT,85
85,INT ITS RAINING MEN STRIP JOINT  NIGHT,45
86,INT CONFESSIONAL BOOTH  NIGHT,23
87,INT SMILEY MART  NIGHT,103
88,INT COBO HALLBACKSTAGE  NIGHT,34
89,EXT ALLEY BEHIND COBO HALL  NIGHT,34
90,INT CONFESSIONAL BOOTH  NIGHT,105
91,INT ST SEBASTIANS CATHEDRAL  NIGHT,7
92,EXT ALLEY BEHIND COBO HALL  NIGHT,62
93,INT CHOP SHOP  NIGHT,52
94,EXT ITS RAINING MEN PARKING LOT  NIGHT,101
95,INT SMILEY MART  NIGHT,57
96,INT CHOP SHOP  NIGHT,96
97,EXT WHITE CASTLE PARKING LOT  NIGHT,40
98,INT AMANDAS JAG  NIGHT,20
99,EXT SMILEY MART  NIGHT,28
100,EXT SMILEY MART PARKING LOT  NIGHT,37
101,EXT NEARBY STREET  NIGHT,26
102,INT COBO HALL  NIGHT,75
103,EXT ITS RAINING MEN STRIP CLUB  NIGHT,119
104,EXT COBO HALL  NIGHT,40
