1,INT BLACK SCREEN,28
2,INT RECORDING STUDIO LAST SESSION  LA DEC   NIGHT,56
3,EXT ARIZONA DESERT  DAY S,25
4,INT CAR  DAY,69
5,EXT ARIZONA DESERT  DAY ,12
6,INT CAR,35
7,EXT VENICE BOARDWALK  LOS ANGELES  DAY ,29
8,EXT VENICE CANAL  DAY,12
9,EXT VENICE CANAL  ANOTHER CANAL  DAY,9
10,EXT PAMELAS HOUSE  VENICE CANAL  THAT EVENING,77
11,INT UCLA SCREENING ROOM  DAY ,85
12,EXT TURKEY JOINT WEST  NIGHT,41
13,INT TURKEY JOINT WEST  NIGHT,60
14,INT RAYS CAR  FREEWAY  NIGHT,26
15,EXT SPEEDING CAR  NIGHT,8
16,EXTINT PAMELAS HOUSE  VENICE CANAL  THAT NIGHT,16
17,EXT VENICE CANALS  NIGHT,13
18,EXT VENICE BOARDWALK  NIGHT,9
19,EXT VENICE BEACH  NIGHT,42
20,EXT VENICE BUILDING  NIGHT,3
21,EXT VENICE ROOFTOP  NIGHT,306
22,INT RAYS HOUSE  VENICE BEACH  DAY,125
23,EXT VENICE BEACH  DAY,49
24,INT RAYS HOUSE  DAY,12
25,EXT SUNSET STRIP TRAVELLING  NIGHT ,18
26,EXT LONDON FOG  NIGHT,18
27,INT LONDON FOG  NIGHT,31
28,INT BACKSTAGE  THE FOG  THAT NIGHT,126
29,INT LONDON FOG  NIGHT,3
30,EXT SUNSET STRIP  THAT NIGHT,115
31,EXT DESERT  DAY,204
32,INT CAR  MOVING  DESERT,5
33,INT MORRISON HOME  DAY,6
34,EXT DESERT  DAY,4
35,INT ROCK PALACE  DAY,44
36,EXT CAVE  DAY,3
37,INT WHISKY A GO GO  NIGHT,110
38,INT BACKSTAGE WHISKY HALLWAY  THAT NIGHT,36
39,EXT ALLEY  STAIRCASE OUTSIDE WHISKY  THAT NIGHT,59
40,INT SUNSET SOUND RECORDING STUDIO  DAY ,31
41,EXT GOLDEN GATE PARK  SAN FRANCISCO DOCUMENTARY FOOTAGE ,12
42,INT FILLMORE WEST STAGE  SAN FRANCISCO  NIGHT ,29
43,EXT AIRPORT TARMAC  DAY,10
44,EXT NEW YORK CITY SKYLINE SEEN FROM PLANE  DAY,2
45,INT AIRPLANE  DAY,25
46,EXT CBS  NEW YORK  NIGHT SUMMER ,8
47,INT LIMO  NIGHT,37
48,INT CBS BACKSTAGE  THAT EVENING,14
49,INT DOORS DRESSING ROOM  EVENING,133
50,INT STUDIO STAGE  THAT NIGHT,26
51,INT CONTROL BOOTH SIMULTANEOUS  THAT NIGHT,13
52,INT HOTEL BEDROOM  NEW YORK  NIGHT,169
53,INT PRESS CONFERENCE  HOTEL SUITE NEW YORK  DAY,227
54,INT PATRICIAS SOHO LOFT  THAT DAY RAIN,143
55,INT PHOTOGRAPHIC STUDIO  NEW YORK  ANOTHER DAY,93
56,INT DOWNTOWN LOFT  NEW YORK  NIGHT WINTER,19
57,INT ROOM  LIMBO,205
58,INT BEDROOM  SAME NIGHT,67
59,EXT NEW YORK STREET  NIGHT WINTER,16
60,INT HOTEL CORRIDOR REGENCY  THAT NIGHT,8
61,INT ELEVATOR,16
62,INT NEW HAVEN CONCERT HALL  NIGHT ,22
63,INT BACKSTAGE CORRIDOR  SAME NIGHT,5
64,INT SHOWER ROOM  SAME NIGHT,153
65,INT BACKSTAGE CORRIDOR  SAME NIGHT,45
66,INT NEW HAVEN STAGE  THAT NIGHT,152
67,INT BACKSTAGE STAIRCASE  SAME NIGHT,4
68,EXT ARENA PARKING LOT  SAME NIGHT,8
69,INT HOLDING ROOM  POLICE STATION  THAT NIGHT,48
70,EXT POLICE STATION  THAT NIGHT,30
71,INT MUG SHOT  LIMBO,7
72,INT RECORDING STUDIO  LAST SESSION  LOS ANGELES NIGHT,64
73,EXT LOS ANGELES  DAWN ,19
74,INT BARNEYS BEANERY  LOS ANGELES  MONDAY,135
75,EXT SANTA MONICA BOULEVARD  SAME MORNING,28
76,EXT PACIFIC PALISADES  SAME MORNING,32
77,INT COUNTRY STORE  LAUREL CANYON  THAT DAY,38
78,EXT JIM  PAMS HOUSE  LAUREL CANYON  DAY,112
79,INT JIM AND PAMS HOUSE  LAUREL CANYON  THAT DAY,309
80,INT TUNNEL  OUTDOOR THEATRE  NIGHT,8
81,EXT ARENA  ANY CITY  NIGHT,50
82,EXT JIM  PAMS HOUSE  LAUREL CANYON  NIGHT,3
83,INT JIM  PAMS HOUSE  LAUREL CANYON  NIGHT,26
84,EXT ARENA  CONCERT,12
85,INT JIM  PAMS HOUSE  NIGHT,44
86,EXT JIM  PAMS HOUSE  LAUREL CANYON  NIGHT,4
87,EXT STREET  LOS ANGELES  NIGHT,4
88,EXT BOULEVARD  LOS ANGELES  NIGHT,10
89,INT ANNES SOHO LOFT  NEW YORK  NIGHT,13
90,INT LIMO  DAY,3
91,INT ANNES SOHO LOFT  NEW YORK  RESUME NIGHT,20
92,EXT DOORS OUTDOOR CONCERT  NIGHT,39
93,INT ALTA CIENEGA MOTEL  DAY,80
94,EXT ALTA CIENEGA MOTEL ROOM  SAME DAY,17
95,INT MOTEL ROOM  SIMULTANEOUS,33
96,INT RECORDING STUDIO  THAT NIGHT,284
97,INT RECORDING STUDIO  LAST SESSION   NIGHT,55
98,INT MIAMI AUDITORIUM  NIGHT ,32
99,INT NEW ORLEANS AIRPORT BAR  SAME NIGHT,53
100,INT MIAMI AUDITORIUM  THAT NIGHT,4
101,INT DRESSING ROOM  NIGHT,44
102,INT AIRPLANE  THAT NIGHT,190
103,EXT MIAMI AIRPORT  SAME NIGHT,3
104,INT PLANE  SAME NIGHT,13
105,INT MIAMI AUDITORIUM  THAT NIGHT,15
106,INT BACKSTAGE  THAT NIGHT,96
107,INT STAGE  SAME NIGHT,332
108,INT MIAMI COURTROOM  DAY ,105
109,EXT ORANGE BOWL  MIAMI  DOCUMENTARY FOOTAGE DAY,23
110,INT HOTEL ROOM  MIAMI BEACH  DAY,96
111,EXT MIAMI COURTROOM  DAY,60
112,INT COURTROOM  THAT DAY,121
113,EXT CHATEAU MARMONT HOTEL  LOS ANGELES  NIGHT,160
114,EXT DOORS OFFICE  SANTA MONICA BL  LA  DAY ,8
115,INT DOORS OFFICE  DAY,8
116,INT BASEMENT  RECORDING STUDIO  DAY,12
117,INT TOILET  RECORDING STUDIO  SAME DAY,12
118,EXT LOS ANGELES FREEWAY  DAY,5
119,INT NEW YORK HOSPITAL ROOM  DAY,13
120,EXT RAYS HOUSE  VENICE  DAY,4
121,INT RAYS HOUSE  DAY,13
122,EXT RAY YARD  DAY,66
123,INT RAYS WORK SPACE  DAY,65
124,EXT GARDEN  LATER DAY,50
125,EXT RAYS HOUSE  VENICE  TWILIGHT,100
126,EXT LOS ANGELES  TWILIGHT,2
127,INT RECORDING SESSION LAST SESSION  LA  DEC,24
128,INT PARIS BEDROOM  NEAR DAWN NIGHT ,14
129,INT BATHROOM  DAWN,32
130,EXT PERE LACHAISE CEMETERY  PARIS  DAY,17
