1,INT BEDROOM  BEFORE DAWN,12
2,INT BATHROOM  A MOMENT LATER,14
3,INT KITCHEN  MORNING,4
4,EXT VENTURA BOULEVARD PARKING STRUCTURE  MORNING,27
5,INT BANK OF CALIFORNIA  DAY,221
6,EXT UCLA  WESTWOOD CAMPUS  DAY,3
7,INT UCLA LECTURE HALL  DAY,30
8,INT RAYS UNIVERSITY OFFICE  LATER,50
9,INT HALL OUTSIDE RAYS OFFICE  DAY,46
10,INT BANK OF CALIFORNIA  BREAK ROOM  DAY,18
11,INT BANK OF CALIFORNIA  LATER,213
12,INT BANK  LATER,18
13,EXT BANK OF CALIFORNIA  PARKING STRUCTURE  DAY,141
14,INT POLICE STATION  SARGENTS DESK  NIGHT,18
15,EXT VENTURA BLVD  LATER THAT NIGHT,38
16,INT STOREFRONT  NIGHT,176
17,EXT HILLS OF SILVER LAKE  NIGHT,19
18,EXT STEPHANIES HOUSE  NIGHT,4
19,INT STEPHANIES HOUSE  FOYER  NIGHT,32
20,INT STEPHANIES HOUSE  KITCHEN  NIGHT,37
21,EXT STEPHANIES HOUSE  NIGHT,4
22,INT STEPHANIES HOUSE  KITCHEN  NIGHT,39
23,INT RAYS HOUSE  NIGHT,27
24,INT RAYS HOUSE  LATER,27
25,INT RAYS BEDROOM  NIGHT,44
26,INT RAYS BEDROOM  MORNING,72
27,EXT BANK OF CALIFORNIA  MORNING,2
28,INT RAYS CAR,14
29,INT BANK OF CALIFORNIA  DAY ,83
30,EXT MRS GANUSHS HOUSE  DAY,13
31,INT MRS GANUSHS FOYER  DAY,7
32,INT MRS GANUSHS LIVING ROOM  DAY,68
33,EXT MRS GANUSHS HOUSE  DAY,3
34,EXT SEVEN ELEVEN PARKING LOT  LATER,2
35,INT STEPHANIES CAR,7
36,EXT INTERSECTION  DAY,13
37,EXT RHAM JAS STOREFRONT  DAY,2
38,INT STOREFRONT  DAY,5
39,INT BACK ROOM OF RHAM JS STOREFRONT  DAY,95
40,INT STEPHANIES BEDROOM,38
41,INT STEPHANIES KITCHEN  LATER,10
42,EXT STEPHANIES HOUSE  DAY,3
43,INT BATHROOM  DAY,3
44,INT STEPHANIES KITCHEN DAY,41
45,INT STEPHANIES BEDROOM  DAY,11
46,INT KITCHEN  AFTERNOON,47
47,EXT NICHOLAS CANYON  DUSK,11
48,INT STEPHANIES CAR  DUSK,8
49,EXT DALTON HOUSE  DUSK,44
50,INT DALTONS HOUSE,66
51,INT DALTON HOUSE  DINNING ROOM  LATER,189
52,EXT DALTON HOUSE  MOMENTS LATER,38
53,EXT ECHO PARK HOUSE  LATER THAT NIGHT,131
54,INT RHAM JAS HOUSE  NIGHT,53
55,INT STEPHANIES HOUSE  NIGHT,61
56,INT STORE  LATER THAT NIGHT,70
57,INT BANK OF CALIFORNIA DAY,45
58,INT STEPHANIES KITCHEN  DAY,19
59,EXT PASADENA HOUSE  DUSK,27
60,INT OLD PASADENA HOUSE  STUDY  DUSK,44
61,INT GREAT ROOM  NIGHT,286
62,EXT PASADENA HOUSE  NIGHT  LATER,73
63,INT RAYS BMW  NIGHT,27
64,EXT STEPHANIES HOUSE  NIGHT  LATER,36
65,INT DENNYS RESTAURANT  NIGHT,55
66,INT RHAM JAS HOUSE  BACK ROOM  NIGHT,17
67,INT STEPHANIES CAR  NIGHT,40
68,EXT OAKWOOD CEMETERY  RAINY NIGHT,80
69,INT STEPHANIES HOUSE  BATHROOM  PREDAWN,12
70,EXT CITY STREET  PRE DAWN,14
71,EXT TRAIN STATION  PARKING LOT  PRE DAWN,11
72,INT TRAIN STATION  GRAND ENTRANCE  PRE DAWN,7
73,INT TRAIN STATION  CLOTHING BOUTIQUE,23
