1,INT OLIVES BEDROOM  PRESENT DAY,53
2,INT CAFETERIA  DAY,64
3,INT OLIVES BEDROOM  PRESENT DAY,8
4,INT THE ABERNATHY LIVING ROOM,14
5,INT RHIANNONS ROOM  CONTINUOUS,6
6,INT OLIVES BEDROOM  CONTINUOUS,15
7,EXT WOODS  LAST YEAR  NIGHT,24
8,INT RHIANNONS ROOM  MOMENTS LATER,48
9,INT OLIVES BEDROOM  PRESENT DAY,20
10,INT OLIVES BEDROOM  DAY,23
11,INT CAFETERIA  CONTINUOUS,12
12,EXT WOODS  NIGHT,4
13,INT OLIVES BEDROOM  PRESENT DAY,74
14,INT OLIVES BEDROOM  PRESENT DAY,5
15,INT HALLS OF BARBARA BUSH HIGH SCHOOL  DAY,58
16,INT GIRLS ROOM  CONTINUOUS,52
17,EXT WOODS  NIGHT,6
18,INT OLIVES BEDROOM  PRESENT DAY,12
19,INT HALLS OF BARBARA BUSH HIGH SCHOOL  LAST YEAR,9
20,INT GYM  LAST YEAR,9
21,INT HALLS OF BARBARA BUSH HIGH SCHOOL  LAST YEAR ,13
22,INT GYM  LAST YEAR  MONTHS LATER,62
23,INT OLIVES BEDROOM  PRESENT DAY,17
24,INT HALLS OF BARBARA BUSH HIGH SCHOOL  DAY,66
25,INT DINING ROOM  NIGHT,40
26,INT OLIVES BEDROOM  PRESENT DAY,30
27,INT HALLS OF BARBARA BUSH HIGH SCHOOL  DAY,29
28,INT CLOSET,111
29,INT OLIVES BEDROOM  PRESENT DAY,17
30,INT CLASSROOM  DAY,58
31,INT FRONT OFFICE  BARBARA BUSH HIGH SCHOOL  DAY,47
32,INT PRINCIPAL GIBBONSS OFFICE  CONTINUOUS,69
33,EXT BARBARA BUSH HIGH SCHOOL  PARKING LOT  DAY,38
34,INT DINING ROOM  NIGHT,181
35,INT OLIVES BEDROOM  PRESENT DAY,9
36,INT ROOM   DAY,238
37,INT OLIVES BEDROOM  NIGHT,85
38,INT FOYER  PENDERGHAST HOME  NIGHT,27
39,INT OLIVES BEDROOM  CONTINUOUS,152
40,INT OLIVES BEDROOM  PRESENT DAY,5
41,INT BOSTIC HOUSE  NIGHT,64
42,INT GUEST ROOM  NIGHT,19
43,INT HALLWAY  CONTINUOUS,5
44,INT GUEST ROOM  CONTINUOUS,43
45,INT GUEST ROOM  MOMENTS LATER,11
46,INT HALLWAY  CONTINUOUS,20
47,INT KITCHEN,33
48,INT OLIVES BEDROOM  PRESENT DAY,35
49,INT OLIVES BEDROOM  DAY,75
50,INT MALL  DAY,114
51,INT OLIVES BEDROOM  PRESENT DAY,7
52,INT OLIVES BEDROOM  CONTINUOUS,6
53,INT OLIVES BEDROOM  LATER,9
54,INT HALLS OF BARBARA BUSH HIGH SCHOOL  DAY,35
55,INT CAFETERIA  LUNCH LINE  LATER,6
56,INT GYMNASIUM  DAY,120
57,INT OLIVES BEDROOM  PRESENT DAY,45
58,INT CLASSROOM  DAY,129
59,INT CLASSROOM  DAY,109
60,EXT PARKING LOT  BARBARA BUSH HIGH  DAY,3
61,INT FRONT OFFICE  NEXT DAY,12
62,INT GUIDANCE OFFICE  CONTINUOUS,90
63,INT FRONT OFFICE  BARBARA BUSH HIGH SCHOOL  CONTINUOUS,86
64,INT HALLS OF BARBARA BUSH HIGH SCHOOL  DAY,9
65,INT GUIDANCE OFFICE  DAY,19
66,EXT BARBARA BUSH HIGH SCHOOL  DAY,15
67,INT OLIVES BEDROOM  PRESENT DAY,15
68,INT CATHEDRAL  DAY,5
69,INT CONFESSIONAL BOOTH  CONTINUOUS,60
70,EXT CATHEDRAL PARKING LOT  DAY,3
71,EXT PRESBYTERIAN CHURCH PARKING LOT  CONTINUOUS,3
72,INT CHURCH OFFICE  MOMENTS LATER,41
73,INT ASSOCIATE PASTORS OFFICE  CONTINUOUS,53
74,INT OLIVES BEDROOM  PRESENT DAY,18
75,INT BARBARA BUSH HIGH SCHOOL  PARKING LOT  DAY,10
76,INT CLASSROOM  DAY,9
77,INT CHEMISTRY LAB  LATER,9
78,INT HOME EC CLASSROOM  LATER,17
79,INT HOSPITAL ROOM  DAY,22
80,INT HOSPITAL LOBBY  MOMENTS LATER,6
81,INT KITCHEN  CONTINUOUS,12
82,INT FRONT OFFICE  DAY,11
83,INT KITCHEN  CONTINUOUS,6
84,INT FRONT OFFICE  CONTINUOUS,14
85,INT HALLS OF BARBARA BUSH HIGH SCHOOL  DAY,20
86,EXT HOSPITAL PARKING LOT  DAY,26
87,INT GUIDANCE OFFICE  CONTINUOUS,130
88,INT OLIVES BEDROOM  PRESENT DAY,23
89,EXT PLAYGROUND  YEARS BEFORE,11
90,INT CAFETERIA  DAY,38
91,INT RED LOBSTER  NIGHT,403
92,INT OLIVES BEDROOM  PRESENT DAY,17
93,INT HALLS OF BARBARA BUSH HIGH SCHOOL  DAY,24
94,INT STUFFY OLD HOUSE IN MISSISSIPPI  DAY,10
95,INT UNDER THE BLEACHERS  GYM  DAY,10
96,INT GUIDANCE OFFICE  DAY,34
97,INT MR GRIFFINS CLASSROOM  DAY,16
98,INT OLIVES BEDROOM  PRESENT DAY,19
99,INT CLASSROOM  DAY,38
100,INT OLIVES BEDROOM  PRESENT DAY,15
101,EXT BARBARA BUSH HIGH SCHOOL  DAY,16
102,INT OLIVES BEDROOM  NIGHT,103
103,INT GYM  DAY,135
104,INT OLIVES BEDROOM  DUSK,60
105,EXT THE PENDERGHAST HOUSE  MOMENTS LATER,7
106,EXT GYM  NIGHT,37
