1,INT HIGH SCHOOL GYMNASIUM  NIGHT,39
2,INT OFFICE  DAY,88
3,EXT POOL HALL  DAY,4
4,INT POOL HALL  NIGHT  PARAMUS NEW JERSEY,30
5,INT PARTY  LATER,73
6,INT PARTY  LATER,97
7,INT BAR  A FEW MINUTES LATER,22
8,INT TABLE  A LITTLE LATER,27
9,INT CYNTHIAS OFFICE  DAY,60
10,INT VIDEO STORE  DAY,70
11,INT CONFERENCE ROOM  ANOTHER DAY,15
12,INT CONFERENCE ROOM  LATER,20
13,INT CONFERENCE ROOM  LATER,18
14,INT CONFERENCE ROOM  LATER,9
15,INT CONFERENCE ROOM  LATER,7
16,INT CONFERENCE ROOM  LATER,9
17,INT CONFERENCE ROOM  LATER,8
18,INT CONFERENCE ROOM  LATER,17
19,INT CONFERENCE ROOM  LATER,61
20,INT VIDEO STORE,20
21,INT STOCKROOM,103
22,INT RESTAURANT  NIGHT,121
23,INT EDS APARTMENT  DAY,87
24,INT EDS BEDROOM  NIGHT,38
25,INT CYNTHIAS APARTMENT  NIGHT,11
26,INT CONTROL TRUCK,6
27,INT REAL TV  OFFICES,4
28,INT TRUCK,2
29,INT OFFICE,15
30,INT OFFICE,9
31,INT BEDROOM,11
32,INT OFFICE,5
33,INT KITCHEN  A FEW MINUTES LATER,11
34,INT OFFICE,5
35,INT KITCHEN  A LITTLE LATER,16
36,INT RAYS APARTMENT,4
37,INT PARENTS HOUSE,6
38,INT OFFICE,4
39,INT NETWORK OFFICE,3
40,INT OFFICE,6
41,INT CONTROL TRUCK,6
42,INT KITCHEN,9
43,INT CONTROL TRUCK,9
44,EXT BUILDING,7
45,INT NETWORK BUILDING,4
46,INT EDS CAR,9
47,EXT STREET  MONTAGE,20
48,INT VIDEO STORE  DAY,23
49,INT CONTROL TRUCK,11
50,INT A KITCHEN  SAME TIME,29
51,EXT STREET  NIGHT,5
52,INT EDS APARTMENT  NIGHT,14
53,INT RAYS APARTMENT,7
54,INT CYNTHIAS OFFICE  NIGHT,27
55,INT BAR  NIGHT,27
56,INT CONTROL TRUCK,4
57,INT BAR,89
58,INT MARCIAS APARTMENT,5
59,INT BAR,68
60,INT BAR  NIGHT,33
61,INT EDS BEDROOM  MORNING,5
62,EXT EWS BUILDING,8
63,INT EDS APARTMENT,31
64,INT DENTAL OFFICE,13
65,INT TV STUDIO,30
66,INT CHINESE RESTAURANT  NIGHT,6
67,INT REAL TV OFFICE,10
68,INT EWS BEDROOM  NIGHT,75
69,INT CAR  DAY,8
70,EXT STREET  CONTINUOUS,7
71,EXT STREET  LATER,12
72,INT VIDEO STORE  NIGHT,5
73,INT APARTMENT BUILDING HALLWAY NIGHT,71
74,INT HALLWAY,48
75,INT CYNTHIAS BEDROOM,6
76,INT HALLWAY,24
77,INT ANOTHER HALLWAY NIGHT,37
78,INT CONTROL TRUCK,6
79,INT SHARIS APARTMENT,43
80,INT RAYS APARTMENT,3
81,INT SHARIS APARTMENT,5
82,INT RAYS APARTMENT,5
83,INT SHARIS APARTMENT,20
84,INT RAYS APARTMENT,3
85,INT SHARIS APARTMENT,9
86,INT DORMITORY,12
87,INT DORM ROOM,3
88,INT TADS HOUSE,6
89,INT JOHNS HOUSE,5
90,INT RAYS APARTMENT,6
91,INT CYNTHIAS BEDROOM,9
92,INT SHARIS APARTMENT,29
93,INT CONTROL TRUCK,8
94,EXT BUILDING,4
95,INT SHARIS APARTMENT,5
96,EXT BUILDING,3
97,INT APARTMENT,41
98,EXT BUILDING,3
99,INT RAYS APARTMENT,3
100,EXT PRIVATE HOME  LATER,6
101,INT HOME  CONTINUOUS,129
102,INT OFFICE,15
103,INT SHARIS APARTMENT  DAY,56
104,EXT VIDEO STORE  DAY,81
105,INT REAL TV OFFICE  NIGHT,11
106,INT EDS BEDROOM,81
107,EXT SUBURBAN HOME  DAY,78
108,INT CYNTHIAS OFFICE,3
109,INT SHORT MONTAGE,18
110,INT LOCAL ROCK CLUB  NIGHT,13
111,EXT ROCK CLUB  A FEW MINUTES LATER,5
112,INT EDS KITCHEN  DAY,24
113,INT RESTAURANT,4
114,INT ROLLER RINK,4
115,INT PIZZA JOINT  NIGHT,8
116,INT TV NEWS SHOW THREE WEEKS LATER,35
117,INT CYNTHIAS OFFICE,66
118,INT SHARIS APARTMENT,4
119,INT TV STUDIO,12
120,INT DELICATESSAN  NIGHT,61
121,INT CAR  A FEW MINUTES LATER,18
122,INT BAR,65
123,INT BAR  LATER,20
124,INT SHARIS APARTMENT  LATER,128
125,INT DAVID LETTERMAN SHOW OR SOMETHING,19
126,INT GREEN ROOM  LATER,80
127,INT HEALTH CLUB  NEXT DAY,9
128,EXT COLLEGE,3
129,INT POKER GAME,5
130,INT TV STUDIO,44
131,INT EWS APARTMENT  DAY,37
132,INT EWS MOTHERS HOUSE,4
133,INT MARCIAS APARTMENT,5
134,INT RAYS APARTMENT,4
135,INT EDS APARTMENT,7
136,INT REAL TV OFFICE,10
137,INT AL AND JEANETTES HOUSE  DAY,208
138,INT EDS BEDROOM  NIGHT,3
139,INT CONTROL TRUCK,4
140,INT BATHROOM,15
141,INT CONTROL TRUCK,3
142,INT BATHROOM,3
143,INT SHARIS APARTMENT  LATER,30
144,INT EDS CAR  A FEW MINUTES LATER,57
145,INT TV  DAY,7
146,INT FRAT HOUSE  MORNING,7
147,EXT STREET  DAY,91
148,INT EDS APARTMENT,24
149,INT NETWORK CONFERENCE ROOM  DAY,39
150,EXT STREET  DAY,35
151,EXT STREET  DAY,4
152,INT SHARIS BUILDING  DAY,37
153,INT EDS BEDROOM  NIGHT,4
154,INT CYNTHIAS BEDROOM,7
155,EXT PARK  DAY,92
156,INT JILLS APARTMENT  NIGHT,27
157,EXT STREET  DAY,35
158,EXT MOVIE THEATRE  NIGHT,4
159,EXT STREET,3
160,EXT RESTAURANT,4
161,INT LIVING ROOM,10
162,INT BEDROOM,11
163,EXT STREET,4
164,EXT BUILDING,7
165,EXT RESIDENTIAL STREET,4
166,INT JILLS KITCHEN,25
167,INT BEDROOM,3
168,INT DORM ROOM,13
169,INT JILLS APARTMENT,8
170,INT SHARIS APARTMENT,5
171,INT CONTROL TRUCK,6
172,INT REAL TV OFFICE,19
173,EXT JILLS BUILDING,8
174,INT TV STUDIO,18
175,INT RESTAURANT  DAY,26
176,EXT STREET  DAY,45
177,INT HALLWAY  NIGHT,15
178,INT HOTEL ROOM,87
179,INT TV STUDIO,42
180,EXT EDS APARTMENT  DAY,8
181,INT EDS APARTMENT  CONTINUOUS,10
