1,EXT TITLE SEQUENCE P,35
2,INT PRIVATE CHAPEL ESCORIAL PALACE SPAIN  DAY,15
3,INT HALLWAYSALON ESCORIAL PALACE  DAY,28
4,EXT BALCONY ESCORIAL PALACE  DAY,14
5,EXT THAMES  DAY,26
6,INT PRIVY CHAMBER WHITEHALL PALACE  DAY,51
7,EXT THAMES  DAY,18
8,INT PRIVY CHAMBER WHITEHALL PALACE  DAY,27
9,EXT ROYAL BARGE THAMES  DAY,92
10,INT ST PAULS CATHEDRAL  DAY,57
11,INT QUEENS PRIVATE QUARTERS  NIGHT,23
12,INT QUEENS BEDCHAMBER  NIGHT,10
13,EXT FOREST SPAIN  DAY,58
14,EXT CHARTLEY HALL DAY,4
15,EXT CHARTLEY HALL GARDEN  DAY,7
16,INT MARY STUARTS QUARTERS CHARTLEY HALL  DAY,84
17,INT ARMOURERS SHOP LONDON  DAY,31
18,EXT WHITEHALL PALACE  DAY,68
19,INT CHAPEL ROYAL  DAY,9
20,EXT WHITEHALL PALACE  DAY,16
21,INT GREAT HALL WHITEHALL PALACE  DAY,67
22,INT ANTECHAMBER WHITEHALL PALACE  DAY,33
23,INT GREAT HALL WHITEHALL PALACE  DAY,219
24,INT HALLWAY WHITEHALL PALACE  DAY,48
25,EXT WOOD  DUSK,61
26,INT WALSINGHAMS HOUSE  EVENING,55
27,INT LIVING ROOM WALSINGHAMS HOUSE  NIGHT,85
28,INT GREAT HALL WHITEHALL PALACE  DAY,254
29,INT QUEENS PRIVATE QUARTERS  DAY,30
30,INT MARY STUARTS QUARTERS CHARTLEY HALL  DAY,96
31,INT ANTECHAMBER WHITEHALL PALACE  DAY,12
32,INT QUEENS PRIVATE QUARTERS  DAY,12
33,INT PRIVY CHAMBER WHITEHALL PALACE  DAY,18
34,INT PRIVY CHAMBER WHITEHALL PALACE  NIGHT,33
35,INT QUEENS PRIVATE QUARTERS WHITEHALL PALACE  NIGHT,123
36,EXT WINDSOR GREAT PARK  DAY,103
37,INT BESSS BEDROOM  NIGHT,2
38,INT WHITEHALL PALACE  NIGHT,6
39,EXT LONDON ALLEY  NIGHT,58
40,INT HALLWAY WHITEHALL PALACE  DAY,12
41,INT PRIVY CHAMBER WHITEHALL PALACE  DAY,8
42,INT QUEENS PRIVATE QUARTERS  DAY,51
43,INT HALLWAY WHITEHALL PALACE  DAY,27
44,INTEXT LONDON HOUSE  NIGHT,22
45,INT QUEENS PRIVATE QUARTERS  DAY,57
46,INT TORTURE ROOM  DAY,43
47,INT HALLWAY WHITEHALL PALACE  DAY,16
48,INT QUEENS PRIVATE QUARTERS WHITEHALL PALACE  DAY,36
49,EXT TORTURE ROOM  DAY,19
50,INT WHITEHALL PALACE  DAY,86
51,EXT SHIPYARD SPAIN  DAY,44
52,INT CAPTAINS CABIN TYGER  DAY,9
53,EXT DECK TYGER  DAY,50
54,INT QUEENS PRIVATE QUARTERS  DAY,81
55,EXT GALLOWS  DAY,13
56,INT SECRET ROOM  DAY,26
57,EXT GALLOWS  DAY,8
58,INT PRIVATE CHAPEL  NIGHT,77
59,EXT CHARTLEY HALL  DAY,15
60,INT CELLAR CHARTLEY HALL  DAY,16
61,INT CELLAR CHARTLEY HALL  DAY,6
62,INT HALLWAY CHARTLEY HALL  DAY,8
63,INT MARY STUARTS QUARTERS CHARTLEY HALL  DAY,23
64,EXT RIVERDEES HOUSE  DUSK,16
65,INT DEES HOUSE  DUSK,127
66,EXT THAMES  DUSK,6
67,INT RALEIGHS HOUSE  DUSK,4
68,INT QUEENS PRIVATE QUARTERS  NIGHT,9
69,INT SECRET ROOM  NIGHT,26
70,INT BESSS BEDROOM  NIGHT,25
71,INT QUEENS PRIVATE QUARTERS WHITEHALL PALACE  DAY,104
72,INT MARY STUARTS QUARTERS CHARTLEY HALL  DAY,14
73,INT SECRET ROOM  DAY,30
74,INT STUDY WALSINGHAMS HOUSE  NIGHT,66
75,EXT WHITEHALL PALACE  DAY,22
76,INT CHAPEL ROYAL  DAY,16
77,INT MARY STUARTS QUARTERS CHARTLEY HALL  DAY,55
78,INT PRISON  DAY,54
79,INT ESCORIAL PALACE SPAIN  DAY,16
80,INT QUEENS PRIVATE QUARTERS WHITEHALL PALACE  DAY,36
81,INT GREAT HALL FOTHERINGAY CASTLE  DAY,25
82,INT PRIVY CHAMBER WHITEHALL PALACE  NIGHT,22
83,INT HALLWAY WHITEHALL PALACE  DAY,21
84,INT QUEENS PRIVATE QUARTERS WHITEHALL PALACE  DAY,51
85,INT MARYS QUARTERS FOTHERINGAY CASTLE  NIGHT,20
86,INT GREAT HALL FOTHERINGAY CASTLE  DAY,22
87,INT QUEENS PRIVATE QUARTERS WHITEHALL PALACE  DAY,6
88,INT GREAT HALL FOTHERINGAY CASTLE  DAY,14
89,INT PRIVY CHAMBER WHITEHALL PALACE  DAY,12
90,INT GREAT HALL FOTHERINGAY CASTLE  DAY,4
91,INT GREAT HALL WHITEHALL  DAY,7
92,INT GREAT HALL FOTHERINGAY CASTLE  DAY,9
93,INT GREAT HALL WHITEHALL  DAY,11
94,INT GREAT HALL FOTHERINGAY CASTLE  DAY,10
95,INT COUNCIL CHAMBER ESCORIAL PALACE  DAY,19
96,INT HALLWAY WHITEHALL PALACE  NIGHT,7
97,INT PRIVY CHAMBER WHITEHALL PALACE  DAY,39
98,INT LISBON CATHEDRAL  DAY,18
99,INT QUEENS PRIVATE QUARTERS  NIGHT,102
100,EXT LISBON HARBOUR  DAY,10
101,INT ANTECHAMBER WHITEHALL PALACE  DAY,97
102,EXT SEA  DAY,9
103,INT ELIZABETHS BEDCHAMBER WHITEHALL PALACE  NIGHT,14
104,INT PRIVATE CHAPEL  NIGHT,21
105,INT MAP ROOM WHITEHALL PALACE  DAY,47
106,INT WHITEHALL PALACE  DAY,28
107,EXT THE LIZARD CORNWALL  DUSK,16
108,INT WHITEHALL PALACE  DUSK,73
109,EXT ENGLISH COAST  DUSK,13
110,INT DEES HOUSE  DUSK,49
111,INT WHITEHALL PALACE  NIGHT,20
112,EXT SEA  DAY,9
113,INT TOWER OF LONDON  DAY,20
114,EXT ENGLISH CHANNEL  DAY,11
115,INT ST PAULS CATHEDRAL  DAY,44
116,INT ESCORIAL PALACE  DAY,4
117,INT ESCORIAL PALACE SPAIN  DAY,7
118,EXT ENGLISH CHANNEL  DAY,6
119,INT PHILIPS CELL  DAY,8
120,INT TOWER OF LONDON  DAY,8
121,EXT ENGLISH CAMP TILBURY  DAY,9
122,INT QUEENS TENT TILBURY  DAY,22
123,EXT ENGLISH CHANNEL  DAY,9
124,INT ADMIRALS CABIN ARK ROYAL  DAY,31
125,INT QUEENS TENT TILBURY  DAY,19
126,EXT ENGLISH CAMP TILBURY  DAY,19
127,EXT HILL ABOVE THE ENGLISH CAMP  DAY,47
128,INT DEES HOUSE  DUSK,6
129,INT PHILIPS CELL  DUSK,3
130,EXT ARK ROYAL  DUSK,11
131,INT QUEENS TENT TILBURY  DUSK,5
132,EXT SPANISH SHIP  DUSK,19
133,EXT ARK ROYAL  DUSK,42
134,EXT SPANISH SHIP  DUSK,3
135,EXT SPANISH SHIP  DUSK,17
136,INT QUEENS TENT TILBURY  DUSK,26
137,EXT SPANISH SHIP  DUSK,6
138,EXT TYGER  DUSK,30
139,EXT ADMIRALS CABIN ARK ROYAL  DUSK,39
140,EXT ENGLISH CHANNEL  NIGHT,13
141,INT CHAPEL ESCORIAL PALACE  DAY,30
142,INT BESS THROCKMORTONS BEDROOM  DAY,7
143,INT WALSINGHAMS BEDROOM LONDON  DAY,10
144,EXT PARIS STREET  DAY,5
145,INT PARIS HOUSE  DAY,20
146,INT WALSINGHAMS BEDROOM LONDON  DAY,23
