1,EXT GRIFFITH PARK CAROUSEL  DAY,123
2,INT CORRIDOR  DAY MORNING,40
3,INT SAME BUILDING  MAIN FLOOR  DAY MORNING,18
4,EXT LA CONVENTION CENTER  DAY MORNING,6
5,INT ARCHERS OFFICE  DAY MORNING,39
6,EXT PRIVATE AIRPORT  ESTABLISHING  DAY,58
7,INT JET  DAY,23
8,EXTINT HUMVEE  MOVING  DAY,22
9,INT HUMVEE  DAY,80
10,INT HANGAR  DAY,142
11,EXT AIRPORT TARMAC  SUNSET,42
12,EXT,7
13,INT ARCHERS HOME  NIGHT,82
14,INT ARCHER HOME  NIGHT,15
15,INT FBI BUILDING  DAY,7
16,INT,39
17,INT ARCHERS OFFICE  DAY,53
18,INT ARCHERS OFFICE  DAY,42
19,EXT FBI BUILDING  INTELLIGENCE MEMORIAL  DAY,34
20,INT ICU ROOM  DAY,42
21,INT HOAGS SURGICAL BAY  DAY,84
22,INT INTERROGATION BOOTHS  DAY,57
23,INT CORRIDOR  OUTSIDE INTERROGATION BOOTHS  SAME TIME,12
24,INT INTERROGATION BOOTH  DAY,37
25,INT CORRIDOR  DAY,10
26,INT ICU  NIGHT,22
27,EXT ARCHER HOME  NIGHT,5
28,INT HALLWAY  NIGHT,6
29,INT MASTER BEDROOM  NIGHT,95
30,INT ANOTHER BEDROOM  NIGHT,8
31,INT CONVENTION CENTER  MACHINE ROOM  BLINKING,4
32,INTEXT  BUICKMOUNTAIN ROAD  MOVING  DAY,37
33,INT SURGICAL BAY  DAY,73
34,EXT HOAG INSTITUTE  GROUNDS  DAY,37
35,EXT HOAGS FACILITY  NIGHT,4
36,INT ICU ROOM  NIGHT,19
37,INT SURGICAL BAY  NIGHT,31
38,INT RECOVERY ROOM  DAY,62
39,EXT FBI HELIPORT  DAY,5
40,EXT HELIPAD  DAY,21
41,EXT HELIPORT  STAGING AREA  DAY,14
42,INT CHOPPER  FLYING  DAY,11
43,INT EREWHON PRISON  DELOUSING CUBICLE,66
44,INT GENERAL POPULATION  DAY,109
45,INT ARCHERS CELL  NIGHT,4
46,EXT HOAG INSTITUTE  NIGHT,5
47,INT SURGICAL BAY  NIGHT,35
48,EXT HOAG INSTITUTE  NIGHT LATER,4
49,INT SURGICAL BAY  NIGHT,22
50,INT PRISON  POPULATION  DAY,156
51,INT ARCHERS CELL  DAY,7
52,INT INTERROGATION ROOM  DAY,73
53,INT EREWHON PRISON PRESENT,35
54,INT CELL BLOCK  DAY,25
55,INT ARCHERS CAR  MOVING  DAY,57
56,INT ARCHERS HOUSE  DAY,4
57,INT STUDY  DAY,25
58,INT JAMIES ROOM  DAY,45
59,INT EREWHON PRISON  ARCHERS CELL,6
60,INT FBI  LOBBY CHECKPOINT  DAY,4
61,INT FBI INTERROGATION BOOTH  DAY,45
62,INT INTERROGATION ROOM  DAY,70
63,EXT CONVENTION CENTER  DAY,4
64,INT CONVENTION CENTER  SUBBASEMENT  EXTREME,34
65,INT EREWHON PRISON  POPULATION  DAY,23
66,EXT CONVENTION CENTER  DAY,19
67,INT EREWHON PRISON  POPULATION,8
68,INT FBI  BULLPEN  DAY,31
69,INT ARCHERS OFFICE  DAY,20
70,EXT ARCHERS HOME  DAY,37
71,INT ARCHERS HOME  NIGHT,91
72,INT BATHROOM  NIGHT,12
73,INT EREWHON PRISON  POPULATION  NIGHT,39
74,INT PRISON  POPULATION  NIGHT,2
75,INT CLINIC  NIGHT,90
76,INT CENTRAL SECURITY CONTROL,29
77,INT CABLE CORRIDOR,8
78,INT CENTRAL TOWER ROOM,62
79,INT HIGH CATWALK TOWER,12
80,EXT PRISON  DAWN,42
81,EXT ZODIAC  MOVING  DAY,34
82,INT ARCHER HOME  BEDROOM  DAY,5
83,EXT DRIVEWAY  DAY,34
84,INTEXT CAR  MOVING  DAY,32
85,EXT ST MARYS CEMETERY  DAY,31
86,INT FBI BULLPEN  DAY,37
87,EXT PIER  NIGHT,6
88,EXT TITOS STREET  NIGHT,5
89,INT TITOS DUPLEX  NIGHT,23
90,INT HOSPITAL  ER  NIGHT,52
91,INT FBI OFFICE,23
92,EXT GARAGE  NIGHT,23
93,INTEXT BUICK  MOVING  NIGHT,24
94,EXT MELROSE DISTRICT  NIGHT,4
95,INTEXT STREET  LEXUS  MOVING  NIGHT,40
96,EXT DOWNTOWN  LOFT  NIGHT LATER,5
97,INT DIETRICHS LOFT  BATHROOM  NIGHT,9
98,INT DIETRICHS LIVING ROOM  CONTINUOUS ACTION,141
99,INT KITCHEN  NIGHT,19
100,INT ARCHERS HOME  BALCONY  NIGHT,10
101,EXT HOUSE  NIGHT MOMENTS LATER,27
102,INT HOUSE  NIGHT,50
103,EXT LOFT  ACROSS STREET  NIGHT,12
104,INT SASHAS BEDROOM  NIGHT,64
105,EXT SASHAS ROOM  NIGHT,3
106,EXT ROOFTOP  NIGHT,21
107,INT SASHAS ROOM  NIGHT,53
108,INT UPPER LEVEL,35
109,INT KITCHEN,100
110,INT ROTUNDA  NIGHT,57
111,EXT ROOF  NIGHT,66
112,INT FBI  DAY,11
113,INT FBI  ARCHERS OFFICE  DAY,83
114,EXT GRIFFITH PARK OBSERVATORY  DAY,7
115,EXT CITY  VARIOUS SHOTS  DAY,4
116,EXT DOWNTOWN  BROADWAY  DAY,33
117,EXT STREET  DAY,8
118,INT FBI  DAY,20
119,EXT ROADBLOCK  DAY,4
120,EXT ARCHER HOME  BACK YARD  DAY,13
121,INT FBI  BULLPEN  DAY,26
122,INT ARCHER HOME  SUNSET,91
123,INT STUDY  LATER,62
124,INT ARCHERS BEDROOM  NIGHT,18
125,INT BATHROOM  NIGHT,5
126,EXT ARCHER HOME  NIGHT,17
127,EXT HOSPITAL  NIGHT,5
128,INT HOSPITAL  EVES OFFICE  NIGHT,63
129,INT ARCHER HOME  MASTER BEDROOM  NIGHT,4
130,INT HOSPITAL  EVES OFFICE  NIGHT,84
131,INT CORRIDOR  NIGHT,3
132,INT BURN WARD  NIGHT,37
133,EXT HOSPITAL PARKING LOT  DAWN,15
134,EXT OLD RANCH  HIGH GRASS  DAY,28
135,EXT ARCHERS HOME  DAY,20
136,EXT ST MARYSBYTHESEA  DAY,12
137,EXT SEASIDE  DAY,141
138,INT BOATHOUSE  DAY,89
139,EXT BOATHOUSE  SIDE ENTRANCE  DAY,6
140,INT BOATHOUSE  DAY,38
141,EXT MEMORIAL SERVICE  DAY,4
142,EXT BOATHOUSE  DAY,7
