1,INT CECAR ANNUAL CONFERENCE KL CONVENTION CENTER DAY,56
2,INT GLASS ELEVATOR IN ATRIUM OF WESTIN HOTEL DAY,12
3,INT PRESIDENTIAL SUITE WESTIN HOTEL KL DAY,69
4,EXT MANSION DAMANSARAN HEIGHTS ABOVE KL NIGHT,2
5,INT GROUND FLOOR MANSION NIGHT,22
6,INT LIBRARY NIGHT,10
7,INTEXT HAFIZS BMW MOVING NIGHT,90
8,INT GEORGETOWN BAR NIGHT,103
9,INT CAR NIGHT,34
10,FLASHBACK INT TURKISH AMBASSADORS RESIDENCE  NIGHT,47
11,INT KITCHEN DAY,43
12,INT COUNTER PROLIFERATION DIVISION BASEMENT DAY,29
13,FLASHBACK INT KOPA OLEOCHEMICALS  KUALA LUMPUR NIGHT,7
14,FLASHBACK INT HAFIZS APARTMENT  KUALA LUMPURDAY,8
15,FLASHBACK INT KUALA LUMPUR SUBWAY TRAIN,12
16,INT VALERIES OFFICE CPD LANGLEY DAY,11
17,EXT TELUDYNE INDUSTRIES LOWELL MASSACHUSETTS DAY,6
18,EXT GOZA TECHNOLOGIES  MEADOWLANDS PKWY NJ NIGHT,10
19,INT BONDED CUSTOMS WAREHOUSE PORT NEWARK NIGHT,33
20,INT LOS ALAMOS NATIONAL LABORATORY EXHIBITION CENTER DAY,55
21,INT COUNTER PROLIFERATION DIVISION LANGLEY DAY,34
22,INT CORRIDOR LANGLEY DAY,55
23,INT JOE WILSONS DEN CHARLESTON TERRACE WASHINGTION DAY,45
24,INT OPEN PLAN OFFICE LANGLEY LATE AT NIGHT,47
25,INT MARBLE LOBBY CIA HEADQUARTERS LANGLEY DAY,6
26,FLASHBACK INT BEDROOM  DAY,34
27,INT ELEVATOR CIA HEADQUARTERS LANGLEY DAY,14
28,INT BASEMENT LANGLEY DAY,56
29,EXT TAXI NIGERIEN ROAD DAY,3
30,INT HOTEL ROOM NAIMEY DAY,3
31,INT BATHROOM DAY,5
32,EXT OUTSIDE DUSTY BODEGA DAY,17
33,INT CONFERENCE ROOM DIRECTORATE OF INTELLIGENCE DAY,89
34,EXT DESERT ROAD DAY,17
35,INT HOTEL DAY,8
36,EXT ROADSIDE VILLAGE DAY,92
37,INT CHIEFS OFFICE DAY,15
38,INT MIKES OFFICE DAY,7
39,INT BRIEFING ROOM DAY,13
40,INT CIA MESS HALL ND FLOOR LANGLEY DAY,56
