1,EXT DESERT  DAY,13
2,EXT DESERT  DAY,22
3,INT CAVERN  MOMENTS LATER,144
4,INT CRASHED CAR  NIGHT,3
5,EXT BAR  NIGHT,16
6,INT BAR  CONTINUOUS,52
7,EXT PRAIRIE LAND  NIGHT,2
8,INT BAR  NIGHT,68
9,EXT PRAIRIE LAND  NIGHT,2
10,INT BAR  NIGHT,29
11,INT BAR  BASEMENT  NIGHT,13
12,EXT PRAIRIE LAND  NIGHT,2
13,INT BAR  NIGHT,42
14,EXT PRAIRIE LAND  NIGHT,2
15,INT BAR  NIGHT,26
16,EXT PRAIRIE LAND  NIGHT,2
17,INT BAR  NIGHT,17
18,EXT BAR  NIGHT,2
19,INT BAR  NIGHT,32
20,EXT PRAIRIE LAND  NIGHT,2
21,INT BAR  NIGHT,41
22,EXT PRAIRIE LAND  NIGHT,2
23,INT BAR  NIGHT,8
24,INT BAR  SECOND FLOOR  NIGHT,23
25,INT BAR  NIGHT,9
26,EXT BAR  NIGHT,2
27,INT BAR  NIGHT,120
28,EXT BAR  CONTINUOUS,2
29,INT BAR  CONTINUOUS,61
30,INT BAR  NIGHT,88
31,EXT PRAIRIE LAND  NIGHT,6
32,INT BAR FRONT  NIGHT,5
33,EXT PRAIRIE LAND  NIGHT,5
34,INT BAR  NIGHT,9
35,EXT PRAIRIE LAND  NIGHT,2
36,INT BAR  CONTINUOUS,282
37,INT BAR  NIGHT,100
38,INT BAR  CONTINUOUS,16
39,INT BAR  CONTINUOUS,8
40,INT BAR  CONTINUOUS,10
41,INT BAR  CONTINUOUS,8
42,INT BAR  CONTINUOUS,8
43,INT BAR  CONTINUOUS,35
44,EXT PRAIRIE LAND  EVENING,2
45,INT FARMHOUSE  CONTINUOUS,11
46,EXT PRAIRIE LAND  CONTINUOUS,3
47,INT FARMHOUSE  CONTINUOUS,12
48,INT BAR  NIGHT,12
49,EXT FARMHOUSE  MORNING,3
50,INT BAR  NIGHT,8
51,EXT PRAIRIE LAND  LATE DAY,3
52,EXT GAS STATION  CONTINUOUS,16
53,INT BAR  NIGHT,6
54,EXT GAS STATION  LATE DAY,5
55,INT GAS STATION  CONTINUOUS,3
56,EXT GAS STATION  CONTINUOUS,2
57,INT BAR  NIGHT,3
58,EXT GAS STATION  LATE DAY,13
59,INT BAR  NIGHT,4
60,EXT GAS STATION  SUNSET,6
61,INT CAMARO  CONTINUOUS,16
62,INT BAR  NIGHT,6
63,INT CAMARO  NIGHT,14
64,INT BAR  NIGHT,5
65,INT CAMARO  NIGHT,4
66,INT BAR  NIGHT,879
67,INT BAR  CONTINUOUS,44
68,INT BAR  BASEMENT  CONTINUOUS,57
69,INT BAR  NIGHT,15
70,INT TUNNEL  NIGHT,26
71,INT BAR  NIGHT,32
72,INT TUNNEL  NIGHT,72
73,INT TUNNELBASEMENT  NIGHT,21
74,INT TUNNEL  NIGHT,189
75,EXT BAR  CONTINUOUS,6
76,INT BAR  CONTINUOUS,47
77,EXT BAR  MOMENTS LATER,6
78,INT BAR  MOMENTS LATER,62
79,EXT BAR  CONTINUOUS,121
80,INT BAR  CONTINUOUS,5
81,EXT BAR  CONTINUOUS,32
82,INT BAR  CONTINUOUS,8
83,INT BOZOS CAR  CONTINUOUS,4
84,EXT BAR  CONTINUOUS,13
85,EXT BAR  CONTINUOUS,2
86,INT BARTENDERS CAR  CONTINUOUS,73
87,EXT TOWN ROAD  DAY,4
88,EXT TOWN ROAD  DAY,3
89,EXT HEROINES GRANDMOTHERS HOUSE  DAY,2
90,INT BARTENDERS CAR  CONTINUOUS,2
91,INT ADULTERERS CAR  DAY,3
92,INT HEROINES GRANDMOTHERS HOUSE  DAY,2
93,INT ADULTERERS HOUSE  DAY,2
94,INT HEROINES GRANDMOTHERS HOUSE  DAY,5
95,INT ADULTERERS HOUSE  DAY,3
96,INT HEROINES GRANDMOTHERS HOUSE  DAY,11
97,INT ADULTERERS HOUSE  DAY,5
98,EXT IGA GROCERY STORE  DAY,4
99,INT BARTENDERS CAR  CONTINUOUS,5
100,EXT IGA GROCERY STORE  CONTINUOUS,72
101,EXT IGA GROCERY STORE  AN HOUR LATER,31
102,INT IGA GROCERY STORE  CONTINUOUS,22
