1,EXT CRYSTAL LAKE  NIGHT,14
2,INT HOUSEBOAT  NIGHT,20
3,EXT HOUSEBOAT DECK  NIGHT,8
4,EXT UNDERWATER  NIGHT TANK,4
5,INT HOUSEBOAT  NIGHT,52
6,INT HOUSEBOAT  CONTINUOUS,11
7,INT HOUSEBOAT  NIGHT,10
8,INT HOUSEBOAT  NIGHT,19
9,INT HOUSEBOAT  NIGHT,38
10,EXT UNDERWATER  NIGHT TANK,4
11,INT HOUSEBOAT  CONTINUOUS,3
12,EXT UNDERWATER  NIGHT TANK,6
13,INT HOUSEBOAT  CONTINUOUS,3
14,EXT UNDERWATER  NIGHT TANK,5
15,EXT HOUSEBOAT  ON LAKE SURFACE EFX,4
16,EXT CAMP CRYSTAL LAKE  WIDE SHOT FROM WATER,3
17,INT HOUSEBOAT  CONTINUOUS,14
18,EXT UNDERWATER  NIGHT TANK,4
19,INT HOUSEBOAT  CONTINUOUS,34
20,EXT HOUSEBOAT  CLOSE ON HOCKEY MASK,5
21,INT HOUSEBOAT  CONTINUOUS,15
22,EXT HOUSEBOAT  NIGHT,3
23,INT HOUSEBOAT  CONTINUOUS,40
24,EXT CRYSTAL LAKE  NIGHT,6
25,EXT HARBOR  ESTABLISHING  DAY,5
26,EXT DOCKSIDE  DAY,71
27,INT  BMW   DAY,135
28,EXT DOCKSIDE  DAY,54
29,EXT DOCK PILINGS  SAME TIME,16
30,EXT DOCKSIDE  SAME TIME,45
31,EXT RAMPSHIP  ON RENNIE,41
32,INT BRIDGE  CLOSE ON HARPOON  DAY,96
33,EXT DECK  ON SEAN,9
34,EXT HARBOR  DAY CRANE SHOT,12
35,EXT DECK  DAY,84
36,INT JJS STATEROOM  DAY,38
37,INT CORRIDOR  TRACKING WITH WAYNE,7
38,INT POWER ROOM  DAY,34
39,EXT UPPER DECK  SAME TIME,4
40,INT POWER ROOM  SAME TIME,8
41,EXT UPPER DECK  SAME TIME,6
42,EXT OCEAN  NIGHT EFX,8
43,INT RENNIES STATEROOM  NIGHT,12
44,EXT OUTSIDE DECK  SAME TIME,41
45,INT SHIP CORRIDOR  NIGHT,4
46,INT MENS GYM  DAY,58
47,INT STATEROOM HALLWAY  NIGHT,19
48,INT SERVICE AREA  NIGHT,77
49,INT SERVICE AREA  SAME TIME,72
50,INT SHIP CORRIDOR  TRACKING WITH TOBY  SAME TIME,17
51,EXT DECK POOL  ON RENNIE AND MISS VAN DEUSEN,73
52,EXT POOL SIDE  SAME TIME,95
53,INT TAMARAS STATEROOM  NIGHT,21
54,EXT DECK CORRIDOR  STALKING POINT OF VIEW,4
