1,INT LOFT APARTMENT  MANHATTAN  MORNING,43
2,EXT LOFT BUILDING,11
3,EXT UNITED NATIONS PLAZA APTS   MORNING,25
4,EXT TH STREET AND FIRST AVENUE  A LITTLE LATER,8
5,INT TAXI,32
6,EXT STREET CORNER,12
7,INT FOYER,6
8,INT BUCHANAN APARTMENT  SECONDS LATER,16
9,INT HALLWAY,11
10,INT BEDROOM  LATER,154
11,INT STEVEN SCHWIMMERS LOFT,20
12,INT TAXI,35
13,INT SECOND TAXI,60
14,EXT THE STREET,7
15,INT COFFEE SHOP,27
16,INT COFFEE SHOP  LATER,56
17,INT COFFEE SHOP  NEAR THE CASH REGISTER  LATER,27
18,EXT THE STREET,14
19,INT TAXI,15
20,INT BANK,35
21,INT TAXI,37
22,EXT THE STREET,8
23,INT TAXI,38
24,EXT THE STREET,8
25,INT RESTAURANT  LATER,115
26,INT RESTAURANT  LATER  SAME TABLE,12
27,EXT STREET,7
28,INT STEVEN SCHWIMMERS LOFT,24
29,INT RESTAURANT  MAIN ROOM  LATER,38
30,EXT SHEA STADIUM,7
31,INT SHEA STADIUM  LOCKER ROOM,7
32,INT THE MENS ROOM  A LITTLE LATER,50
33,INT RESTAURANT LATER,53
34,INT THE ENTRANCE WAY  A LITTLE LATER,25
35,EXT STREET  DAY,26
36,EXT STREET  LATER,10
37,INT THE TAXI  NICKY AND ELLIOT,30
38,EXT THE STREET,18
39,INT GOTHAM BOOK MART,18
40,INT GOTHAM BOOK MART  A MOMENT LATER,55
41,EXT THE BARRYMORE THEATER,5
42,INT THE BARRYMORE THEATER  STAGE ENTRANCE,15
43,INT THE BARRYMORE THEATER  THE ORCHESTRA,57
44,INT THE BARRYMORE THEATER THE STAGE  NICKY AND PETER,60
45,INT THE BARRYMORE THEATER  THE WINGS,15
46,INT THE BARRYMORE THEATER  THE STAGE,44
47,INT THE BARRYMORE THEATER  AISLE  A LITTLE LATER,45
48,INT LOBBY  CONTINUOUS,29
49,EXT BARRYMORE THEATRE  DAY,6
50,INT STEVEN SCHWIMMERS LOFT,32
51,INT STEVEN SCHWIMMERS LOFT  A LITTLE LATER,55
52,EXT STREET CORNER CASH MACHINE,7
53,EXT THE BARRYMORE THEATER,55
54,INT TAXI,36
55,EXT THE STREET,6
56,INT MICHAEL ROGANS KITCHEN,57
57,INT MICHAEL ROGANS KITCHEN  LATER,110
58,EXT THE STREET,9
59,INT MICHAEL ROGANS LIVING ROOM,68
60,EXT STREET BUILDING,7
61,INT THE BARBER SHOP,143
62,EXT SHEA STADIUM,8
63,INT STEVEN SCHWIMMERS LOFT,26
64,EXT THE BARRYMORE,12
65,INT TAXI,91
66,INT MANIONS OLD TIMER TAVERN,25
67,INT MANIONS OLD TIMER TAVERN  THE TABLE LATER,30
68,INT THE BARRYMORE THEATER  DRESSING ROOM,22
69,INT MANIONS OLD TIMER TAVERN  THE MAIN ROOM  LATER,37
70,INT MANIONS OLD TIMER TAVERN  THE TABLE,5
71,INT THE BARRYMORE,16
72,INT MANIONS OLD TIMER TAVERN  LATER,47
73,INT MANIONS OLD TIMER TAVERN  THE BOOTH,49
74,INT MANIONS OLD TIMER TAVERN  THE BAR,9
75,INT MANIONS OLD TIMER TAVERN  THE BOOTH  LATER,88
76,INT MANIONS OLD TIMER TAVERN  THE BAR,4
77,EXT THE STREET,13
78,INT MANIONS OLD TIMER TAVERN,36
79,INT MANIONS OLD TIMER TAVERN  THE TABLE,29
80,INT THE BARRYMORE,25
81,INT THE BARRYMORE  THE ORCHESTRA SEATS,6
82,INT THE BARRYMORE  THE STAGE,7
83,INT THE BARRYMORE  THE WINGS,7
84,INT MANIONS OLD TIMER TAVERN,7
85,INT MANIONS OLD TIMER TAVERN  THE TABLE,46
86,INT MANIONS OLD TIMER TAVERN  THE TABLE,28
87,INT MANIONS OLD TIMER TAVERN  THE TABLE,20
88,INT THE BARRYMORE,11
89,INT MANIONS OLD TIMER TAVERN,31
90,INT MANIONS OLD TIMER TAVERN  THE TABLE,9
91,INT MANIONS OLD TIMER TAVERN  THE TABLE,15
92,INT RED SOX LOCKER ROOM,7
93,INT MANIONS OLD TIMER TAVERN  THE TABLE,31
94,INT MANIONS OLD TIMER TAVERN  THE TABLE,18
95,INT MANIONS OLD TIMER TAVERN  THE TABLE,34
96,INT MANIONS OLD TIMER TAVERN  THE TABLE,20
97,INT MANIONS OLD TIMER TAVERN  THE TABLE,28
98,INT MANIONS OLD TIMER TAVERN  THE TABLE,18
99,INT THE BARRYMORE,18
100,INT MANIONS OLD TIMER TAVERN  MENS ROOM,71
101,INT MANIONS OLD TIMER TAVERN  THE BAR AREA  A LITTLE ,18
102,EXT LOFT BUILDING,7
103,INT STEVENS LOFT,51
104,INT THE ENTRANCEWAY,7
105,INT THE LOFT,44
106,INT THE LANDING,38
107,INT THE LOFT,8
108,INT THE LANDING,17
109,INT THE LOFT,240
110,EXT TH STREET NEAR ELEVENTH AVENUE,8
111,INT TAXI,12
