1,INT TRAIN  DAY,92
2,INT TUNNEL   DAY,11
3,EXT SPAWN POINT   CONTINUOUS,7
4,EXT SLAYERS BATTLEGROUND ,179
5,INT SAVE POINT ,9
6,EXT SAVE POINT ,30
7,INT TRAIN  LATER,37
8,INT LAB  TIME INDETERMINATE,22
9,INT TELNET CONTROL ROOM  DAY,11
10,INT TELNET NEWSROOM CORRIDOR  CONTINUOUS,53
11,INT NEWSCAST,109
12,INT TELNET  INTERVIEW STUDIO LIVE  CONTINUOUS,55
13,INT STUDIO BOOTH OFF CAMERA  SIMULTANEOUS,6
14,INT TELNET  INTERVIEW STUDIO LIVE  CONTINUOUS,45
15,INT TELNET  INTERVIEW STUDIO LIVE,69
16,INT STUDIO BOOTH OFF CAMERA  SIMULTANEOUS,31
17,INT TELNET  INTERVIEW STUDIO LIVE CONTINUOUS,52
18,INT THE INTERVIEW STUDIO CONTINUOUS,14
19,INT STUDIO BOOTH OFF CAMERA  SIMULTANEOUS,86
20,EXT PRISON YARD  DAY,41
21,EXT PRISON REC AREA  DAY,18
22,EXT SUNSOAKED EXTERIOR,9
23,EXT PRISON YARD  DAY,57
24,INT PRISON  NIGHT,91
25,EXT PRISON RUNNING TRACK  DAY,10
26,EXT URBAN DOWNTOWN   SIMULTANEOUS,6
27,EXT PRISON RUNNING TRACK  SIMULTANEOUS,5
28,EXT URBAN DOWNTOWN   DAY,6
29,EXT PRISON RUNNING TRACK  SIMULTANEOUS,4
30,EXT TIMES SQUARE  DAY,7
31,EXT PRISON RUNNING TRACK  SIMULTANEOUS,15
32,INT A DOZEN DARK ROOMS  DAY,7
33,EXT SLAYERS BATTLEGROUND   DAY,7
34,EXT SLAYER BATTLEGROUND   STREET,24
35,INT FRAT HOUSE  SIMULTANEOUS,9
36,EXT SLAYERS BATTLEGROUND   DRAINAGE DITCH  CONTINUOUS,5
37,INT SLAYERS BATTLEGROUND   STAIRWAY,7
38,INT SLAYERS BATTLEGROUND   ND FLOOR,52
39,EXT SLAYERS BATTLEGROUND ,18
40,INT THE TRAIN  TIME INDETERMINATE,9
41,INT SIMONS HOUSE  DAY,15
42,INT SIMONS HOUSE  HALLWAY,10
43,INT SIMONS ROOM  CONTINUOUS,201
44,EXT SOCIETY  DAY,44
