1,EXT HIGH PLAINS  HILLSIDE  DAY,39
2,INT BAD IRON BIKE REPAIR  DAY,31
3,EXT BAD IRON SHOP YARDDIRT ROAD  DAY,15
4,EXT HIGH PLAINS  DAY,52
5,INT SIMPSON HOME  DINING ROOM  NIGHT,75
6,INT APARTMENT  LIVING ROOM  NIGHT,54
7,EXT DERELICT AMUSEMENT PARK  NIGHT,92
8,INT BLAZES APARTMENT  NIGHT,28
9,EXT BLAZES APARTMENT  PARKING LOT  NIGHT,3
10,INT EL CAMINO  NIGHT,5
11,EXT PARKING LOT  NIGHT,3
12,INT EL CAMINO  NIGHT,12
13,EXT RURAL ROAD  NIGHT,3
14,INT EL CAMINO  NIGHT,31
15,EXT ARROYO  NIGHT,19
16,INT HOSPITAL CORRIDOR  NIGHT,42
17,INT ICU WARD  NIGHT,59
18,INT MOTEL ROOM  BATHROOM  DUSK,13
19,INT SEVEN ELEVEN  DUSK,38
20,EXT SEVEN ELEVENDEADFALL GAS STATION  DUSK,40
21,INT MOTEL ROOM  BEDROOM  DUSK,24
22,EXT ROAD  DUSK,3
23,INT NOMIS PICKUP  DUSK,16
24,INT LAKOTA MOTEL  DUSK,12
25,EXT ROAD  DUSK,11
26,INT LAKOTA MOTEL  DUSK,20
27,EXT ROAD  DUSK,10
28,INT LAKOTA MOTEL  DUSK,5
29,EXT ROAD  DUSK,41
30,INT LAKOTA MOTEL  DUSK,4
31,EXT ROAD  DUSK,4
32,INT LAKOTA MOTEL  NIGHT,6
33,EXT ROAD  NIGHT,178
34,INT HOSPITAL  TRAUMA WARD  NIGHT,74
35,INT HOSPITAL  HALLWAY  NIGHT,27
36,EXT MAIN STREET  DAY,31
37,EXT HIGH PLAINS  DAY,36
38,EXT FOOTHILLS  DUSK,36
39,INT AIRSTREAM  DUSK,103
40,EXT AIRSTREAM  NIGHT,71
41,EXT WHEATFIELD  DAWN,27
42,INT LONE STAR RENTACAR  DAY,174
43,EXT LONE STAR RENTACAR  DAY,41
44,EXT RENTAL CAR LOT  DAY,43
45,EXT BADLANDS  DAWN,4
46,INT HUMMER  DAWN,92
47,EXT BLACK HILLS  HIGHWAY  DAY,19
48,INT INDIAN CASINO  DAY,98
49,EXT TRACT HOMES  DUSK,17
50,INT CARRIGANS HOUSE  DUSK,31
51,INT CARRIGANS HOUSE  BEDROOM  NIGHT,87
52,INT CARRIGANS HOUSE  LIVING ROOM  NIGHT,20
53,EXT CARRIGANS HOUSE  BACK PORCH  NIGHT,20
54,INT CARRIGANS HOUSE  VARIOUS  NIGHT,11
55,EXT CARRIGANS HOUSE  BACK PORCH  NIGHT,13
56,INT CARRIGANS HOUSE  BEDROOM  NIGHT,4
57,INT CARRIGANS HOUSE  BACK PORCH  NIGHT,13
58,INT CARRIGANS HOUSE  BEDROOM  NIGHT,9
59,INT CARRIGANS HOUSE  HALLWAY  NIGHT,35
