1,INT TRIBECA LOFT  DAY,146
2,EXT MARKET SECURITY BANK  TRUST  HEADQUARTERS  DAY,44
3,INT BANK HEADQUARTERS ELEVATOR  DAY,26
4,INT BANK HEADQUARTERS EXECUTIVE OFFICES  DAY,41
5,INT WELLAPPOINTED EXECUTIVE BOARDROOM  DAY,139
6,INT LOFT  DAY,31
7,INT KITCHEN  DAY  LATER,75
8,INT MOLLYS STUDIO  NIGHT,142
9,EXT WALL STREET ESTABLISHING SHOT  DAY,2
10,INT SAMS OFFICE  DAY,58
11,INT SPRING STREET REPERTORY  NIGHT,7
12,EXT SPRING STREET REPERTORY  NIGHT,163
13,INT LOFT  NIGHT,69
14,EXT NEW YORK STREETS  NIGHT,4
15,INT AMBULANCE  NIGHT,10
16,INT HOSPITAL EMERGENCY ROOM  NIGHT,99
17,EXT CEMETERY  DAY,69
18,INT LOFT  DAY,58
19,INT BEDROOM  DAY,30
20,INT KITCHEN  DAY,100
21,INT LOFT  AN HOUR LATER,83
22,EXT NEW YORK STREET  DAY,17
23,EXT NEW YORK SUBWAY STATION  DAY,2
24,INT SUBWAY TRAIN  DAY,37
25,EXT ELEVATED SUBWAY STATION  DAY,6
26,EXT BROOKLYN STREETS  DAY,3
27,EXT  PROSPECT PLACE  DAY,12
28,EXT  PROSPECT PLACE  DAY,3
29,INT TENEMENT HALLWAY  DAY,4
30,INT WILLIES APARTMENT  DAY,30
31,EXT BROOKLYN STREETS  DAY,25
32,INT STOREFRONT  DAY,13
33,INT SEANCE ROOM  DAY,222
34,INT CLOSET  DAY,17
35,INT ODA MAES LIVINGROOM  DAY,67
36,INT LOFT  DAY,29
37,INT ODA MAES KITCHEN  DAY,9
38,INT ODA MAES BEDROOM  NIGHT,19
39,EXT NEW YORK CITY BUS  ESTABLISHING SHOT  DAY,1
40,INT BUS  DAY,11
41,EXT LOFT BUILDING  DAY,29
42,INT LOFT  DAY,20
43,EXT TRIBECA STREET  DAY,53
44,INT SOHO LUNCHEONETTE  DAY,68
45,INT LOFT  DAY,149
46,INT KITCHEN  THAT NIGHT,81
47,INT CARLS CAR  NIGHT,3
48,INT WILLIES BUILDING  NIGHT,77
49,EXT STREET  NIGHT,11
50,EXT LOFT BUILDING  DAY,8
51,EXT BROOKLYN STREETS  ELEVATED TRAIN  DAY,13
52,EXTINT WILLIES BUILDING,5
53,INT LIVINGROOM  DAY,8
54,INT POLICE STATION  DETECTIVES OFFICE  DAY,140
55,INT BEDROOM  LATE AFTERNOON THE SAME DAY,9
56,INT CARLS OFFICE  NIGHT,45
57,INT LOFT  THE SAME NIGHT,56
58,INT LIVINGROOM  NIGHT,150
59,INT SUBWAY STATION  NIGHT,4
60,INT SUBWAY TRAIN  NIGHT,145
61,INT SUBWAY STATION  NIGHT,14
62,INT SEANCE ROOM  NIGHT,163
63,INT SEANCE ROOM  NIGHT,82
64,EXT STREET  NIGHT,4
65,INT SEANCE ROOM  NIGHT,40
66,EXT NEW YORK STREET  DAY,13
67,INT MARKET SECURITY BANK  TRUST  DAY,88
68,INT CARLS OFFICE,17
69,INT MARKET SECURITY BANK  TRUST  DAY,183
70,INT CARD FILE ROOM  DAY,3
71,INT CARLS OFFICE  DAY,8
72,INT MARKET SECURITY BANK  TRUST  DAY,97
73,INT CARLS OFFICE  DAY,31
74,EXT MARKET SECURITY BANK  TRUST  DAY,83
75,INT CARLS OFFICE  NIGHT,67
76,INT LOFT  THE SAME NIGHT,75
77,INT KITCHEN,69
78,INT ODA MAES LIVINGROOM  NIGHT,21
79,EXT STREET,4
80,INT LIVINGROOM,7
81,EXT ODA MAES APARTMENT BUILDING  NIGHT,3
82,INT ODA MAES LIVINGROOM  NIGHT,7
83,EXT APARTMENT BUILDING  NIGHT,2
84,INT APARTMENT HALLWAY  NIGHT,10
85,INT APARTMENT STAIRWAY  NIGHT,2
86,INT APARTMENT HALLWAY  NIGHT,12
87,INT HALLWAY  FISHEYE LENS VIEW,17
88,INT ODA MAES LIVINGROOM  NIGHT,53
89,INT HALLWAY,5
90,EXT BROOKLYN STREET  NIGHT,14
91,EXT STREET  NIGHT,26
92,INT OLD LADYS APARTMENT  NIGHT,21
93,INT TAXI CAB  NIGHT,14
94,INT LOFT  NIGHT,84
95,INT LOFT  NIGHT,124
96,INT STAIRWELL  NIGHT,4
97,INT LOFT  NIGHT,9
98,EXT FIRE ESCAPE  NIGHT,2
99,INT LOFT  NIGHT,3
