1, EXT CHINATOWN STREET  MORNING ,9
2, INT MR WINGS STORE,4
3, EXT STREET ,7
4,INT MR WINGS STORE ,96
5,A INT LIMOEXT CHINATOWN STREET MOING  DAY A,12
6, EXT CEMETERY  MORNING ,3
7, EXT CLAMP CENTRE  DAY ,3
8, INT CLAMP CENTRE  CABLE TV EDITING ROOM ,29
9, INT MR WINGS STORE ,9
10,B INT STORE,6
11,C EXT ALLEY BEHIND STORE C,19
12,EXT NEW YORK STREETS TIMES SQUARE AREA  MORNING,36
13, EXT TH STREET ,17
14,A EXT STREET NEAR CLAMP CENTRE  MORNING,37
15, EXT CLAMP CENTRE ,14
16, INT CLAMP CENTRE LOBBY ,85
17, INT ELEVATOR C ,37
18, INT OFFICE AREA ,127
19, INT LOBBY ,25
20, INT CABLE STUDIOS OL ROOM ,14
21, INT GRANDPA FREDS STUDIO ,104
22, INT LOBBY  BILLY AND GRANDPA FRED,64
23,Z INT SYSTEMS CONTROL CENTER ,100
24, INT GENETICS LAB  RECEPTION AREA ,6
25,A INT CORRIDORGENETICS LAB A,16
26,B INTRECEPTION AREA B,50
27, INT GENETICS LAB,155
28, INT BILLYS  ,58
29, INT SPLICEOLIFE  RECEPTION AREA ,8
30, INT GENETICS LAB ,70
31, INT CORRIDOR ,4
32, INT BATHROOM ,8
33,INT BATHROOM,55
34, INT CORRIDOR ,58
35, INT BILLYS CUBICLE ,177
36,A INT LOBBY A,7
37, INT TOUR GUIDES OFFICE ,70
38,A INT LOBBY  KATES POV A ,10
39,A INT BILLYS OFFICE AREA A,92
40,BB INT VENT BB,16
41,A INT BILLYS OFFICE AREA  ELEVATORS A,8
42, INT LOBBY ,3
43,A INT LOBBY ELEVATORS ANOTHER ANGLE A,6
44,A INT BILLYS OFFICE A,30
45,B INT LOBBY B,4
46, INT BILLYS OFFICE ,32
47, INT CANADIAN RESTAURANT  NIGHT ,121
48, EXT BILLY AND KA BUILDING  NIGHT ,5
49,  INT BILLY AND KATES APARTMENT  KITCHEN ,34
50,A EXT BILLY AND KATES APARTMENT BUILDING  NIGHT A,7
51,INT BILLY AND KATES APARTMENT ENTRYWAY  NIGHT ,231
52, INT CLAMP CENTRE  LOBBY,49
53, EXT CLAMP CENTRE ,2
54, INT LOBBY  BILLY AND KATE ,30
55, INT BASEMENT ,25
56, INT SYSTEMS CONTROL CENTER ,11
57,  INT BASEMENT ,70
58,EXT POLICE STATION  EARLY MORNING ,28
59, INT BASEMENT CREVICE ,3
60, INT LOBBY ,3
61, INT BASEMENT CREVICE ,2
62, INT VENT SPACE ,8
63, INT BASEMENT ,11
64, INT LOBBY ,107
65, INT SYSTEMS CONTROL CENTER  ,54
66,A INT CABLE TV STUDIOS A,22
67,B INT MICROWAVE MARGES SET B,21
68, INT SYSTEMS CONTROL CENTER ,43
69, INT CABLE TV STUDIOS ,67
70, INT XEROX ROOM ,17
71,A INT SYSTEMS CONTROL CENTER A,47
72,B INT CLAMP CENTRE LOBBYELEVATORS B,2
73,C INT ELEVATOR C,12
74, INT CLAMPS OFFICE ,55
75, INT CLAMPS OFFICE ,3
76, A INT CLAMPS OUTER OFFICE A,97
77, INT ELEVATOR   ,14
78, INT CONTROL PANEL AREA ,11
79, INT ELEVATOR SHAFT ,5
80,A INT ELEVATOR I OOA,2
81, INT CONTROL PANEL AREA ,4
82,OOC INT ELEVATOR SHAFT  C,11
83, INT ELEVATOR ,3
84, INT PARKING VESTIBULE,14
85, INT CLAMPS OUTER OFFICE  ,143
86, EXT BUILDING  THE SKY ,6
87, EXT NEW YORK  PIGEON ON STATUE,16
88, INT GRANDPA FREDS SET,43
89, INT LOBBY  ,41
90,AA INT CLAMP CABLE STUDIOS,32
91,A INT LOBBY  ANGLE STOCK BROERA A,40
92, INT STAIRWELL ,5
93,  INT LOBBY ,27
94,C INT AN OFFICE CORRIDOR ,21
95,  EXT CATHEDRAL  DAY  ,55
96, INT CORRIDOR ,35
97, INT OUR THEATER ,10
98, INT OUR THEATER ,4
99, INT LOY OUR THEATER ,49
100, INT CABLE TV CONTROL BOOTH ,31
101, INT CORRIDOR  FOLLOWING FRED LI ,15
102, INT MARLAS OFFICE ,29
103,A INT LOBBY  ENTRANCE TO TOY STORE A,3
104,B INT TOY STORE B,6
105, INT GENETICS LAB ,52
106, INT CLAMPS OFFICE ,41
107, EXT CLAMP CENTRE BUILDING ,17
108, INT XEROX ROOM ,33
109, INT HALLWAY,7
110, EXT CLAMP CENTRE BUILDING ,21
111, EXT CLAMP PLAZA BUILDING ,47
112, INT CLAMPS OFFICE ,159
113,A INT CORRIDOR  WITH MARLA A,55
114,A INT SYSTEMS CONTROL CENTER A,6
115, INT BUILDING  CORRIDOR,14
116, INT A DENTISTS OFFICE ,13
117,A INT AN OFFICE A,9
118,B INT LOBBYBAR B,13
119, INT CABLE TV STUDIO CONTINUOUS ,19
120,A INT LOBBY BAR  GREMLINS WATCHING AS BEFORE A,31
121,B EXT BUILDING CONTINUOUS B,33
122, INT LOBBY C,12
123, INT DENTISTS OFFICE ,37
124, INT CORRIDOR  MARLA IN SPIDER WEB ,39
125, INT CORRIDOR  BILLY AND M TTERMAN ,5
126, INT CORRIDOR  KATE AND MARLA AS BEFORE ,110
127, INT LOBBY,52
128, EXT BUILDING ,8
129, INT LOBBYMEZZANINE ,403
130, EXT CLAMP BUILDING  DAY ,38
