1,EXT SKY  NIGHT,64
2,INT APARTMENT  NIGHT,22
3,INT SUBWAY TUNNEL  NIGHT,25
4,INT APARTMENT  NIGHT,7
5,INT BEDROOM  NIGHT,11
6,INT RED,42
7,INT BEDROOM  NIGHT,13
8,INT AARONS ROOM  NIGHT,59
9,INT HALLWAY  NIGHT,30
10,INT KITCHEN  NIGHT,12
11,INT MOTEL ROOM F  NIGHT,31
12,EXT SHEEPSHEAD BAY  DAY,5
13,INT KITCHEN  DAY,22
14,INT WATANABE,11
15,INT FIRST FLOOR  DAY,38
16,INT RED EYE MOTEL F  DAY,34
17,EXT WATANABES SHOPPING EMPORIUM  DAY,45
18,EXT ROOFTOP  DAY,10
19,EXT SHEEPSHEAD BAY  DAY,51
20,EXT STREET  DAY,31
21,INT NICKS MARKET  DAY,13
22,EXT STREET  DAY,7
23,INT BANK  DAY,6
24,EXT BANK  DAY,6
25,INT BANK  DAY,57
26,INT CLASSROOM  DAY,12
27,INT BANK  DAY,38
28,INT BANK  DAY,13
29,EXT BANK  DAY,4
30,INT BANK  DAY,11
31,INT BANK DAY,7
32,EXT BRADLEY ELEMENTARY  DAY,7
33,EXT BANK  DAY,31
34,INT BANK  DAY,14
35,EXT BANK  DAY,26
36,INT BANK  DAY,13
37,EXT BANK  DAY,3
38,INT BANK  DAY,15
39,EXT BANK  DAY,4
40,INT BANK  DAY,6
41,INT BANK SAFE  DAY,82
42,INT BANK  DAY,3
43,EXT ALLEY  DAY,14
44,EXT BANK  DAY,10
45,EXT STREET  DAY,19
46,EXT APARTMENT  DAY,8
47,EXT BUILDING  DAY,37
48,EXT OPPOSITE BUILDING  DAY,21
49,EXT STREET  DAY,9
50,INT APARTMENT  NIGHT,68
51,INT BROWNSTONE  NIGHT,29
52,EXT STREET  NIGHT,20
53,EXT ALLEY  NIGHT,57
54,INT WATANABES SHOPPING EMPORIUM  NIGHT,8
55,INT APARTMENT  NIGHT,32
56,INT BAR  NIGHT,13
57,EXT BAR  NIGHT,40
58,INT BEDROOM  NIGHT,14
59,EXT SKY  NIGHT,11
60,INT BEDROOM  NIGHT,10
61,EXT ALLEY  NIGHT,3
62,INT BEDROOM  NIGHT,7
63,EXT ALLEY  NIGHT,14
64,EXT STREET  DAY,7
65,EXT ALLEY  DAY,28
66,EXT SCHOOLYARD  DAY,6
67,EXT ROOFTOP  DAY,154
68,EXT STREET  DAY,10
69,INT BEDROOM  NIGHT,4
70,INT LIVING ROOM  DAY,72
71,INT KITCHEN  NIGHT,28
72,INT KITCHEN  NIGHT,83
73,INT KITCHEN  NIGHT,22
74,INT APARTMENT  NIGHT,92
75,EXT APARTMENT  NIGHT,18
76,INT DONUT SHOP  NIGHT,76
77,INT AARONS BEDROOM  NIGHT,44
78,EXT SHEEPSHEAD  NIGHT,4
79,INT WATANABES SHOPPING EMPORIUM  NIGHT,21
80,EXT ROOFTOP  NIGHT,10
81,EXT SOMEWHERE  NIGHT  DREAM SEQUENCE,22
82,INT RED EYE MOTEL  NIGHT,8
83,INT WATANABES SHOPPING EMPORIUM DAY,20
84,EXT WATANABES SHOPPING EMPORIUM  DAY,31
85,EXT APARTMENT  DAY,8
86,EXT SCHOOLYARD DAY,7
87,EXT SKY  DAY,6
88,EXT STREET  DAY,5
89,EXT LIQUOR STORE  DAY,50
90,EXT STREET  DAY,20
91,EXT STREET  DAY,19
92,EXT STREET  DAY,38
93,EXT STREET  DAY,114
94,EXT ALLEY  DAY,16
95,EXT ALLEY  DAY,81
96,INT BEDROOM  DAY,80
97,EXT STREET  DAY,8
98,INT APARTMENT  NIGHT,38
99,INT BEDROOM  NIGHT,7
100,INT APARTMENT  NIGHT,25
101,INT APARTMENT  NIGHT,40
102,INT APARTMENT  NIGHT,10
103,INT APARTMENT  NIGHT,107
