1,EXT STREETS OF HUNTINGBURG  DUSK,42
2,EXT RESERVOIR DAM,6
3,EXT MAIN STREET,98
4,INT BANK VAULT,24
5,EXT BANK  DAY,49
6,INT ARMORED TRUCK,106
7,EXT ROADSIDE BAR  ESTABLISHING  DUSK,1
8,INT ROADSIDE BAR  DUSK ECU PEN ON PAPER,76
9,INT ARMORED TRUCK  DUSK,35
10,EXT ROAD OUT OF TOWN  DUSK,7
11,INT TRUCK,125
12,INT HOUSE  DUSK POV THROUGH WINDOW,4
13,EXT STREET  DUSK IN THE SHERIFFS CAR,63
14,EXT ARMORED TRUCK  NIGHT,236
15,EXT ON THE ROAD,5
16,EXT BY THE ARMORED TRUCK,33
17,INT CAR AND BOAT DEALERSHIP  SHOWROOM,24
18,EXT CEMETERY,4
19,EXT ROAD OUTSIDE CEMETERY,20
20,EXT HIGH SCHOOL,12
21,INT HIGH SCHOOL  CLASSROOM,3
22,EXT HIGH SCHOOL,9
23,INT HIGH SCHOOL  HALLWAY,3
24,EXT HIGH SCHOOL  FRONT DOORS,6
25,INT SCHOOL HALLWAY,2
26,EXT FRONT DOORS,3
27,INT SCHOOL FRONT LOBBY,89
28,EXT HIGH SCHOOL,3
29,EXT OPEN WATER,69
30,EXT BACK OF CHURCH  SANDBAG WALL,15
31,INT CHURCH  BACK ROOM,3
32,INT CHURCH  MAIN HALL,15
33,INT SHERIFFS STATION,40
34,INT HIGH SCHOOL,7
35,EXT MAIN STREET,5
36,INT SHERIFFS STATION,143
37,EXT SHERIFFS STATION,13
38,INT SHERIFFS STATION,3
39,INT DAM CONTROL OFFICE,2
40,INT BATHROOM,8
41,INT DAM CONTROL OFFICE,4
42,EXT RESERVOIR DAM,2
43,INT DAM CONTROL OFFICE,4
44,EXT PARK AREA,4
45,INT DAM CONTROL OFFICE,4
46,EXT MAIN STREET  MOVING BOAT,33
47,EXT CHURCH,4
48,EXT ROAD OUT OF TOWN  WELCOME SIGN,5
49,EXT PARK AREA,5
50,EXT ALLEYWAY,13
51,EXT CHURCH,4
52,INT SHERIFFS STATION,3
53,EXT SHERIFFS STATION,3
54,INT SHERIFFS STATION,4
55,EXT SHERIFFS STATION,4
56,INT SHERIFFS STATION,8
57,EXT ALLEYWAY,3
58,INT SHERIFFS STATION,8
59,EXT CHURCH,6
60,EXT MAIN STREET,3
61,EXT PARK AREA,4
62,INT SHERIFFS STATION,4
63,EXT NEAR SHERIFFS STATION,3
64,INT SHERIFFS STATION,68
65,EXT SHERIFFS STATION ROOF,114
66,EXT SHERIFFS STATION,24
67,EXT ALLEYWAY,38
68,EXT SHERIFFS STATION,14
69,EXT ALLEYWAY,129
70,INT HOUSE,21
71,EXT RESIDENTIAL STREET,12
72,INT HOUSE  BEDROOM,17
73,EXT RESIDENTIAL STREET,43
74,INT HENRY AND DOREENS ATTIC,63
75,EXT HENRYS HOUSE,31
76,EXT CHURCH,9
77,EXT ROAD OUT OF TOWN  WELCOME SIGN,72
78,EXT MAIN STREET,4
79,EXT ROAD OUT OF TOWN,9
80,EXT RESIDENTIAL STREET,2
81,EXT ROAD OUT OF TOWN,33
82,EXT STREET,6
83,EXT CEMETERY,35
84,EXT STREET,13
85,EXT CEMETERY,30
86,INT DAM CONTROL OFFICE,8
87,EXT PARK AREA,18
88,EXT CEMETERY,60
89,EXT OUTSKIRTS OF TOWN THE SHERIFF,4
90,EXT CEMETERY,349
91,EXT ON THE WATER  MOVING,32
92,EXT MAIN STREET,50
93,EXT THE CHURCH,17
94,INT CHURCH,9
95,EXT MAIN STREET,18
96,INT CHURCH,32
97,EXT DAM,3
98,INT CHURCH,70
99,EXT MAIN STREET,31
100,INT CHURCH,5
101,EXT MAIN STREET,18
102,EXT RESERVOIR DAM,3
103,INT CHURCH,28
104,EXT SIDE OF CHURCH,7
105,INT CHURCH,5
106,EXT CHURCH,2
107,EXT KARENS HOUSE,4
108,INT KARENS HOUSE,138
109,EXT STREET AND CHURCH,4
110,INT CHURCH,4
111,EXT CHURCH AND STREET,11
112,INT CHURCH,22
113,INT KARENS HOUSE,37
114,EXT RESERVOIR DAM,3
115,INT CHURCH,42
116,INT KARENS HOUSE,17
117,INT CHURCH,110
118,INT KARENS HOUSE,14
119,INT CHURCH,12
120,INT KARENS HOUSE,2
121,INT CHURCH,72
122,EXT RESERVOIR DAM,7
123,INT CHURCH,9
124,INT KARENS HOUSE,24
125,INT CHURCH,19
126,INT KARENS HOUSE,15
127,INT CHURCH,5
128,EXT MAIN STREET,12
129,INT KARENS HOUSE,4
130,EXT THE CHURCH,4
131,INT CHURCH,2
132,EXT STREET,2
133,INT CHURCH,7
134,INT KARENS HOUSE  KITCHEN,5
135,EXT MAIN STREET,13
136,EXT THE ADVANCING FLOOD,3
137,EXT ALLEY,27
138,INT KARENS KITCHEN  BREAK OF DAWN,11
139,EXT KARENS HOUSE,4
140,INT KARENS HOUSE,4
141,EXT KARENS HOUSE,17
142,EXT KARENS HOUSE,7
143,INT KARENS HOUSE,19
144,EXT A TREE IN WATER,20
145,EXT KARENS HOUSE,162
