1,EXT HOUSING PROJECT CHARLESTOWN MASSACHUSETTS  DAY,34
2,INT LIVING ROOM NELLS APARTMENT  DAY,136
3,INT NELLS KITCHEN  DAY,9
4,INT LIVING ROOM NELLS APARTMENT  DAY,5
5,INT SICK ROOM  DAY CONTINUOUS,25
6,INT LIVING ROOM NELLS APARTMENT  DAY,4
7,INT NELLS KITCHEN  DAY,35
8,INT PSYCH OBSERVATION LAB  DAY,161
9,INT HALLWAY OUTSIDE LAB  DAY,26
10,INT MARROWS OFFICE  DAY,109
11,INT NELLS CAR  DAY,5
12,EXT ROUTE   DAY,4
13,INT NELLS CAR  DAY,11
14,EXT HILLSDALE  DAY ESTABLISHING,3
15,EXT GAS STATION  DAY,90
16,EXT COUNTRY LANE  DAY,4
17,INT NELLS CAR  DAY,4
18,EXT HILLS  DAY,3
19,INT NELLS CAR  DAY,15
20,EXT HILL HOUSE GATE  DAY,61
21,INT NELLS CAR  DAY,39
22,EXT HILL HOUSE DRIVEWAY  DAY,2
23,INT NELLS CAR  DAY,4
24,EXT HILL HOUSE  DAY,12
25,EXT GRAND ENTRY  DAY,23
26,INT GRAND ENTRY  DAY CONTINUOUS,27
27,INT HALL FROM ENTRY TO GREAT HALL  DAY,11
28,INT GREAT HALL  DAY CONTINUOUS,29
29,INT ST FLOOR HALLWAY TOWARDS KITCHEN  DAY CONTINUOUS,7
30,INT KITCHEN  DAY CONTINUOUS,30
31,INT GRAND STAIRWAYMEZZANINE  DAY,14
32,INT ND FLOOR HALLWAY NORTH WING  DAY,6
33,INT NELLS ROOM  DAY,84
34,INT ND FLOOR HALLWAY NORTH WING  DAY,8
35,INT MEZZANINE  SUNSET CONTINUOUS,33
36,INT ND FLOOR HALLWAY NORTH WING  DAY,20
37,INT BACK STAIRWAY  DAY,68
38,INT THEOS ROOM  DAY,135
39,INT ND FLOOR HALLWAY  DUSK,15
40,INT RED PARLOR  DUSK,15
41,INT MEZZANINE  DUSK,27
42,INT SMALL PARLOR CONFUSING ROOMS  DUSK,19
43,INT STATUARY HALL  DUSK CONTINUOUS,19
44,INT HALL OF MIRRORS  DUSK CONTINUOUS,31
45,INT ST FLOOR HALLS VARIOUS  DUSK CONTINUOUS,15
46,INT HALLWAY OUTSIDE LOCKED ROOM  DUSK CONTINUOUS,22
47,INT NARROW STAIRCASE  DUSK,6
48,INT GRAND ENTRY  NIGHT,95
49,INT GREAT HALL  NIGHT,66
50,INT DINING ROOM  NIGHT,136
51,INT RED PARLOR  NIGHT,175
52,EXT HILL HOUSE DRIVEWAY  NIGHT,44
53,INT MEZZANINE  NIGHT,51
