1,INT CRACK DEN  MORNING,35
2,INT CRACK DEN  NIGHT,40
3,INT CRACK DEN  DAY,11
4,EXT A BUILDING ON THE LOWER EAST SIDE OF LONDON  DAY,4
5,INT OFFICES OF THE UNDERGROUND  DAY,483
6,EXT EASTERN EUROPE  DAY,2
7,EXT APARTMENT BUILDING  DAY,8
8,INT APARTMENT BUILDING  DAY,2
9,INT THE SECOND FLOOR  DAY,69
10,INT MARLAS ROOM  DAY,169
11,INT THE HALL AND STAIRWAY  DAY,17
12,EXT,9
13,INT AMYS HOTEL ROOM  NIGHT,68
14,INT CHARLES RICKMANS OFFICE  NIGHT,62
15,INT AMYS HOTEL ROOM  NIGHT,35
16,INT SUBWAY STATION  NIGHT,45
17,INT SUBWAY CAR  NIGHT,169
18,INT SUBWAY PLATFORM  NIGHT,64
19,INT TRAIN STATION  LATER,82
20,INT POLICE INTERROGATION ROOM  DAY,28
21,EXT POLICE HEADQUARTERS  DAY,84
22,EXT POTEILARI AND MINVARA  DAY,13
23,EXT THE BOTTOM OF THE STAIRS  DAY,18
24,INT,19
25,INT THE BATHROOM  DAY,194
26,INT WINTERS ROOM  DAY,147
27,INT ROOM  DAY FLASHBACK,5
28,INT WINTERS ROOM  DAY,10
29,INT HALLWAY  DAYFLASHBACK,4
30,INT WINTERS ROOM  DAY,13
31,INT HALLWAY  DAY FLASHBACK,6
32,INT DEADERS DUNGEON  DAY,55
33,INT HOTEL BATHROOM  NIGHT,27
34,INT AMYS HOTEL ROOM  NIGHT,57
35,INT HALLWAY  DAY FLASHBACK,7
36,INT,29
37,INT HOTEL BATHROOM  NIGHT,83
38,INT HOTEL BATHROOM  NIGHT,114
39,EXT AMYS HOTEL  NIGHT,2
40,EXT DARK STREET  NIGHT,21
41,INT TOKEN BOOTH  NIGHT,34
42,INT SUBWAY PLATFORM  NIGHT,5
43,INT TRAIN  NIGHT,178
44,INT SUBWAY TUNNEL  NIGHT,67
45,INT A BED  DAY,135
46,INT PSYCH WARDCOMMON AREA  DAY,160
47,INT CORRIDOR  DAY,19
48,INT HALLWAY  DAY FLASHBACK,5
49,INT CORRIDOR  DAY,4
50,INT HALLWAY  DAY FLASHBACK,7
51,INT CORRIDOR  DAY,10
52,INT HALLWAY  DAY FLASHBACK,6
53,INT FATHERS OFFICE  DAY,5
54,INT CORRIDOR  DAY,5
55,INT FATHERS OFFICE  DAYFLASHBACK,12
56,INT HOSPITAL CORRIDORS,21
57,INT WINTERS ROOM  DAY,285
