1,EXT OPEN SEA  DAY,10
2,EXT BERK  DAY,224
3,EXT OPEN SKYISLAND COASTLINE  DAY,160
4,EXT SEA STACKISLAND COASTLINE  DAY,149
5,EXT LAPLAND WOODSTRAPPERS FORT  MOMENTS LATER,355
6,INT BERK  DRAGON STABLES  MOMENTS LATER,84
7,EXT OPEN SEA  MIDDAY,233
8,INT VIKING HALL  NIGHT,90
9,EXT SKY  NIGHT,60
10,EXT ARCTIC SKYARCHIPELAGO  NIGHT MIDNIGHT SUN,17
11,INT DRAGON MOUNTAIN  CONTINUOUS,76
12,EXT ARCTIC SKY  NIGHT MIDNIGHT SUN,35
13,INT DRAGON MOUNTAIN  TUNNEL  DAWN,28
14,INT DRAGON MOUNTAIN  OASIS  CONTINUOUS,108
15,EXT BERK VILLAGE  NIGHT,22
16,INT STOICKS HOUSE  CONTINUOUS,54
17,INT DRAGON MOUNTAIN  DAWN,85
18,EXT OPEN SEA  NIGHT,31
19,EXT ICE FLOES  NIGHT,52
20,EXT SKY  EARLY MORNING,26
21,EXT SNOWY SHORELINE  LATER,17
22,EXT WINDSWEPT CLIFF  LATER,129
23,EXT ICE CAVE  DAY,43
24,EXT DRAGOS SHIP  DECK  MOMENTS LATER,175
25,INT DRAGON MOUNTAIN  OASIS  MORNING,112
26,EXT ICE CHANNEL  DAY,65
27,EXT DRAGOS SHIP  MOMENTS LATER,24
28,INT DRAGON MOUNTAIN  VALKAS LIVING QUARTERS  LATE,199
29,EXT DRAGON MOUNTAIN  MOMENTS LATER,249
30,EXT DRAGON MOUNTAIN  CONTINUOUS,206
31,EXT DRAGON MOUNTAIN  LAGOON  DUSK,75
32,EXT ICE CHANNELS  MOMENTS LATER,52
33,EXT BERK  NIGHT,5
34,INT GOTHIS HOUSE  CONTINUOUS,6
35,INT VIKING HUT  CONTINUOUS,15
36,EXT GREAT HALL  CONTINUOUS,16
37,EXT SKIESBERK  NIGHT,144
38,EXT BERK  VILLAGE  MOMENTS LATER,289
