1,EXT VINCI COUNTRYSIDE  RENAISSANCE  DAY,33
2,INT ROOM OF THE GOLD MACHINE,58
3,INT DA VINCIS WORKSHOP,24
4,EXT CASTLE TERRACE,19
5,INT A SING SING PRISON CELL,7
6,INT PRISON BLOCK WALKWAY,16
7,INT PRISON CELL WALL,76
8,EXT OUTSIDE THE PRISONDAY,177
9,EXT THE ROAD INTO HOBOKENDAY,76
10,EXT OUTSIDE ALEXS BARNIGHT,5
11,INT ALEXS BARNIGHT,210
12,INT BACK ROOMDAWN,116
13,EXT NICE BUSINESS NEIGHBORHOODNIGHT,40
14,INT INSIDE THE WALKWAY WINDOWNIGHT,20
15,INT THE GUARDS STATION,5
16,INT THE POWER ROOM,20
17,INT SEVENTH FLOOR AUCTION AUDITORIUMNIGHT,11
18,INT GUARDS STATION,12
19,INT THE POWER ROOM,27
20,INT THE FREIGHT ELEVATOR,177
21,INT DARKENED AUCTION AUDITORIUM OFFICE,32
22,INT GATES APARTMENTLATE NIGHT,131
23,INT ALEXS RESTAURANTDAWN,83
24,INT RUTHERFORDS AUCTION HOUSENIGHT,220
25,INT VANTYPE AMBULANCENIGHT,20
26,EXT THE BROOKLYN BRIDGENIGHT,2
27,INT INSIDE THE AMBULANCE,55
28,EXT THE AMBULANCE,170
29,INT MYSTERIOUS BARE ROOMDAY,20
30,EXT OUTSIDE INTERESTING BUILDINGDAY,4
31,INT THE BACK SEAT OF THE MAXTECH LIMOUSINE,78
32,EXT EUR DISTRICT BUILDINGDAY,56
33,INT MASSIVE CONFERENCE ROOMDAY,144
34,EXT A MASSIVE WIDE SHOT OF ST PETERSDAY,5
35,INT THE LIMOUSINE,12
36,INT VATICANESQUE MAP ROOM,4
37,INT ANOTHER VATICAN ROOM,18
38,INTEXT CIRCULAR OPEN AIR HALLWAY,13
39,INT HALLWAY LEADING TO CODEX ROOM,103
40,INT CIRCULAR STAIRCASE,23
41,INT A LITTLE UNDERGROUND SUBWAYDAY,86
42,INT CATACOMBLIKE AREA,42
43,EXT NAVONA PIAZZADAY,4
44,INT A BIG QUIRKY PHONE BOOTH,18
45,INT ALEXS RESTAURANTNIGHT,4
46,INT PIAZZADAY,142
47,EXT INDOOR TRAIN TRACK,7
48,INT THE VATICAN UNDERGROUND SUBWAY,10
49,INT OUTSIDE THE CODEX ROOMNIGHT,35
50,INT VATICAN LIBRARY HALLWAYNIGHT,54
51,EXT THE ROOF,7
52,INT THE POPES BEDROOM,5
53,EXT THE ROOF,20
54,EXT TOP OF A NEARBY WALL,20
55,EXT A BUS,6
56,EXT RIGHT INTO A CAFE CHAIRNIGHT,29
57,EXT ANOTHER TABLENIGHT,81
58,INT ANNAS HOUSENIGHT,86
59,EXT A CAR OUTSIDE OF ANNAS PLACENIGHT,27
60,INT ANNAS PLACE,64
61,EXT THE CASTLENIGHT,3
62,INT HELICOPTER,3
63,INT A MYSTERIOUS DARK ROOMNIGHT,94
64,EXT OUTSIDE THE CASTLENIGHT,6
65,INT THE G MACHINE ROOMNIGHT,158
66,INT DARK CONFESSION BOOTHMORNING,7
67,INT THE CARDINALS SIDE OF THE CONFESSION BOOTH,39
68,INT OUTSIDE THE CONFESSION BOOTHMORNING,47
69,INT ROME CONFERENCE ROOMDAY,158
70,EXT FAMILIAR PIAZZADAY,79
71,EXT BEAUTIFUL ROME OVERVIEW,155
72,INT THE CONFERENCE ROOMDAY,31
73,INT A VANBUSNIGHT,68
74,EXT THE TOP OF THE KREMLINNIGHT,15
75,EXT THE KREMLIN GROUNDS,36
76,INT GRUNGY WHITE FOYER,9
77,EXT THE KREMLIN ROOF,7
78,INT NONDESCRIPT HALLWAY,7
79,INT A GRAND BALLROOM,37
80,INT A VERY LONG ENIGMATIC HALLWAY,32
81,INT TOP FLOOR HALLWAY,143
82,INT THE ART TREASURE ROOM,442
83,INT BACKSEAT,65
84,INT DARK ROOM ATOP MAYFLOWER MUSEUMDAY,38
85,INT THE DA VINCI WORKSHOP,4
86,INT THE ROOM OF THE GOLD MACHINEDAY,357
87,EXT A VINCI COUNTRYSIDE TREE,7
88,EXT OUTSIDE THE GRAND CASTLEDAY,7
