1,EXT FOREST  DAY,35
2,EXT POLICE STATION  NIGHT,7
3,INT POLICE STATION  NIGHT,35
4,INT AUDITORIUM  DAY,28
5,INT WHITE SPACE  DAY,18
6,INT POLICE STATION  NIGHT,10
7,EXT SUBURBAN STREET  DAY,9
8,INT LITTLE GIRLS ROOM  DAY,33
9,INT DOCTORS OFFICE  DAY,14
10,INT POLICE STATION  NIGHT,4
11,INT AUDITORIUM  DAY,11
12,EXT FOREST CLEARING  DAY,8
13,EXT CITY STREET  NIGHT,19
14,EXT SUBURBAN HOUSE  NIGHT,9
15,INT AUDITORIUM  DAY,9
16,EXT FOREST  DAY,9
17,INT AUDITORIUM  DAY,10
18,INT WHITE SPACE  DAY,13
19,EXT ZOO  DAY,55
20,INT POLICE STATION  NIGHT,13
21,INT COLLEGE DORM BATHROOM  DAY,19
22,INT DORM ROOM  A BIT LATER,44
23,INT ART MUSEUM  DAY,15
24,INT CONVENT  DAY,11
25,EXT FIELD  NIGHT,14
26,INT TENT  DAY,9
27,INT TENT  DAY,20
28,EXT CITY STREET  NIGHT,14
29,INT BATHROOM  NIGHT,15
30,INT POLICE STATION  NIGHT,15
31,EXT FOREST  EARLY MORNING,18
32,INT BEAUTY PARLOR  DAY,10
33,EXT FOREST  NIGHT,30
34,EXT BOOK STORE WINDOW  DAY,6
35,INT BEAUTY PARLOR  DAY,11
36,EXT BOOKSTORE WINDOW  DAY,12
37,INT LOG HOUSE  DAY,29
38,INT POLICE STATION  NIGHT,10
39,INT ELECTROLOGISTS OFFICE  DAY,75
40,INT RESTAURANT  NIGHT,118
41,INT ELECTROLOGISTS OFFICE  DAY,19
42,INT WHITE SPACE  DAY,10
43,INT DINING ROOM  DAY,43
44,INT THERAPISTS OFFICE  DAY,18
45,INT LAB  DAY,19
46,INT NATHANS APARTMENT  NIGHT,94
47,INT ELECTROLOGISTS OFFICE DAY,67
48,INT WHITE SPACE  DAY,25
49,INT NATHANS APARTMENT  NIGHT,59
50,INT NATHAN AND LILAS BEDROOM  LATER,54
51,INT CAR  MORNING,53
52,INT AUDITORIUM  DAY,15
53,EXT FOREST  DAY,6
54,INT POLICE STATION  NIGHT,6
55,INT FOREST  DAY,49
56,INT AUDITORIUM  DAY,5
57,EXT FOREST  DAY,19
58,INT POLICE STATION  NIGHT,5
59,INT FOREST  DAY,131
60,EXT CLIFF  SUNSET,13
61,EXT FOREST  DAY,15
62,INT LAB  DAY,76
63,EXT PARKING LOT  EVENING,40
64,INT COFFEE SHOP  EVENING,36
65,INT NATHANS BEDROOM  NIGHT,46
66,INT GABRIELLES BEDROOM  NIGHT,43
67,INT CAR  NIGHT,4
68,INT ANOTHER CAR  NIGHT,4
69,INT LAB  NIGHT,156
70,INT BATHROOM  NIGHT,5
71,INT LAB  NIGHT,38
72,INT AUDITORIUM  DAY,21
73,INT LAB  DAY,34
74,INT LILA AND NATHANS LIVING ROOM  CONTINUOUS,15
75,INT LAB  CONTINUOUS,34
76,INT WHITE SPACE  DAY,16
77,INT RESTAURANT  NIGHT,61
78,INT NURSERY  DAY,5
79,INT THERAPISTS OFFICE  DAY,47
80,INT LAB  DAY,34
81,INT HALL  CONTINUOUS,34
82,EXT BEACH  DAY,7
83,INT HALL  DAY,19
84,INT LILA AND NATHANS  NIGHT,109
85,INT POLICE STATION  NIGHT,4
86,INT WHITE SPACE  DAY,8
87,INT AUDITORIUM  DAY,6
88,INT LAB  DAY,17
89,INT LILA AND NATHANS BEDROOM  NIGHT,28
90,INT LAB  DAY,57
91,EXT CITY STREET  DAY,6
92,INT FANCY RESTAURANT  DAY,32
93,INT TAXI  DAY,22
94,INT LAB  DAY,61
