1,EXT JUNGLE  NIGHT,22
2,INT HUT  NIGHT,25
3,EXT JUNGLE  NIGHT,47
4,EXT UNDERWATER  DAY,4
5,EXT BEACH  DAY,13
6,EXT INTERSTATE  DAY,4
7,EXT COASTAL FOREST  DAY,9
8,EXT STILT HOUSE  DAY,19
9,INT BEDROOM  STILT HOUSE  DAY,11
10,EXT STILT HOUSE  DAY,17
11,EXT CAUSEWAY  DUSK,11
12,INT JEEP  NIGHT  MOVING,8
13,EXT USEDCAR LOT  DAY,10
14,INT BATHROOM  MOTEL  NIGHT,13
15,EXT INTERSTATE  DAY,9
16,INT SUV  NIGHT  MOVING,8
17,EXT RESTSTOP DINER  NIGHT,3
18,INT RESTSTOP DINER  NIGHT,26
19,INT ARCADE  REST STOP  NIGHT,59
20,INT SUV  NIGHT,18
21,EXT WOODS  DAY,3
22,INT SUV  DAY  DRIVING,31
23,INT HOUSE  DAY,42
24,EXT HOUSE  NIGHT,4
25,INT LIVING ROOM  HOUSE  NIGHT,43
26,INT CLOSET  JOHNS BEDROOM  NIGHT,12
27,INT KITCHEN  HOUSE  NIGHT,20
28,INT LIVING ROOM  HOUSE  MORNING,29
29,EXT PARADISE HIGH SCHOOL  DAY,83
30,INT HALL  PARADISE HIGH SCHOOL  DAY,63
31,EXT FOOTBALL STADIUM  PARADISE HIGH  DAY,12
32,INT GYM  PARADISE HIGH  DAY,33
33,INT HOUSE  DAY,15
34,INT CAFETERIA  PARADISE HIGH  DAY,62
35,EXT PORCH  HOUSE  DAY,5
36,INT HOUSE  DAY,7
37,INT HALL  PARADISE HIGH  DAY,10
38,EXT ROAD  DAY,3
39,INT DARKROOM  PARADISE HIGH  DAY,24
40,INT HALL  PARADISE HIGH  DAY,5
41,INT SUV  DAY  MOVING,30
42,INT LIVING ROOM  HOUSE  NIGHT,120
43,EXT PORCH  HOUSE  NIGHT,44
44,EXT ROAD  NIGHT,6
45,INT HOUSE  NIGHT,16
46,INT JOHNS BEDROOM  NIGHT,4
47,INT JOHNS BEDROOM  NIGHT  LATER,4
48,INT LIVING ROOM  HOUSE  DAWN,11
49,EXT WOODS  DAWN,12
50,EXT HILL  DAWN,13
51,INT HALL  PARADISE HIGH SCHOOL  DAY,4
52,INT HOUSE  DAY,7
53,EXT FOOTBALL STADIUM  PARADISE HIGH  NIGHT,8
54,EXT BACK PORCH  HOUSE  DAY,11
55,INT HALL  PARADISE HIGH  DAY,10
56,INT YEARBOOK ROOM  PARADISE HIGH  DAY,129
57,EXT STILT HOUSE  FLORIDA  DUSK,2
58,INT STILT HOUSE  FLORIDA  DUSK,4
59,INT JOHNS BEDROOM  STILT HOUSE  DUSK,7
60,INT KITCHEN  STILT HOUSE  FLORIDA  DUSK,4
61,EXT STILT HOUSE  FLORIDA  DUSK,13
62,INT HALL  PARADISE HIGH  DAY,46
63,INT LOCKER ROOM  PARADISE HIGH  DAY,45
64,EXT PARADISE HIGH SCHOOL  DAY,47
65,INT SUV  DAY,46
66,INT GARAGE  DAY,13
67,EXT LORIEN  NIGHT,13
68,EXT TEMPLE  NIGHT,3
69,INT SANCTUARY  TEMPLE  NIGHT,51
70,EXT TEMPLE  NIGHT,19
71,INT GARAGE  DAY,7
72,EXT STREAM  WOODS  DAY,65
73,EXT MAIN STREET  PARADISE  NIGHT,8
74,INT EDS SPORTING GOODS STORE  NIGHT,33
75,EXT STREET  NIGHT,64
76,EXT WOODS  NIGHT,27
77,EXT CLEARING  WOODS  NIGHT,16
78,EXT TUNNEL  WOODS  NIGHT,64
79,EXT WOODS  NIGHT,6
80,EXT PICNIC AREA  WOODS  NIGHT,11
81,INT WOODS  NIGHT,3
82,INT CLEARING  WOODS  NIGHT,26
83,EXT SHEPHERD FALLS  WOODS  NIGHT,60
84,EXT TREE LINE  NIGHT,26
85,EXT STREET  NIGHT,59
86,INT LIVING ROOM  HOUSE  NIGHT,80
87,INT BEDROOM  HOUSE  NIGHT,12
