1,EXT SKY  DAY,20
2,INT TEXAS STATE PENITENTIARY HOSPITAL WARD    DAY,29
3,EXT MARSHLAND  CHESAPEAKE BAY VA    DAY,17
4,INT LIVING ROOM CHESAPEAKE BAY VA    DAY,108
5,INT STEVENS HOUSE VIRGINIA BEACH    NIGHT,8
6,INT STEPHANIES BEDROOM VIRGINIA   NIGHT,10
7,INT STEVEN AND DEBBIES BEDROOM VIRGINIA   NIGHT ,47
8,INT STEVEN AND DEBBIES BEDROOM   NIGHT  LATER,59
9,INT STEVEN AND DEBBIES HOUSE   DINING ROOM  NIGHT ,27
10,EXT BASCOMBE HOME VIRGINIA   DAY,167
11,INT HOUSTON APT BEDROOM TYLER    NIGHT,15
12,INT TEXAS STATE PENITENTIARY HOSPITAL WARD    DAY ,10
13,EXT MARSHLAND  CHESAPEAKE BAY VA    DAY,44
14,INT HOUSTON BEDROOM    NIGHT,15
15,EXT HOUSTON APARTMENT DOORWAY   LATER THAT NIGHT,10
16,EXT HOUSTON STREET    NIGHT,26
17,EXT DITCH  HOUSTON   LATER THAT NIGHT,36
18,INT HOUSTON HOSPITAL CORRIDOR    NIGHT,9
19,INT HOUSTON HOSPITAL    NIGHT  CONTINUOUS,23
20,EXT STREET  SOUTH BEACH FLORIDA    DAY,18
21,INT GAY CLUB  MIAMI   NIGHT,34
22,INT GROCERY STORE  MIAMI   DAY,16
23,INT LAW OFFICE  MIAMI   DAY,20
24,EXT GROCERY RECEIVING DOCK  MIAMI   DAY,23
25,INT MIAMI JEWELRY STORE  MIAMI   DAY,29
26,INT DEPARTMENT STORE  MIAMI   DAY,12
27,INT PALM BEACH APARTMENT    LIVING ROOM  MORNING ,46
28,INT DEBBIES HOUSTON HOME   MORNING  CONTINUOUS,60
29,INT AMITY FOOD SERVICE  MIAMI   MORNING,20
30,INT AMITY FOOD SERVICE  MIAMI   MORNING,15
31,EXT PALM BEACH APARTMENT    DAY,6
32,EXT ABANDONED LOT  FLORIDA   DAY,18
33,EXT ROAD  FLORIDA   DAY,12
34,INT PALM BEACH HOSPITAL    MORNING,26
35,INT PALM BEACH HOSPITAL CORRIDOR    CONTINUOUS,86
36,EXT PALM BEACH HOSPITAL PARKING STRUCTURE    DAY,37
37,EXT TX STATE PENITENTIARY BREEZEWAY   DAY,10
38,INT TX STATE PENITENTIARY CELL BLOCK   DAY,6
39,INT TX STATE PENITENTIARY PRISON CELL   CONTINUOUS ,26
40,EXT TX STATE PENITENTIARY BREEZEWAY   DAY,16
41,INT TX STATE PENITENTIARY LAW LIBRARY    DAY,22
42,INT TX STATE PENITENTIARY CAFETERIA    DAY,22
43,EXT TX STATE PENITENTIARY BREEZEWAY   DAY,16
44,INT TX STATE PENITENTIARY CELL BLOCK    DAY,18
45,INT TX STATE PEN  PHONE BANKCOMMON AREA    DAY,42
46,INT TX STATE PENITENTIARY  LAW LIBRARY    DAY,113
47,INT TX STATE PENITENTIARY  LAW LIBRARY    LATER,85
48,INT TX STATE PENITENTIARY  MICHAEL UNIT   DAY,34
49,INT TX STATE PEN  MICHAEL UNIT  PHILLIPS CELL  DAY,11
50,INTEXT TX STATE PENITENTIARY  MONTAGE,13
51,INT TX STATE PEN   STEVENS CELL  CONTINUOUS,12
52,INT TEXAS STATE PEN   PHILLIPS CELL  DAY,6
53,INT TEXAS STATE PEN   PHILLIPS CELL  NEXT DAY,5
54,INT TEXAS STATE PEN   PHILLIPS CELL  NEXT DAY,52
55,INT TEXAS STATE PEN   PHILLIPS CELL  THAT NIGHT ,46
56,INT TEXAS STATE PEN   SCREECHERS CELL  NIGHT,23
57,EXT TEXAS STATE PEN CANTEEN    DAY,18
58,INT TEXAS STATE PEN   PHILLIPS CELL  LATER,38
