1,INT BOSTON  OLD NORTH CHURCH  DAY,17
2,INT CONFESSIONAL BOOTH  DAY,65
3,INT COLLEDGE LECTURE HALL  DAY,15
4,EXT CAMPUS  DAY,166
5,EXT JULIES APARTMENT  DAY,7
6,INT JULIES APARTMENT DOORWAY  DAY,4
7,AINT JULIES KITCHEN  DAY,8
8,BINT JULIES BEDROOM  DAY,11
9,CINT JULIES BEDROOM  NIGHT,19
10,DINT JULIES KITCHEN  NIGHT,5
11,EINT JULIES LIVING ROOM  NIGHT,16
12,FINT JULIES BEDROOM  NIGHT,69
13,INT THE CLUB  NIGHT,67
14,AINT THE CLUB  DANCE FLOOR  NIGHT,47
15,BINT THE CLUB  STAIRCASE  NIGHT,3
16,CINT THE CLUB  BALCONY  NIGHT,20
17,INT JULIES APARTMENT  DAY,4
18,AINT JULIES HALLWAY TO KITCHEN  DAY,128
19,EXT SOUTHPORT DOCKS  DAY,100
20,EXT SOUTHPORT DOCKS  DAY,34
21,EXT COUNTRY HIGHWAY  NIGHT,4
22,INT RAYS PICKUP  NIGHT,42
23,AEXT ROADWAY  NIGHT,16
24,BINT RAYS PICKUP  NIGHT,5
25,CEXT MEDIAN  NIGHT,5
26,DINT RAYS PICKUP  NIGHT,2
27,EEXT ROAD  NIGHT,6
28,FEXT TRUCK  NIGHT,27
29,EXT JULIES APARTMENT  DAY,69
30,EXT MIDAIR  DAY,2
31,INT PLANE  DAY,46
32,EXT OCEAN VISTA  DAY,5
33,EXT FERRY  DAY,59
34,EXT TOWER BAY  DAY,3
35,EXT RESORT DOCK  DAY,36
36,EXT TOWER BAY HOTEL  DAY,69
37,AEXT MAIN ENTRANCE  DAY,4
38,INT HOTEL LOBBY  DAY,125
39,INT HOTEL HALLWAY  DAY,96
40,INT HOSPITAL EMERGENCY ROOM  NIGHT,4
41,AINT HOSPITAL ROOM  NIGHT,13
42,BINT HOSPITAL ROOM  NIGHT,2
43,INT HOSPITAL ROOM  NIGHT,32
44,INT HOTEL BAR  NIGHT,217
45,INT HOTEL  JULIES ROOM  NIGHT,57
